method,metric,snr_db,value
OrdPCA,FDR,-10.000000,0.950000
OrdPCA,TPR,-10.000000,1.000000
OrdPCA,PEV,-10.000000,0.201356
OraclePCA,FDR,-10.000000,0.008000
OraclePCA,TPR,-10.000000,0.992000
OraclePCA,PEV,-10.000000,0.123320
TRexSPCA-EN-Act,FDR,-10.000000,0.131668
TRexSPCA-EN-Act,TPR,-10.000000,0.997000
TRexSPCA-EN-Act,PEV,-10.000000,0.120248
TRexSPCA-ENaug-Act,FDR,-10.000000,0.134981
TRexSPCA-ENaug-Act,TPR,-10.000000,0.997000
TRexSPCA-ENaug-Act,PEV,-10.000000,0.120291
TRexSPCA-EN-Thr,FDR,-10.000000,0.135862
TRexSPCA-EN-Thr,TPR,-10.000000,0.998000
TRexSPCA-EN-Thr,PEV,-10.000000,0.133528
TRexSPCA-ENaug-Thr,FDR,-10.000000,0.135415
TRexSPCA-ENaug-Thr,TPR,-10.000000,0.998000
TRexSPCA-ENaug-Thr,PEV,-10.000000,0.133139
