solver,metric,snr,value
TLARS,FDR,0.100000,0.015
TLARS,TPR,0.100000,0.004
TLARS,FDR,0.500000,0.0208333333333333
TLARS,TPR,0.500000,0.219
TLARS,FDR,1.000000,0.0398347763347763
TLARS,TPR,1.000000,0.69
TLARS,FDR,2.000000,0.0389213286713287
TLARS,TPR,2.000000,0.978
TLARS,FDR,5.000000,0.0312121212121212
TLARS,TPR,5.000000,1
TLASSO,FDR,0.100000,0.04
TLASSO,TPR,0.100000,0.000999999999999999
TLASSO,FDR,0.500000,0.0188333333333333
TLASSO,TPR,0.500000,0.191
TLASSO,FDR,1.000000,0.0377950937950938
TLASSO,TPR,1.000000,0.7
TLASSO,FDR,2.000000,0.0362727272727273
TLASSO,TPR,2.000000,0.98
TLASSO,FDR,5.000000,0.0354678654678655
TLASSO,TPR,5.000000,1
TENET,FDR,0.100000,0.02
TENET,TPR,0.100000,0.002
TENET,FDR,0.500000,0.021
TENET,TPR,0.500000,0.208
TENET,FDR,1.000000,0.0416933621933622
TENET,TPR,1.000000,0.702
TENET,FDR,2.000000,0.0375757575757576
TENET,TPR,2.000000,0.972
TENET,FDR,5.000000,0.028952713952714
TENET,TPR,5.000000,1
TSTAGEWISE,FDR,0.100000,0.02
TSTAGEWISE,TPR,0.100000,0.000999999999999999
TSTAGEWISE,FDR,0.500000,0.0125952380952381
TSTAGEWISE,TPR,0.500000,0.222
TSTAGEWISE,FDR,1.000000,0.0435728715728716
TSTAGEWISE,TPR,1.000000,0.715
TSTAGEWISE,FDR,2.000000,0.043034965034965
TSTAGEWISE,TPR,2.000000,0.985
TSTAGEWISE,FDR,5.000000,0.037948717948718
TSTAGEWISE,TPR,5.000000,1
TSTEPWISE,FDR,0.100000,0.03
TSTEPWISE,TPR,0.100000,0.000999999999999999
TSTEPWISE,FDR,0.500000,0.0145
TSTEPWISE,TPR,0.500000,0.189
TSTEPWISE,FDR,1.000000,0.0217294094794095
TSTEPWISE,TPR,1.000000,0.828
TSTEPWISE,FDR,2.000000,0.0284848484848485
TSTEPWISE,TPR,2.000000,1
TSTEPWISE,FDR,5.000000,0.0292207792207792
TSTEPWISE,TPR,5.000000,1
TOMP,FDR,0.100000,0.04
TOMP,TPR,0.100000,0
TOMP,FDR,0.500000,0.00866666666666667
TOMP,TPR,0.500000,0.195
TOMP,FDR,1.000000,0.0254476634476634
TOMP,TPR,1.000000,0.816
TOMP,FDR,2.000000,0.0291258741258741
TOMP,TPR,2.000000,1
TOMP,FDR,5.000000,0.0298484848484848
TOMP,TPR,5.000000,1
TGP,FDR,0.100000,0.02
TGP,TPR,0.100000,0.002
TGP,FDR,0.500000,0.002
TGP,TPR,0.500000,0.188
TGP,FDR,1.000000,0.0267236652236652
TGP,TPR,1.000000,0.823
TGP,FDR,2.000000,0.0278787878787879
TGP,TPR,2.000000,1
TGP,FDR,5.000000,0.0281818181818182
TGP,TPR,5.000000,1
TACGP,FDR,0.100000,0.02
TACGP,TPR,0.100000,0.002
TACGP,FDR,0.500000,0.0045
TACGP,TPR,0.500000,0.187
TACGP,FDR,1.000000,0.0264776334776335
TACGP,TPR,1.000000,0.829
TACGP,FDR,2.000000,0.0283333333333333
TACGP,TPR,2.000000,1
TACGP,FDR,5.000000,0.0327056277056277
TACGP,TPR,5.000000,1
TMP,FDR,0.100000,0.00999999999999999
TMP,TPR,0.100000,0
TMP,FDR,0.500000,0.00699999999999999
TMP,TPR,0.500000,0.181
TMP,FDR,1.000000,0.0296749361749362
TMP,TPR,1.000000,0.819
TMP,FDR,2.000000,0.031969696969697
TMP,TPR,2.000000,1
TMP,FDR,5.000000,0.0240692640692641
TMP,TPR,5.000000,1
TAFS_rho_0.3,FDR,0.100000,0.02
TAFS_rho_0.3,TPR,0.100000,0.000999999999999999
TAFS_rho_0.3,FDR,0.500000,0.009
TAFS_rho_0.3,TPR,0.500000,0.199
TAFS_rho_0.3,FDR,1.000000,0.0321154123654124
TAFS_rho_0.3,TPR,1.000000,0.848
TAFS_rho_0.3,FDR,2.000000,0.0317016317016317
TAFS_rho_0.3,TPR,2.000000,0.999
TAFS_rho_0.3,FDR,5.000000,0.0254895104895105
TAFS_rho_0.3,TPR,5.000000,1
TAFS_rho_1.0,FDR,0.100000,0.03
TAFS_rho_1.0,TPR,0.100000,0.000999999999999999
TAFS_rho_1.0,FDR,0.500000,0.0095
TAFS_rho_1.0,TPR,0.500000,0.174
TAFS_rho_1.0,FDR,1.000000,0.0280082695082695
TAFS_rho_1.0,TPR,1.000000,0.836
TAFS_rho_1.0,FDR,2.000000,0.0295454545454545
TAFS_rho_1.0,TPR,2.000000,1
TAFS_rho_1.0,FDR,5.000000,0.0287878787878788
TAFS_rho_1.0,TPR,5.000000,1
TNCGMP_v1,FDR,0.100000,0.04
TNCGMP_v1,TPR,0.100000,0.002
TNCGMP_v1,FDR,0.500000,0.00733333333333333
TNCGMP_v1,TPR,0.500000,0.186
TNCGMP_v1,FDR,1.000000,0.0218448495948496
TNCGMP_v1,TPR,1.000000,0.838
TNCGMP_v1,FDR,2.000000,0.0312121212121212
TNCGMP_v1,TPR,2.000000,1
TNCGMP_v1,FDR,5.000000,0.0253030303030303
TNCGMP_v1,TPR,5.000000,1
TNCGMP_v0,FDR,0.100000,0.03
TNCGMP_v0,TPR,0.100000,0.003
TNCGMP_v0,FDR,0.500000,0.0075
TNCGMP_v0,TPR,0.500000,0.191
TNCGMP_v0,FDR,1.000000,0.0256179653679654
TNCGMP_v0,TPR,1.000000,0.825
TNCGMP_v0,FDR,2.000000,0.0343939393939394
TNCGMP_v0,TPR,2.000000,1
TNCGMP_v0,FDR,5.000000,0.0253163503163503
TNCGMP_v0,TPR,5.000000,1
TOOLS,FDR,0.100000,0.02
TOOLS,TPR,0.100000,0.002
TOOLS,FDR,0.500000,0.00666666666666667
