solver,metric,snr,value
TLARS,FDR,0.100000,0.005
TLARS,TPR,0.100000,0.0045
TLARS,AvgL,0.100000,2.865
TLARS,AvgT,0.100000,3.105
TLARS,FDR,0.200000,0.01375
TLARS,TPR,0.200000,0.0175
TLARS,AvgL,0.200000,4.595
TLARS,AvgT,0.200000,2.8
TLARS,FDR,0.300000,0.0175
TLARS,TPR,0.300000,0.045
TLARS,AvgL,0.300000,5.805
TLARS,AvgT,0.300000,2.89
TLARS,FDR,0.400000,0.0276785714285714
TLARS,TPR,0.400000,0.13
TLARS,AvgL,0.400000,7.225
TLARS,AvgT,0.400000,3.375
TLARS,FDR,0.500000,0.0365952380952381
TLARS,TPR,0.500000,0.2515
TLARS,AvgL,0.500000,7.45
TLARS,AvgT,0.500000,4.515
TLARS,FDR,0.600000,0.0396589105339105
TLARS,TPR,0.600000,0.3365
TLARS,AvgL,0.600000,6.86
TLARS,AvgT,0.600000,4.87
TLARS,FDR,0.700000,0.0520959595959596
TLARS,TPR,0.700000,0.4625
TLARS,AvgL,0.700000,5.97
TLARS,AvgT,0.700000,5.175
TLARS,FDR,0.800000,0.0482950937950938
TLARS,TPR,0.800000,0.5505
TLARS,AvgL,0.800000,5.29
TLARS,AvgT,0.800000,5.5
TLARS,FDR,0.900000,0.033648088023088
TLARS,TPR,0.900000,0.661
TLARS,AvgL,0.900000,4.83
TLARS,AvgT,0.900000,5.585
TLARS,FDR,1.000000,0.0489019175269175
TLARS,TPR,1.000000,0.7235
TLARS,AvgL,1.000000,4.145
TLARS,AvgT,1.000000,5.265
TLARS,FDR,1.100000,0.0478080669330669
TLARS,TPR,1.100000,0.775
TLARS,AvgL,1.100000,3.71
TLARS,AvgT,1.100000,5.15
TLARS,FDR,1.200000,0.0511214341214341
TLARS,TPR,1.200000,0.82
TLARS,AvgL,1.200000,3.135
TLARS,AvgT,1.200000,4.815
TLARS,FDR,1.300000,0.0434323315573316
TLARS,TPR,1.300000,0.8665
TLARS,AvgL,1.300000,3.055
TLARS,AvgT,1.300000,4.84
TLARS,FDR,1.400000,0.0492432983682984
TLARS,TPR,1.400000,0.907
TLARS,AvgL,1.400000,3.305
TLARS,AvgT,1.400000,5.3
TLARS,FDR,1.500000,0.0364551143301143
TLARS,TPR,1.500000,0.9235
TLARS,AvgL,1.500000,2.78
TLARS,AvgT,1.500000,4.865
TLARS,FDR,1.600000,0.0371251526251526
TLARS,TPR,1.600000,0.9425
TLARS,AvgL,1.600000,2.585
TLARS,AvgT,1.600000,4.645
TLARS,FDR,1.700000,0.0359615384615385
TLARS,TPR,1.700000,0.9555
TLARS,AvgL,1.700000,2.235
TLARS,AvgT,1.700000,4.41
TLARS,FDR,1.800000,0.0379493006993007
TLARS,TPR,1.800000,0.965
TLARS,AvgL,1.800000,2.25
TLARS,AvgT,1.800000,4.455
TLARS,FDR,1.900000,0.0378241203241203
TLARS,TPR,1.900000,0.9715
TLARS,AvgL,1.900000,2.085
TLARS,AvgT,1.900000,4.455
TLARS,FDR,2.000000,0.0431936674436674
TLARS,TPR,2.000000,0.9795
TLARS,AvgL,2.000000,2.07
TLARS,AvgT,2.000000,4.39
TLARS,FDR,5.000000,0.0305827505827506
TLARS,TPR,5.000000,1
TLARS,AvgL,5.000000,1.21
TLARS,AvgT,5.000000,3.975
TLASSO,FDR,0.100000,0.00999999999999999
TLASSO,TPR,0.100000,0.004
TLASSO,AvgL,0.100000,2.875
TLASSO,AvgT,0.100000,3.085
TLASSO,FDR,0.200000,0.0154166666666667
TLASSO,TPR,0.200000,0.0125
TLASSO,AvgL,0.200000,4.56
TLASSO,AvgT,0.200000,2.58
TLASSO,FDR,0.300000,0.0247619047619048
TLASSO,TPR,0.300000,0.049
TLASSO,AvgL,0.300000,5.875
TLASSO,AvgT,0.300000,2.92
TLASSO,FDR,0.400000,0.0323690476190476
TLASSO,TPR,0.400000,0.1395
TLASSO,AvgL,0.400000,7.315
TLASSO,AvgT,0.400000,3.565
TLASSO,FDR,0.500000,0.03422113997114
TLASSO,TPR,0.500000,0.244
TLASSO,AvgL,0.500000,7.345
TLASSO,AvgT,0.500000,4.36
TLASSO,FDR,0.600000,0.0426904761904762
TLASSO,TPR,0.600000,0.342
TLASSO,AvgL,0.600000,6.56
TLASSO,AvgT,0.600000,4.795
TLASSO,FDR,0.700000,0.0552582972582973
TLASSO,TPR,0.700000,0.485
TLASSO,AvgL,0.700000,6.2
TLASSO,AvgT,0.700000,5.6
TLASSO,FDR,0.800000,0.044225468975469
TLASSO,TPR,0.800000,0.5515
TLASSO,AvgL,0.800000,5.27
TLASSO,AvgT,0.800000,5.39
TLASSO,FDR,0.900000,0.0346953463203463
TLASSO,TPR,0.900000,0.6655
TLASSO,AvgL,0.900000,4.915
TLASSO,AvgT,0.900000,5.615
TLASSO,FDR,1.000000,0.0488926767676768
TLASSO,TPR,1.000000,0.7235
TLASSO,AvgL,1.000000,4.255
TLASSO,AvgT,1.000000,5.51
TLASSO,FDR,1.100000,0.0449785214785215
TLASSO,TPR,1.100000,0.7895
TLASSO,AvgL,1.100000,3.64
TLASSO,AvgT,1.100000,5.155
TLASSO,FDR,1.200000,0.0494756216006216
TLASSO,TPR,1.200000,0.833
TLASSO,AvgL,1.200000,3.435
TLASSO,AvgT,1.200000,5.26
TLASSO,FDR,1.300000,0.0439660617160617
TLASSO,TPR,1.300000,0.867
TLASSO,AvgL,1.300000,3.145
TLASSO,AvgT,1.300000,5.185
TLASSO,FDR,1.400000,0.0487272588522589
TLASSO,TPR,1.400000,0.8855
TLASSO,AvgL,1.400000,3.165
TLASSO,AvgT,1.400000,5.19
TLASSO,FDR,1.500000,0.0376409146409146
TLASSO,TPR,1.500000,0.9295
TLASSO,AvgL,1.500000,2.74
TLASSO,AvgT,1.500000,4.81
TLASSO,FDR,1.600000,0.0428829226329226
TLASSO,TPR,1.600000,0.9385
TLASSO,AvgL,1.600000,2.42
TLASSO,AvgT,1.600000,4.585
TLASSO,FDR,1.700000,0.0391740481740482
TLASSO,TPR,1.700000,0.958
TLASSO,AvgL,1.700000,2.285
TLASSO,AvgT,1.700000,4.53
TLASSO,FDR,1.800000,0.0363131313131313
TLASSO,TPR,1.800000,0.964
TLASSO,AvgL,1.800000,2.175
TLASSO,AvgT,1.800000,4.38
TLASSO,FDR,1.900000,0.0315016095016095
TLASSO,TPR,1.900000,0.971
TLASSO,AvgL,1.900000,2.03
TLASSO,AvgT,1.900000,4.33
TLASSO,FDR,2.000000,0.0441663336663337
TLASSO,TPR,2.000000,0.9795
TLASSO,AvgL,2.000000,2.04
TLASSO,AvgT,2.000000,4.5
TLASSO,FDR,5.000000,0.0251864801864802
TLASSO,TPR,5.000000,1
TLASSO,AvgL,5.000000,1.14
TLASSO,AvgT,5.000000,3.88
TENET,FDR,0.100000,0.0250000000000001
TENET,TPR,0.100000,0.003
TENET,AvgL,0.100000,2.895
TENET,AvgT,0.100000,3.14
TENET,FDR,0.200000,0.01625
TENET,TPR,0.200000,0.016
TENET,AvgL,0.200000,4.585
TENET,AvgT,0.200000,2.785
TENET,FDR,0.300000,0.0177083333333333
TENET,TPR,0.300000,0.049
TENET,AvgL,0.300000,5.76
TENET,AvgT,0.300000,2.845
TENET,FDR,0.400000,0.026952380952381
TENET,TPR,0.400000,0.1415
TENET,AvgL,0.400000,7.395
TENET,AvgT,0.400000,3.55
TENET,FDR,0.500000,0.0356765873015873
TENET,TPR,0.500000,0.233
TENET,AvgL,0.500000,7.265
TENET,AvgT,0.500000,4.195
TENET,FDR,0.600000,0.0323313492063492
TENET,TPR,0.600000,0.3395
TENET,AvgL,0.600000,6.72
TENET,AvgT,0.600000,4.645
TENET,FDR,0.700000,0.0508118686868687
TENET,TPR,0.700000,0.4705
TENET,AvgL,0.700000,6.255
TENET,AvgT,0.700000,5.42
TENET,FDR,0.800000,0.0475945165945166
TENET,TPR,0.800000,0.5555
TENET,AvgL,0.800000,5.57
TENET,AvgT,0.800000,5.68
TENET,FDR,0.900000,0.0355331751581752
TENET,TPR,0.900000,0.6465
TENET,AvgL,0.900000,4.95
TENET,AvgT,0.900000,5.51
TENET,FDR,1.000000,0.0482517066267066
TENET,TPR,1.000000,0.7105
TENET,AvgL,1.000000,4.375
TENET,AvgT,1.000000,5.61
TENET,FDR,1.100000,0.0513008658008658
TENET,TPR,1.100000,0.7675
TENET,AvgL,1.100000,3.87
TENET,AvgT,1.100000,5.18
TENET,FDR,1.200000,0.048108571983572
TENET,TPR,1.200000,0.813
TENET,AvgL,1.200000,3.22
TENET,AvgT,1.200000,4.835
TENET,FDR,1.300000,0.043473803973804
TENET,TPR,1.300000,0.85
TENET,AvgL,1.300000,3.165
TENET,AvgT,1.300000,4.935
TENET,FDR,1.400000,0.0514932567432567
TENET,TPR,1.400000,0.883
TENET,AvgL,1.400000,3.36
TENET,AvgT,1.400000,5.335
TENET,FDR,1.500000,0.0422247890997891
TENET,TPR,1.500000,0.905
TENET,AvgL,1.500000,2.595
TENET,AvgT,1.500000,4.655
TENET,FDR,1.600000,0.041874222999223
TENET,TPR,1.600000,0.926
TENET,AvgL,1.600000,2.475
TENET,AvgT,1.600000,4.55
TENET,FDR,1.700000,0.0384502164502165
TENET,TPR,1.700000,0.9465
TENET,AvgL,1.700000,2.335
TENET,AvgT,1.700000,4.43
TENET,FDR,1.800000,0.0384709595959596
TENET,TPR,1.800000,0.949
TENET,AvgL,1.800000,2.305
TENET,AvgT,1.800000,4.305
TENET,FDR,1.900000,0.0367385392385392
TENET,TPR,1.900000,0.9595
TENET,AvgL,1.900000,2.145
TENET,AvgT,1.900000,4.345
TENET,FDR,2.000000,0.0459967532467533
TENET,TPR,2.000000,0.9715
TENET,AvgL,2.000000,2.19
TENET,AvgT,2.000000,4.45
TENET,FDR,5.000000,0.0313228438228438
TENET,TPR,5.000000,1
TENET,AvgL,5.000000,1.24
TENET,AvgT,5.000000,4.065
TSTAGEWISE,FDR,0.100000,0.0125
TSTAGEWISE,TPR,0.100000,0.0045
TSTAGEWISE,AvgL,0.100000,2.97
TSTAGEWISE,AvgT,0.100000,3.085
TSTAGEWISE,FDR,0.200000,0.0179166666666667
TSTAGEWISE,TPR,0.200000,0.0165
TSTAGEWISE,AvgL,0.200000,4.64
TSTAGEWISE,AvgT,0.200000,2.705
TSTAGEWISE,FDR,0.300000,0.0210416666666667
TSTAGEWISE,TPR,0.300000,0.0485
TSTAGEWISE,AvgL,0.300000,5.885
TSTAGEWISE,AvgT,0.300000,2.955
TSTAGEWISE,FDR,0.400000,0.0271309523809524
TSTAGEWISE,TPR,0.400000,0.142
TSTAGEWISE,AvgL,0.400000,7.395
TSTAGEWISE,AvgT,0.400000,3.535
TSTAGEWISE,FDR,0.500000,0.0420416666666667
TSTAGEWISE,TPR,0.500000,0.251
TSTAGEWISE,AvgL,0.500000,7.405
TSTAGEWISE,AvgT,0.500000,4.52
TSTAGEWISE,FDR,0.600000,0.0398392857142857
TSTAGEWISE,TPR,0.600000,0.3325
TSTAGEWISE,AvgL,0.600000,6.85
TSTAGEWISE,AvgT,0.600000,4.72
TSTAGEWISE,FDR,0.700000,0.0508279220779221
TSTAGEWISE,TPR,0.700000,0.477
TSTAGEWISE,AvgL,0.700000,6.17
TSTAGEWISE,AvgT,0.700000,5.53
TSTAGEWISE,FDR,0.800000,0.0463883477633478
TSTAGEWISE,TPR,0.800000,0.551
TSTAGEWISE,AvgL,0.800000,5.405
TSTAGEWISE,AvgT,0.800000,5.545
TSTAGEWISE,FDR,0.900000,0.0320666000666001
TSTAGEWISE,TPR,0.900000,0.6695
TSTAGEWISE,AvgL,0.900000,5.06
TSTAGEWISE,AvgT,0.900000,5.715
TSTAGEWISE,FDR,1.000000,0.0496030358530359
TSTAGEWISE,TPR,1.000000,0.738
TSTAGEWISE,AvgL,1.000000,4.34
TSTAGEWISE,AvgT,1.000000,5.795
TSTAGEWISE,FDR,1.100000,0.0486166888666889
TSTAGEWISE,TPR,1.100000,0.781
TSTAGEWISE,AvgL,1.100000,3.71
TSTAGEWISE,AvgT,1.100000,5.185
TSTAGEWISE,FDR,1.200000,0.0537737956487956
TSTAGEWISE,TPR,1.200000,0.8315
TSTAGEWISE,AvgL,1.200000,3.44
TSTAGEWISE,AvgT,1.200000,5.09
TSTAGEWISE,FDR,1.300000,0.0435827783327783
TSTAGEWISE,TPR,1.300000,0.865
TSTAGEWISE,AvgL,1.300000,3.3
TSTAGEWISE,AvgT,1.300000,5.075
TSTAGEWISE,FDR,1.400000,0.0505612859362859
TSTAGEWISE,TPR,1.400000,0.9005
TSTAGEWISE,AvgL,1.400000,3.125
TSTAGEWISE,AvgT,1.400000,5.23
TSTAGEWISE,FDR,1.500000,0.0383504412254412
TSTAGEWISE,TPR,1.500000,0.918
TSTAGEWISE,AvgL,1.500000,2.51
TSTAGEWISE,AvgT,1.500000,4.57
TSTAGEWISE,FDR,1.600000,0.0397672882672883
TSTAGEWISE,TPR,1.600000,0.9325
TSTAGEWISE,AvgL,1.600000,2.375
TSTAGEWISE,AvgT,1.600000,4.395
TSTAGEWISE,FDR,1.700000,0.0341083916083916
TSTAGEWISE,TPR,1.700000,0.9545
TSTAGEWISE,AvgL,1.700000,2.255
TSTAGEWISE,AvgT,1.700000,4.37
TSTAGEWISE,FDR,1.800000,0.0383924825174825
TSTAGEWISE,TPR,1.800000,0.962
TSTAGEWISE,AvgL,1.800000,2.12
TSTAGEWISE,AvgT,1.800000,4.355
TSTAGEWISE,FDR,1.900000,0.0378287823287823
TSTAGEWISE,TPR,1.900000,0.9705
TSTAGEWISE,AvgL,1.900000,2.06
TSTAGEWISE,AvgT,1.900000,4.405
TSTAGEWISE,FDR,2.000000,0.0433996836496836
TSTAGEWISE,TPR,2.000000,0.9775
TSTAGEWISE,AvgL,2.000000,2
TSTAGEWISE,AvgT,2.000000,4.43
TSTAGEWISE,FDR,5.000000,0.0288228438228438
TSTAGEWISE,TPR,5.000000,1
TSTAGEWISE,AvgL,5.000000,1.17
TSTAGEWISE,AvgT,5.000000,3.97
TSTEPWISE,FDR,0.100000,0.00999999999999999
TSTEPWISE,TPR,0.100000,0.005
TSTEPWISE,AvgL,0.100000,2.875
TSTEPWISE,AvgT,0.100000,4.805
TSTEPWISE,FDR,0.200000,0.0116666666666666
TSTEPWISE,TPR,0.200000,0.014
TSTEPWISE,AvgL,0.200000,4.63
TSTEPWISE,AvgT,0.200000,4.425
TSTEPWISE,FDR,0.300000,0.0125
TSTEPWISE,TPR,0.300000,0.0345
TSTEPWISE,AvgL,0.300000,5.795
TSTEPWISE,AvgT,0.300000,4.31
TSTEPWISE,FDR,0.400000,0.00541666666666667
TSTEPWISE,TPR,0.400000,0.108
TSTEPWISE,AvgL,0.400000,7.61
TSTEPWISE,AvgT,0.400000,4.215
TSTEPWISE,FDR,0.500000,0.0113674242424242
TSTEPWISE,TPR,0.500000,0.1945
TSTEPWISE,AvgL,0.500000,6.85
TSTEPWISE,AvgT,0.500000,4.705
TSTEPWISE,FDR,0.600000,0.0178831168831169
TSTEPWISE,TPR,0.600000,0.3125
TSTEPWISE,AvgL,0.600000,6.425
TSTEPWISE,AvgT,0.600000,5.24
TSTEPWISE,FDR,0.700000,0.0160515873015873
TSTEPWISE,TPR,0.700000,0.478
TSTEPWISE,AvgL,0.700000,5.455
TSTEPWISE,AvgT,0.700000,5.83
TSTEPWISE,FDR,0.800000,0.0197406204906205
TSTEPWISE,TPR,0.800000,0.598
TSTEPWISE,AvgL,0.800000,4.67
TSTEPWISE,AvgT,0.800000,5.82
TSTEPWISE,FDR,0.900000,0.0201543872793873
TSTEPWISE,TPR,0.900000,0.7685
TSTEPWISE,AvgL,0.900000,3.87
TSTEPWISE,AvgT,0.900000,6.01
TSTEPWISE,FDR,1.000000,0.0228409090909091
TSTEPWISE,TPR,1.000000,0.8765
TSTEPWISE,AvgL,1.000000,2.97
TSTEPWISE,AvgT,1.000000,5.62
TSTEPWISE,FDR,1.100000,0.0258358585858586
TSTEPWISE,TPR,1.100000,0.9395
TSTEPWISE,AvgL,1.100000,2.535
TSTEPWISE,AvgT,1.100000,5.675
TSTEPWISE,FDR,1.200000,0.030414849039849
TSTEPWISE,TPR,1.200000,0.9525
TSTEPWISE,AvgL,1.200000,1.99
TSTEPWISE,AvgT,1.200000,5.395
TSTEPWISE,FDR,1.300000,0.0219568764568765
TSTEPWISE,TPR,1.300000,0.9785
TSTEPWISE,AvgL,1.300000,1.895
TSTEPWISE,AvgT,1.300000,5.275
TSTEPWISE,FDR,1.400000,0.0261962481962482
TSTEPWISE,TPR,1.400000,0.99
TSTEPWISE,AvgL,1.400000,1.47
TSTEPWISE,AvgT,1.400000,5.27
TSTEPWISE,FDR,1.500000,0.0260932400932401
TSTEPWISE,TPR,1.500000,0.992
TSTEPWISE,AvgL,1.500000,1.475
TSTEPWISE,AvgT,1.500000,5.45
TSTEPWISE,FDR,1.600000,0.0238205128205128
TSTEPWISE,TPR,1.600000,0.9955
TSTEPWISE,AvgL,1.600000,1.26
TSTEPWISE,AvgT,1.600000,5.51
TSTEPWISE,FDR,1.700000,0.0263399933399933
TSTEPWISE,TPR,1.700000,0.9985
TSTEPWISE,AvgL,1.700000,1.23
TSTEPWISE,AvgT,1.700000,5.075
TSTEPWISE,FDR,1.800000,0.0251386946386946
TSTEPWISE,TPR,1.800000,0.999
TSTEPWISE,AvgL,1.800000,1.19
TSTEPWISE,AvgT,1.800000,5.1
TSTEPWISE,FDR,1.900000,0.025974025974026
TSTEPWISE,TPR,1.900000,0.9995
TSTEPWISE,AvgL,1.900000,1.2
TSTEPWISE,AvgT,1.900000,5.31
TSTEPWISE,FDR,2.000000,0.0278271728271728
TSTEPWISE,TPR,2.000000,1
