method,metric,SNR,value
Screen-TRex Ordinary,FDR,0.01,0.441666666666667
Screen-TRex Ordinary,TPR,0.01,0.005
Screen-TRex Ordinary,Est. FDR,0.01,0.377777777777778
Screen-TRex Ordinary,FDR,0.1,0.463611111111111
Screen-TRex Ordinary,TPR,0.1,0.045
Screen-TRex Ordinary,Est. FDR,0.1,0.549166666666667
Screen-TRex Ordinary,FDR,0.2,0.289722222222222
Screen-TRex Ordinary,TPR,0.2,0.118333333333333
Screen-TRex Ordinary,Est. FDR,0.2,0.485833333333333
Screen-TRex Ordinary,FDR,0.5,0.115456349206349
Screen-TRex Ordinary,TPR,0.5,0.471666666666667
Screen-TRex Ordinary,Est. FDR,0.5,0.20547619047619
Screen-TRex Ordinary,FDR,0.6,0.0931878306878307
Screen-TRex Ordinary,TPR,0.6,0.525
Screen-TRex Ordinary,Est. FDR,0.6,0.195522486772487
Screen-TRex Ordinary,FDR,1,0.0478228715728716
Screen-TRex Ordinary,TPR,1,0.803333333333333
Screen-TRex Ordinary,Est. FDR,1,0.122761544011544
Screen-TRex Ordinary,FDR,2,0.0586013986013986
Screen-TRex Ordinary,TPR,2,0.996666666666667
Screen-TRex Ordinary,Est. FDR,2,0.094491711991712
Screen-TRex Ordinary,FDR,5,0.0568764568764569
Screen-TRex Ordinary,TPR,5,1
Screen-TRex Ordinary,Est. FDR,5,0.0943123543123543
Screen-TRex Bootstrap,FDR,0.01,0.425
Screen-TRex Bootstrap,TPR,0.01,0.00333333333333334
Screen-TRex Bootstrap,Est. FDR,0.01,0.373611111111111
Screen-TRex Bootstrap,FDR,0.1,0.444444444444444
Screen-TRex Bootstrap,TPR,0.1,0.0366666666666667
Screen-TRex Bootstrap,Est. FDR,0.1,0.491666666666667
Screen-TRex Bootstrap,FDR,0.2,0.233333333333333
Screen-TRex Bootstrap,TPR,0.2,0.08
Screen-TRex Bootstrap,Est. FDR,0.2,0.383333333333333
Screen-TRex Bootstrap,FDR,0.5,0.0627645502645503
Screen-TRex Bootstrap,TPR,0.5,0.281666666666667
Screen-TRex Bootstrap,Est. FDR,0.5,0.137665343915344
Screen-TRex Bootstrap,FDR,0.6,0.0351322751322751
Screen-TRex Bootstrap,TPR,0.6,0.241666666666667
Screen-TRex Bootstrap,Est. FDR,0.6,0.0857539682539682
Screen-TRex Bootstrap,FDR,1,0.0250799663299663
Screen-TRex Bootstrap,TPR,1,0.356666666666667
Screen-TRex Bootstrap,Est. FDR,1,0.0512704425204425
Screen-TRex Bootstrap,FDR,2,0.0438383838383838
Screen-TRex Bootstrap,TPR,2,0.765
Screen-TRex Bootstrap,Est. FDR,2,0.072449494949495
Screen-TRex Bootstrap,FDR,5,0.0498640248640249
Screen-TRex Bootstrap,TPR,5,0.833333333333333
Screen-TRex Bootstrap,Est. FDR,5,0.0783469308469309
