method,metric,SNR,value
Screen-TRex Ordinary,FDR,0.1,0.402083333333333
Screen-TRex Ordinary,TPR,0.1,0.0425
Screen-TRex Ordinary,Est. FDR,0.1,0.402916666666667
Screen-TRex Ordinary,FDR,0.5,0.12422619047619
Screen-TRex Ordinary,TPR,0.5,0.48
Screen-TRex Ordinary,Est. FDR,0.5,0.221458333333333
Screen-TRex Ordinary,FDR,1,0.0753796897546898
Screen-TRex Ordinary,TPR,1,0.8275
Screen-TRex Ordinary,Est. FDR,1,0.113941197691198
Screen-TRex Ordinary,FDR,2,0.0533549783549783
Screen-TRex Ordinary,TPR,2,0.9925
Screen-TRex Ordinary,Est. FDR,2,0.0954978354978355
Screen-TRex Ordinary,FDR,5,0.0441142191142191
Screen-TRex Ordinary,TPR,5,1
Screen-TRex Ordinary,Est. FDR,5,0.0955885780885781
Screen-TRex Bootstrap,FDR,0.1,0.316666666666667
Screen-TRex Bootstrap,TPR,0.1,0.025
Screen-TRex Bootstrap,Est. FDR,0.1,0.416666666666667
Screen-TRex Bootstrap,FDR,0.5,0.0633630952380952
Screen-TRex Bootstrap,TPR,0.5,0.2275
Screen-TRex Bootstrap,Est. FDR,0.5,0.110714285714286
Screen-TRex Bootstrap,FDR,1,0.031330266955267
Screen-TRex Bootstrap,TPR,1,0.4075
Screen-TRex Bootstrap,Est. FDR,1,0.0526497113997114
Screen-TRex Bootstrap,FDR,2,0.0336580086580087
Screen-TRex Bootstrap,TPR,2,0.675
Screen-TRex Bootstrap,Est. FDR,2,0.0641341991341991
Screen-TRex Bootstrap,FDR,5,0.0399475524475525
Screen-TRex Bootstrap,TPR,5,0.85
Screen-TRex Bootstrap,Est. FDR,5,0.0810052447552448
