method,metric,rho,value
Screen-TRex Ordinary,FDR,0.1,0.217723387723388
Screen-TRex Ordinary,TPR,0.1,0.91
Screen-TRex Ordinary,Est. FDR,0.1,0.0871006771006771
Screen-TRex Ordinary,FDR,0.2,0.405842490842491
Screen-TRex Ordinary,TPR,0.2,0.87
Screen-TRex Ordinary,Est. FDR,0.2,0.0687835775335775
Screen-TRex Ordinary,FDR,0.3,0.549822964759026
Screen-TRex Ordinary,TPR,0.3,0.82
Screen-TRex Ordinary,Est. FDR,0.3,0.0553052151031691
Screen-TRex Ordinary,FDR,0.4,0.695961254365329
Screen-TRex Ordinary,TPR,0.4,0.78
Screen-TRex Ordinary,Est. FDR,0.4,0.0394436578010432
Screen-TRex Ordinary,FDR,0.5,0.679967919650582
Screen-TRex Ordinary,TPR,0.5,0.77
Screen-TRex Ordinary,Est. FDR,0.5,0.0414138100748008
Screen-TRex Ordinary,FDR,0.6,0.781165973255246
Screen-TRex Ordinary,TPR,0.6,0.68
Screen-TRex Ordinary,Est. FDR,0.6,0.0328350716654607
Screen-TRex Ordinary,FDR,0.7,0.843126758745209
Screen-TRex Ordinary,TPR,0.7,0.44
Screen-TRex Ordinary,Est. FDR,0.7,0.0372378900717822
Screen-TRex Ordinary,FDR,0.8,0.863813616938617
Screen-TRex Ordinary,TPR,0.8,0.37
Screen-TRex Ordinary,Est. FDR,0.8,0.0366798479298479
Screen-TRex Ordinary,FDR,0.9,0.934254143582851
Screen-TRex Ordinary,TPR,0.9,0.15
Screen-TRex Ordinary,Est. FDR,0.9,0.0466374866635354
Screen-TRex Bootstrap,FDR,0.1,0.0944444444444444
Screen-TRex Bootstrap,TPR,0.1,0.38
Screen-TRex Bootstrap,Est. FDR,0.1,0.0327777777777778
Screen-TRex Bootstrap,FDR,0.2,0.237985347985348
Screen-TRex Bootstrap,TPR,0.2,0.52
Screen-TRex Bootstrap,Est. FDR,0.2,0.0416407203907204
Screen-TRex Bootstrap,FDR,0.3,0.135128205128205
Screen-TRex Bootstrap,TPR,0.3,0.25
Screen-TRex Bootstrap,Est. FDR,0.3,0.0199145299145299
