method,metric,rho,value
Screen-TRex Ordinary,FDR,0.1,0.706519455238866
Screen-TRex Ordinary,TPR,0.1,0.86
Screen-TRex Ordinary,Est. FDR,0.1,0.0341778701924697
Screen-TRex Ordinary,FDR,0.2,0.770991158977374
Screen-TRex Ordinary,TPR,0.2,0.8
Screen-TRex Ordinary,Est. FDR,0.2,0.0287541174835149
Screen-TRex Ordinary,FDR,0.3,0.870365969583239
Screen-TRex Ordinary,TPR,0.3,0.51
Screen-TRex Ordinary,Est. FDR,0.3,0.0259414465210607
Screen-TRex Ordinary,FDR,0.4,0.846271425094955
Screen-TRex Ordinary,TPR,0.4,0.53
Screen-TRex Ordinary,Est. FDR,0.4,0.02865207703443
Screen-TRex Ordinary,FDR,0.5,0.897534165530882
Screen-TRex Ordinary,TPR,0.5,0.32
Screen-TRex Ordinary,Est. FDR,0.5,0.0314163465902955
Screen-TRex Ordinary,FDR,0.6,0.900143882486682
Screen-TRex Ordinary,TPR,0.6,0.28
Screen-TRex Ordinary,Est. FDR,0.6,0.0355726183046163
Screen-TRex Ordinary,FDR,0.7,0.914624651026494
Screen-TRex Ordinary,TPR,0.7,0.22
Screen-TRex Ordinary,Est. FDR,0.7,0.0413821585939057
Screen-TRex Ordinary,FDR,0.8,0.920097993462358
Screen-TRex Ordinary,TPR,0.8,0.15
Screen-TRex Ordinary,Est. FDR,0.8,0.0547988213434194
Screen-TRex Ordinary,FDR,0.9,0.94629451430922
Screen-TRex Ordinary,TPR,0.9,0.08
Screen-TRex Ordinary,Est. FDR,0.9,0.0715941411529647
Screen-TRex Bootstrap,FDR,0.1,0.548319283669019
Screen-TRex Bootstrap,TPR,0.1,0.7
Screen-TRex Bootstrap,Est. FDR,0.1,0.0285086747365096
Screen-TRex Bootstrap,FDR,0.2,0.621681865234941
Screen-TRex Bootstrap,TPR,0.2,0.63
Screen-TRex Bootstrap,Est. FDR,0.2,0.0226377527530941
Screen-TRex Bootstrap,FDR,0.3,0.782755480989956
Screen-TRex Bootstrap,TPR,0.3,0.45
Screen-TRex Bootstrap,Est. FDR,0.3,0.0238399481908661
Screen-TRex Bootstrap,FDR,0.4,0.844152487370148
Screen-TRex Bootstrap,TPR,0.4,0.52
Screen-TRex Bootstrap,Est. FDR,0.4,0.0295630176767611
Screen-TRex Bootstrap,FDR,0.5,0.89478084094837
Screen-TRex Bootstrap,TPR,0.5,0.31
Screen-TRex Bootstrap,Est. FDR,0.5,0.0329353835326734
Screen-TRex Bootstrap,FDR,0.6,0.807031233134681
Screen-TRex Bootstrap,TPR,0.6,0.26
