method,metric,snr,value
Screen-TRex (ordinary),Usage,0.1,0
Screen-TRex (ordinary),FDR,0.1,0
Screen-TRex (ordinary),TPR,0.1,0
Screen-TRex (ordinary),Est. FDR,0.1,0.476
Screen-TRex (ordinary),Usage,0.5,0.0266666666666667
Screen-TRex (ordinary),FDR,0.5,0.330357142857143
Screen-TRex (ordinary),TPR,0.5,1
Screen-TRex (ordinary),Est. FDR,0.5,0.195021164021164
Screen-TRex (ordinary),Usage,1,0.0533333333333333
Screen-TRex (ordinary),FDR,1,0.285714285714286
Screen-TRex (ordinary),TPR,1,1
Screen-TRex (ordinary),Est. FDR,1,0.178656084656084
Screen-TRex (ordinary),Usage,2,0.0533333333333333
Screen-TRex (ordinary),FDR,2,0.347718253968254
Screen-TRex (ordinary),TPR,2,1
Screen-TRex (ordinary),Est. FDR,2,0.174550264550264
Screen-TRex (ordinary),Usage,5,0.0266666666666667
Screen-TRex (ordinary),FDR,5,0.285714285714286
Screen-TRex (ordinary),TPR,5,1
Screen-TRex (ordinary),Est. FDR,5,0.180396825396825
Screen-TRex (bootstrap-CI),Usage,0.1,0
Screen-TRex (bootstrap-CI),FDR,0.1,0
Screen-TRex (bootstrap-CI),TPR,0.1,0
Screen-TRex (bootstrap-CI),Est. FDR,0.1,0.356
Screen-TRex (bootstrap-CI),Usage,0.5,0.08
Screen-TRex (bootstrap-CI),FDR,0.5,0.312169312169312
Screen-TRex (bootstrap-CI),TPR,0.5,1
Screen-TRex (bootstrap-CI),Est. FDR,0.5,0.146560846560847
Screen-TRex (bootstrap-CI),Usage,1,0.133333333333333
Screen-TRex (bootstrap-CI),FDR,1,0.319444444444444
Screen-TRex (bootstrap-CI),TPR,1,1
Screen-TRex (bootstrap-CI),Est. FDR,1,0.14837037037037
Screen-TRex (bootstrap-CI),Usage,2,0.133333333333333
Screen-TRex (bootstrap-CI),FDR,2,0.331944444444444
Screen-TRex (bootstrap-CI),TPR,2,1
Screen-TRex (bootstrap-CI),Est. FDR,2,0.140925925925926
Screen-TRex (bootstrap-CI),Usage,5,0.0933333333333333
Screen-TRex (bootstrap-CI),FDR,5,0.349489795918367
Screen-TRex (bootstrap-CI),TPR,5,1
Screen-TRex (bootstrap-CI),Est. FDR,5,0.154809523809524
T-Rex (fallback),Usage,0.1,1
T-Rex (fallback),FDR,0.1,0
T-Rex (fallback),TPR,0.1,0.016
T-Rex (fallback),Est. FDR,0.1,0.0999999999999999
T-Rex (fallback),Usage,0.5,0.893333333333333
T-Rex (fallback),FDR,0.5,0.0129353233830846
T-Rex (fallback),TPR,0.5,0.853731343283582
T-Rex (fallback),Est. FDR,0.5,0.0999999999999999
T-Rex (fallback),Usage,1,0.813333333333333
T-Rex (fallback),FDR,1,0.0109289617486339
T-Rex (fallback),TPR,1,1
T-Rex (fallback),Est. FDR,1,0.0999999999999999
T-Rex (fallback),Usage,2,0.813333333333333
T-Rex (fallback),FDR,2,0.0136612021857923
T-Rex (fallback),TPR,2,1
T-Rex (fallback),Est. FDR,2,0.0999999999999999
T-Rex (fallback),Usage,5,0.88
T-Rex (fallback),FDR,5,0.00505050505050505
T-Rex (fallback),TPR,5,1
T-Rex (fallback),Est. FDR,5,0.0999999999999999
