method,metric,snr,value
Screen-TRex (ordinary),Usage,0.1,0
Screen-TRex (ordinary),FDR,0.1,0
Screen-TRex (ordinary),TPR,0.1,0
Screen-TRex (ordinary),Est. FDR,0.1,0.408333333333333
Screen-TRex (ordinary),Usage,0.5,0.15
Screen-TRex (ordinary),FDR,0.5,0.208002645502645
Screen-TRex (ordinary),TPR,0.5,0.633333333333333
Screen-TRex (ordinary),Est. FDR,0.5,0.20265873015873
Screen-TRex (ordinary),Usage,1,0.45
Screen-TRex (ordinary),FDR,1,0.0760622093955427
Screen-TRex (ordinary),TPR,1,0.822222222222222
Screen-TRex (ordinary),Est. FDR,1,0.113454184704185
Screen-TRex (ordinary),Usage,2,0.25
Screen-TRex (ordinary),FDR,2,0.0590909090909091
Screen-TRex (ordinary),TPR,2,0.99
Screen-TRex (ordinary),Est. FDR,2,0.0950165112665113
Screen-TRex (ordinary),Usage,5,0.125
Screen-TRex (ordinary),FDR,5,0.100699300699301
Screen-TRex (ordinary),TPR,5,1
Screen-TRex (ordinary),Est. FDR,5,0.0938548951048951
Screen-TRex (bootstrap-CI),Usage,0.1,0
Screen-TRex (bootstrap-CI),FDR,0.1,0
Screen-TRex (bootstrap-CI),TPR,0.1,0
Screen-TRex (bootstrap-CI),Est. FDR,0.1,0.4
Screen-TRex (bootstrap-CI),Usage,0.5,0.125
Screen-TRex (bootstrap-CI),FDR,0.5,0.173809523809524
Screen-TRex (bootstrap-CI),TPR,0.5,0.68
Screen-TRex (bootstrap-CI),Est. FDR,0.5,0.0995436507936508
Screen-TRex (bootstrap-CI),Usage,1,0.525
Screen-TRex (bootstrap-CI),FDR,1,0.0736978629835773
Screen-TRex (bootstrap-CI),TPR,1,0.842857142857143
Screen-TRex (bootstrap-CI),Est. FDR,1,0.058205266955267
Screen-TRex (bootstrap-CI),Usage,2,0.75
Screen-TRex (bootstrap-CI),FDR,2,0.0541569541569542
Screen-TRex (bootstrap-CI),TPR,2,0.996666666666667
Screen-TRex (bootstrap-CI),Est. FDR,2,0.0712160062160062
Screen-TRex (bootstrap-CI),Usage,5,0.875
Screen-TRex (bootstrap-CI),FDR,5,0.0558441558441558
Screen-TRex (bootstrap-CI),TPR,5,1
Screen-TRex (bootstrap-CI),Est. FDR,5,0.0826136363636364
T-Rex (fallback),Usage,0.1,1
T-Rex (fallback),FDR,0.1,0.025
T-Rex (fallback),TPR,0.1,0
T-Rex (fallback),Est. FDR,0.1,0.1
T-Rex (fallback),Usage,0.5,0.725
T-Rex (fallback),FDR,0.5,0.0459770114942529
T-Rex (fallback),TPR,0.5,0.231034482758621
T-Rex (fallback),Est. FDR,0.5,0.1
T-Rex (fallback),Usage,1,0.025
T-Rex (fallback),FDR,1,0
T-Rex (fallback),TPR,1,0.7
T-Rex (fallback),Est. FDR,1,0.1
T-Rex (fallback),Usage,2,0
T-Rex (fallback),FDR,2,0
T-Rex (fallback),TPR,2,0
T-Rex (fallback),Est. FDR,2,0.1
T-Rex (fallback),Usage,5,0
T-Rex (fallback),FDR,5,0
T-Rex (fallback),TPR,5,0
T-Rex (fallback),Est. FDR,5,0.1
