method,metric,SNR,value
TLARS (Ordinary),FDR,0.01,0.475
TLARS (Ordinary),TPR,0.01,0.01
TLARS (Ordinary),Est. FDR,0.01,0.379166666666667
TLARS (Ordinary),FDR,0.1,0.4375
TLARS (Ordinary),TPR,0.1,0.05
TLARS (Ordinary),Est. FDR,0.1,0.570833333333333
TLARS (Ordinary),FDR,0.2,0.291666666666667
TLARS (Ordinary),TPR,0.2,0.125
TLARS (Ordinary),Est. FDR,0.2,0.525
TLARS (Ordinary),FDR,0.5,0.129285714285714
TLARS (Ordinary),TPR,0.5,0.425
TLARS (Ordinary),Est. FDR,0.5,0.282678571428571
TLARS (Ordinary),FDR,0.6,0.15109126984127
TLARS (Ordinary),TPR,0.6,0.54
TLARS (Ordinary),Est. FDR,0.6,0.169404761904762
TLARS (Ordinary),FDR,1,0.0255357142857143
TLARS (Ordinary),TPR,1,0.8
TLARS (Ordinary),Est. FDR,1,0.125793650793651
TLARS (Ordinary),FDR,2,0.0855444555444555
TLARS (Ordinary),TPR,2,0.995
TLARS (Ordinary),Est. FDR,2,0.0919455544455545
TLARS (Ordinary),FDR,5,0.0356060606060606
TLARS (Ordinary),TPR,5,1
TLARS (Ordinary),Est. FDR,5,0.096439393939394
TAFS-0.3 (Ordinary),FDR,0.01,0.475
TAFS-0.3 (Ordinary),TPR,0.01,0.01
TAFS-0.3 (Ordinary),Est. FDR,0.01,0.383333333333333
TAFS-0.3 (Ordinary),FDR,0.1,0.404166666666667
TAFS-0.3 (Ordinary),TPR,0.1,0.06
TAFS-0.3 (Ordinary),Est. FDR,0.1,0.545833333333333
TAFS-0.3 (Ordinary),FDR,0.2,0.333333333333333
TAFS-0.3 (Ordinary),TPR,0.2,0.13
TAFS-0.3 (Ordinary),Est. FDR,0.2,0.520833333333333
TAFS-0.3 (Ordinary),FDR,0.5,0.115059523809524
TAFS-0.3 (Ordinary),TPR,0.5,0.525
TAFS-0.3 (Ordinary),Est. FDR,0.5,0.195892857142857
TAFS-0.3 (Ordinary),FDR,0.6,0.107063492063492
TAFS-0.3 (Ordinary),TPR,0.6,0.565
TAFS-0.3 (Ordinary),Est. FDR,0.6,0.17156746031746
TAFS-0.3 (Ordinary),FDR,1,0.0414141414141414
TAFS-0.3 (Ordinary),TPR,1,0.935
TAFS-0.3 (Ordinary),Est. FDR,1,0.104330808080808
