method,metric,SNR,value
TLARS (Ordinary),FDR,0.01,0.475
TLARS (Ordinary),TPR,0.01,0.01
TLARS (Ordinary),Est. FDR,0.01,0.404166666666667
TLARS (Ordinary),FDR,0.1,0.445
TLARS (Ordinary),TPR,0.1,0.06
TLARS (Ordinary),Est. FDR,0.1,0.643333333333333
TLARS (Ordinary),FDR,0.2,0.241666666666667
TLARS (Ordinary),TPR,0.2,0.12
TLARS (Ordinary),Est. FDR,0.2,0.4125
TLARS (Ordinary),FDR,0.5,0.112380952380952
TLARS (Ordinary),TPR,0.5,0.46
TLARS (Ordinary),Est. FDR,0.5,0.218154761904762
TLARS (Ordinary),FDR,0.6,0.134702380952381
TLARS (Ordinary),TPR,0.6,0.535
TLARS (Ordinary),Est. FDR,0.6,0.175099206349206
TLARS (Ordinary),FDR,1,0.0347222222222222
TLARS (Ordinary),TPR,1,0.8
TLARS (Ordinary),Est. FDR,1,0.124424603174603
TLARS (Ordinary),FDR,2,0.0874675324675325
TLARS (Ordinary),TPR,2,0.995
TLARS (Ordinary),Est. FDR,2,0.0917532467532468
TLARS (Ordinary),FDR,5,0.0408008658008658
TLARS (Ordinary),TPR,5,1
TLARS (Ordinary),Est. FDR,5,0.0959199134199134
TAFS-0.3 (Ordinary),FDR,0.01,0.55
TAFS-0.3 (Ordinary),TPR,0.01,0.005
TAFS-0.3 (Ordinary),Est. FDR,0.01,0.508333333333333
TAFS-0.3 (Ordinary),FDR,0.1,0.479166666666667
TAFS-0.3 (Ordinary),TPR,0.1,0.06
TAFS-0.3 (Ordinary),Est. FDR,0.1,0.570833333333333
TAFS-0.3 (Ordinary),FDR,0.2,0.266666666666667
TAFS-0.3 (Ordinary),TPR,0.2,0.13
TAFS-0.3 (Ordinary),Est. FDR,0.2,0.4375
TAFS-0.3 (Ordinary),FDR,0.5,0.10281746031746
TAFS-0.3 (Ordinary),TPR,0.5,0.525
TAFS-0.3 (Ordinary),Est. FDR,0.5,0.208650793650794
TAFS-0.3 (Ordinary),FDR,0.6,0.103253968253968
TAFS-0.3 (Ordinary),TPR,0.6,0.62
TAFS-0.3 (Ordinary),Est. FDR,0.6,0.154285714285714
TAFS-0.3 (Ordinary),FDR,1,0.0383838383838384
TAFS-0.3 (Ordinary),TPR,1,0.93
TAFS-0.3 (Ordinary),Est. FDR,1,0.105328282828283
TAFS-0.3 (Ordinary),FDR,2,0.0713869463869464
TAFS-0.3 (Ordinary),TPR,2,1
TAFS-0.3 (Ordinary),Est. FDR,2,0.0928613053613054
TAFS-0.3 (Ordinary),FDR,5,0.0560606060606061
TAFS-0.3 (Ordinary),TPR,5,1
TAFS-0.3 (Ordinary),Est. FDR,5,0.0943939393939394
TOMP (Ordinary),FDR,0.01,0.45
TOMP (Ordinary),TPR,0.01,0.005
TOMP (Ordinary),Est. FDR,0.01,0.416666666666667
TOMP (Ordinary),FDR,0.1,0.416666666666667
TOMP (Ordinary),TPR,0.1,0.05
TOMP (Ordinary),Est. FDR,0.1,0.591666666666667
TOMP (Ordinary),FDR,0.2,0.308333333333333
TOMP (Ordinary),TPR,0.2,0.125
TOMP (Ordinary),Est. FDR,0.2,0.529166666666667
TOMP (Ordinary),FDR,0.5,0.0755555555555556
TOMP (Ordinary),TPR,0.5,0.47
TOMP (Ordinary),Est. FDR,0.5,0.233115079365079
TOMP (Ordinary),FDR,0.6,0.100279581529582
TOMP (Ordinary),TPR,0.6,0.65
TOMP (Ordinary),Est. FDR,0.6,0.149882756132756
TOMP (Ordinary),FDR,1,0.0282828282828283
TOMP (Ordinary),TPR,1,0.94
TOMP (Ordinary),Est. FDR,1,0.104453463203463
TOMP (Ordinary),FDR,2,0.075
TOMP (Ordinary),TPR,2,1
TOMP (Ordinary),Est. FDR,2,0.0925
TOMP (Ordinary),FDR,5,0.0689393939393939
TOMP (Ordinary),TPR,5,1
TOMP (Ordinary),Est. FDR,5,0.0931060606060606
