method,metric,snr_db,value
OrdPCA,FDR,-10,0.95
OrdPCA,TPR,-10,1
OrdPCA,PEV,-10,0.201650194860717
OraclePCA,FDR,-10,0.004
OraclePCA,TPR,-10,0.996
OraclePCA,PEV,-10,0.12336894501381
TRexSPCA-EN-Act,FDR,-10,0.141008668618963
TRexSPCA-EN-Act,TPR,-10,0.999
TRexSPCA-EN-Act,PEV,-10,0.120640411099683
TRexSPCA-ENaug-Act,FDR,-10,0.128795465155759
TRexSPCA-ENaug-Act,TPR,-10,0.999
TRexSPCA-ENaug-Act,PEV,-10,0.121294332619289
TRexSPCA-EN-Thr,FDR,-10,0.135469022936128
TRexSPCA-EN-Thr,TPR,-10,1
TRexSPCA-EN-Thr,PEV,-10,0.132833560230148
TRexSPCA-ENaug-Thr,FDR,-10,0.134501633986928
TRexSPCA-ENaug-Thr,TPR,-10,0.999
TRexSPCA-ENaug-Thr,PEV,-10,0.133135290012629
