mc,k,T_stop,num_dummies,lambda2_used,indices
0,6,NA,200,7326.201704,14-18-21-24-29-73
1,5,NA,200,7013.278032,1-5-10-18-24
2,5,NA,200,6679.89306,3-9-11-12-18
3,6,NA,300,7076.909516,1-15-20-24-27-86
4,10,NA,200,6310.755273,4-8-13-15-17-18-19-28-29-44
5,5,NA,200,7975.588282,3-8-10-12-21
6,5,NA,200,5865.706385,1-8-13-14-18
7,5,NA,200,6053.763865,1-5-14-18-27
8,7,NA,200,6921.599748,1-4-10-13-14-25-27
9,5,NA,200,6944.773515,4-10-14-21-23
10,5,NA,200,5782.951975,13-16-17-26-29
11,6,NA,200,6986.522758,6-9-12-20-21-73
12,5,NA,200,6208.920714,2-7-9-10-29
13,5,NA,200,6778.883249,17-18-21-22-26
14,7,NA,300,6258.274681,14-17-25-27-29-84-85
15,6,NA,200,6413.75051,5-8-10-16-25-27
16,5,NA,200,7135.974308,2-9-22-23-28
17,5,NA,200,8643.484,5-10-25-29-30
18,5,NA,200,5705.753385,7-16-21-26-30
19,5,NA,200,7030.24684,4-7-10-17-22
20,5,NA,200,5343.872276,6-18-19-20-21
21,5,NA,200,8330.432385,8-19-22-24-26
22,5,NA,200,5820.14202,2-10-12-13-30
23,5,NA,200,7124.492651,14-15-16-24-25
24,6,NA,200,8082.21623,3-5-7-12-13-26
25,5,NA,200,7910.021812,5-8-11-12-13
26,5,NA,200,6749.972568,5-16-23-27-29
27,6,NA,200,7587.343111,5-7-16-21-24-27
28,6,NA,300,6514.999704,2-6-20-21-23-80
29,5,NA,200,6289.5345,7-13-23-26-29
30,5,NA,200,5674.952765,4-13-15-17-28
31,5,NA,200,7126.408537,4-8-18-21-26
32,6,NA,200,7311.037726,1-3-13-19-21-23
33,6,NA,200,5584.510165,10-12-20-21-25-26
34,5,NA,200,6879.839405,8-15-17-26-27
35,5,NA,200,5298.737057,6-8-17-22-27
36,7,NA,200,6038.551688,12-15-17-19-22-24-25
37,6,NA,200,5744.089848,11-16-19-20-27-28
38,9,NA,100,5806.86954,1-5-6-8-9-18-23-25-28
39,9,NA,300,7331.070078,1-2-5-10-14-24-25-30-75
40,5,NA,200,6596.015356,9-16-23-26-28
41,5,NA,200,7193.561018,7-14-16-17-23
42,7,NA,200,5773.007933,9-19-20-25-28-30-91
43,5,NA,200,5328.07203,1-3-4-6-24
44,6,NA,200,7658.567229,2-11-14-18-21-25
45,7,NA,300,6234.119642,18-20-22-23-26-28-62
46,5,NA,200,5900.312178,8-11-16-22-24
47,5,NA,200,5123.967324,9-13-14-16-26
48,5,NA,200,7848.44953,3-7-9-18-21
49,5,NA,200,6435.86398,1-5-8-9-23
50,6,NA,200,6913.869738,1-17-18-23-27-68
51,6,NA,300,6914.63983,1-2-15-16-20-85
52,5,NA,300,7887.187048,2-3-14-18-23
53,6,NA,200,7376.320988,6-9-12-23-28-86
54,6,NA,200,6986.781055,3-8-13-17-19-25
55,6,NA,200,6254.312758,2-24-26-29-30-100
56,5,NA,200,6687.353323,3-4-6-10-29
57,9,NA,200,5808.419039,9-11-15-21-22-30-39-47-61
58,5,NA,200,6492.081772,2-10-12-17-18
59,5,NA,200,6293.663374,4-5-18-22-30
60,8,NA,200,4882.868013,1-11-13-18-24-25-26-28
61,8,NA,300,6291.71189,2-6-21-22-26-27-30-72
62,10,NA,200,7898.966165,4-6-9-10-16-22-27-28-29-60
63,5,NA,200,9642.546591,16-17-18-22-28
64,8,NA,200,6283.725331,4-5-6-11-21-29-45-54
65,8,NA,300,6647.939883,7-8-10-13-15-18-21-26
66,7,NA,200,6727.430433,2-25-26-29-30-77-96
67,6,NA,200,8004.98077,8-12-27-28-30-95
68,6,NA,200,6455.73568,8-12-18-20-23-27
69,5,NA,200,8052.83133,1-9-15-25-27
70,5,NA,200,8531.109281,15-17-22-26-28
71,5,NA,200,7538.25252,5-8-12-19-28
72,5,NA,200,5643.608427,4-5-8-16-26
73,5,NA,200,8005.997686,3-9-10-13-24
74,6,NA,300,6025.810939,5-6-9-14-26-27
75,5,NA,200,6616.187265,5-13-14-16-19
76,5,NA,200,6792.534568,7-9-14-20-24
77,5,NA,200,6720.273556,6-14-17-21-24
78,5,NA,200,7501.83341,5-12-21-24-25
79,9,NA,200,6139.200696,8-9-14-16-17-24-25-28-29
80,5,NA,200,6995.070649,2-3-10-14-18
81,5,NA,200,7636.705642,11-14-25-26-28
82,5,NA,200,6571.515075,9-11-22-24-28
83,8,NA,200,5384.314201,11-14-15-21-25-39-96-100
84,5,NA,200,7263.255959,4-9-19-21-27
85,5,NA,200,7744.635656,2-4-9-15-27
86,5,NA,300,6418.863674,3-4-17-27-30
87,6,NA,200,7589.058368,3-5-10-13-15-28
88,5,NA,200,7260.364813,3-11-24-26-30
89,5,NA,200,5633.28948,2-3-15-21-22
90,5,NA,200,5353.546479,3-9-21-26-27
91,5,NA,200,5893.455617,11-12-15-24-30
92,5,NA,200,6928.875208,1-7-12-19-28
93,6,NA,200,7356.817088,2-5-6-18-19-24
94,7,NA,200,7237.674446,2-10-19-24-29-72-79
95,5,NA,200,7347.893823,7-12-13-14-28
96,6,NA,200,5804.775373,7-12-16-18-23-25
97,7,NA,300,6298.107627,12-14-22-23-26-82-99
98,6,NA,200,8135.237902,11-13-20-24-25-85
99,5,NA,200,7778.018275,1-5-8-22-28
