mc,lambda2,k,T_stop,num_dummies,fdr,tpr,indices
0,9856.424858,5,2,200,0,1,4-8-20-26-27
1,8984.692645,6,3,200,0.1666666667,1,9-11-13-15-18-71
2,8381.304244,5,4,200,0,1,10-15-17-18-28
3,11354.04966,5,2,300,0,1,7-11-17-21-24
4,6876.543077,5,6,200,0,1,5-7-16-22-26
5,5303.922665,5,3,200,0,1,9-13-17-24-28
6,8250.513237,5,6,200,0,1,1-7-24-27-29
7,11345.44805,5,4,200,0,1,2-3-9-17-22
8,8596.302247,6,2,200,0.1666666667,1,3-8-10-19-25-83
9,7130.834292,5,5,200,0,1,2-4-9-16-18
10,8943.187072,7,2,200,0.2857142857,1,2-16-21-23-28-29-99
11,9049.400332,5,2,200,0,1,1-10-16-18-24
12,10233.20814,7,6,300,0.2857142857,1,4-5-12-13-25-28-74
13,7596.21364,6,4,200,0.1666666667,1,3-4-7-15-23-65
14,7058.483469,5,4,200,0,1,7-21-22-23-27
15,8938.958113,6,5,200,0.1666666667,1,2-13-20-22-25-80
16,9013.030321,7,6,200,0.2857142857,1,3-8-11-15-16-30-97
17,8657.905147,8,3,200,0.375,1,3-13-14-16-18-19-22-24
18,11509.92005,5,4,200,0,1,11-14-15-21-23
19,6755.459817,7,6,200,0.2857142857,1,0-1-9-13-16-20-23
20,8348.909241,7,3,200,0.2857142857,1,5-7-16-17-28-43-88
21,12480.55842,6,4,200,0.1666666667,1,2-4-10-16-20-90
22,8647.369922,6,8,300,0.1666666667,1,11-17-26-27-28-53
23,6161.468842,6,4,300,0.1666666667,1,7-8-12-14-19-79
24,8515.689062,5,6,200,0,1,2-8-12-17-24
25,9578.242852,6,5,200,0.1666666667,1,4-10-16-24-26-57
26,8872.558184,6,6,300,0.1666666667,1,0-4-14-16-27-78
27,10531.07726,5,5,200,0,1,0-13-14-16-27
28,7704.360168,6,4,200,0.1666666667,1,3-10-11-19-23-56
29,6653.020211,7,3,200,0.2857142857,1,4-14-16-17-21-26-37
30,8546.246107,6,2,200,0.1666666667,1,2-4-6-14-22-61
31,8047.564478,5,4,200,0,1,1-3-8-23-26
32,7304.258462,8,4,200,0.375,1,2-4-9-13-16-21-22-25
33,10592.31382,6,4,300,0.1666666667,1,20-21-22-25-27-33
34,11488.55285,5,6,200,0,1,7-8-12-16-28
35,10945.80458,5,3,200,0,1,0-10-11-26-27
36,9567.033331,6,3,200,0.1666666667,1,0-7-17-22-27-29
37,8615.386631,7,4,200,0.2857142857,1,0-3-16-18-20-28-78
38,7509.303258,6,3,200,0.1666666667,1,0-18-21-25-28-31
39,7497.35714,8,5,200,0.375,1,1-6-8-10-13-28-37-52
40,8753.755298,8,9,200,0.375,1,13-14-21-22-23-26-36-54
41,6837.383137,6,2,200,0.1666666667,1,14-18-20-21-27-80
42,9804.650272,5,2,200,0,1,0-9-12-15-22
43,7825.286143,5,5,200,0,1,3-5-10-16-23
44,8224.316819,7,6,200,0.2857142857,1,2-16-20-21-23-26-29
45,8280.604802,5,3,200,0,1,8-16-22-26-29
46,8973.264902,6,3,200,0.1666666667,1,0-9-18-19-29-46
47,13814.12153,5,6,200,0,1,5-6-13-22-25
48,8608.195799,6,6,200,0.1666666667,1,6-12-15-19-25-26
49,7897.813044,5,3,200,0,1,0-1-6-11-25
50,8222.273921,5,5,200,0,1,1-6-7-22-23
51,8426.423659,6,4,300,0.1666666667,1,13-14-18-23-25-52
52,7126.567002,5,6,200,0,1,4-14-16-22-27
53,8766.549944,6,4,300,0.1666666667,1,13-17-18-19-25-26
54,7257.438573,5,6,200,0,1,8-22-23-27-28
55,8792.415492,5,5,200,0,1,10-11-15-20-23
56,9380.692545,5,6,200,0,1,12-15-16-21-27
57,9116.352478,6,6,200,0.1666666667,1,4-8-10-16-21-46
58,6830.983809,7,3,200,0.2857142857,1,3-6-7-8-16-29-66
59,7429.504948,7,3,300,0.2857142857,1,2-10-17-20-28-61-76
60,7546.120009,6,4,200,0.1666666667,1,0-1-2-10-20-42
61,10449.44335,5,5,200,0,1,3-6-10-11-20
62,6865.708437,5,6,200,0,1,4-15-19-20-24
63,9728.722332,5,6,200,0,1,6-9-11-22-23
64,8988.844669,5,3,200,0,1,4-8-9-18-23
65,8144.726665,5,2,200,0,1,6-18-26-27-28
66,9657.528634,5,3,200,0,1,8-11-13-18-20
67,10897.75826,5,6,200,0,1,3-5-10-13-27
68,7529.759838,6,3,200,0.1666666667,1,4-17-21-22-27-66
69,9421.737669,5,4,200,0,1,0-2-9-15-20
70,6858.183995,5,6,200,0,1,2-3-11-15-18
71,13251.8529,5,3,200,0,1,2-22-23-25-28
72,6470.300271,6,4,200,0.1666666667,1,7-10-13-16-17-23
73,8823.689286,8,5,200,0.375,1,1-3-7-11-14-19-48-76
74,10084.31787,5,5,200,0,1,7-15-20-21-24
