mc,lambda2
0,8.7468033675704137e+03
1,8.2970401269742069e+03
2,8.1424217462746565e+03
3,9.3554935863130049e+03
4,7.0605117381631799e+03
5,5.7051256636590151e+03
6,7.0447712670517094e+03
7,8.0157377652661626e+03
8,8.3093999339837974e+03
9,7.6062110629144345e+03
10,7.78485011087986e+03
11,1.0019495288819511e+04
12,8.9865242666408321e+03
13,7.5866695840225429e+03
14,8.9742364136482665e+03
15,1.2494102014499773e+04
16,8.2502820075834989e+03
17,7.4704843359633496e+03
18,8.8428893831912374e+03
19,7.6156498347495517e+03
20,7.2705904209271721e+03
21,7.7923026639349719e+03
22,6.8586388823675325e+03
23,6.5310390721233762e+03
24,8.1970536747027745e+03
25,9.3678479821993988e+03
26,7.0019459373447462e+03
27,8.9506943761419479e+03
28,7.1117182489435027e+03
29,9.456207543731889e+03
30,8.3480181551472178e+03
31,8.3428892916768491e+03
32,8.8238519852558693e+03
33,9.1818200550384445e+03
34,9.3245790638855597e+03
35,7.9569302619577456e+03
36,1.1408206229351197e+04
37,7.7033693874599039e+03
38,6.2030825444336078e+03
39,7.7659790462068568e+03
40,1.2769578616194414e+04
41,6.3939595931434624e+03
42,9.1113362695536543e+03
43,8.0683780725543511e+03
44,9.0261775555001714e+03
45,7.1689243168010835e+03
46,8.1795318650989711e+03
47,1.4375179938822046e+04
48,7.0426166573749415e+03
49,8.3155862291177091e+03
50,1.1122798565435314e+04
51,8.0772081006190792e+03
52,7.0198586284509984e+03
53,8.6027777503717716e+03
54,9.0966496118787782e+03
55,1.3982421966064658e+04
56,8.4123019878098021e+03
57,7.9289384754243802e+03
58,9.1866545271093473e+03
59,6.9157270652835732e+03
60,6.8069359313130008e+03
61,9.3550283504946383e+03
62,8.0542930275559938e+03
63,8.3803806144155114e+03
64,5.7647925403430963e+03
65,8.1004754792041585e+03
66,8.7261356598362436e+03
67,1.035893594840731e+04
68,7.9147854407200984e+03
69,8.9035045166307827e+03
70,8.4038679688641132e+03
71,8.5416233238263758e+03
72,6.0001817115767262e+03
73,8.5363495850318122e+03
74,6.6181460040528418e+03
75,7.4226733676235299e+03
76,8.9271303482620388e+03
77,6.1082284938636485e+03
78,8.1099953533721518e+03
79,7.9441849614692619e+03
80,7.5042382645368079e+03
81,7.9746156515777702e+03
82,1.2662328341986844e+04
83,9.3146234453219076e+03
84,7.2064451939127293e+03
85,7.0435844882089596e+03
86,6.3667079329487105e+03
87,7.8682533843776582e+03
88,7.3741595534848475e+03
89,7.3933851913378167e+03
90,8.3021722055126575e+03
91,9.2157835695708673e+03
92,6.620170934537342e+03
93,1.1295191736191642e+04
94,8.8759511828329851e+03
95,8.3146255862698818e+03
96,6.4491285868177656e+03
97,1.0946385493413036e+04
98,1.5873897365905159e+04
99,8.6225781021946696e+03
