mc,k,fdr,tpr,T_stop,num_dummies,v_thresh,rho_thresh,indices
0,6,0.166667,1,4,300,1,NA,4-8-20-21-26-27
1,6,0.166667,1,3,300,1,NA,9-11-13-15-18-71
2,5,0,1,3,200,1,NA,10-15-17-18-28
3,6,0.166667,1,2,300,0.7,NA,7-11-17-21-24-72
4,5,0,1,4,200,1,NA,5-7-16-22-26
5,6,0.166667,1,6,300,1,NA,9-13-14-17-24-28
6,5,0,1,9,200,1,NA,1-7-24-27-29
7,5,0,1,5,200,1,NA,2-3-9-17-22
8,5,0,1,2,200,1,NA,3-8-10-19-25
9,5,0,1,4,200,1,NA,2-4-9-16-18
10,7,0.285714,1,3,300,0.85,NA,2-16-21-23-28-29-99
11,5,0,1,3,200,1,NA,1-10-16-18-24
12,6,0.166667,1,5,200,1,NA,4-5-12-13-25-28
13,6,0.166667,1,2,300,0.75,NA,3-4-7-15-23-65
14,8,0.375,1,6,200,1,NA,7-8-14-21-22-23-27-64
15,6,0.166667,1,6,200,1,NA,2-13-20-22-25-80
16,7,0.285714,1,4,200,0.9,NA,3-8-11-15-16-30-97
17,8,0.375,1,4,200,1,NA,3-13-14-16-18-19-22-24
18,5,0,1,4,200,1,NA,11-14-15-21-23
19,6,0.166667,1,4,200,1,NA,0-1-13-16-20-23
20,7,0.285714,1,7,200,1,NA,5-7-16-17-28-43-88
21,6,0.166667,1,4,200,1,NA,2-4-10-16-20-90
22,5,0,1,2,300,1,NA,11-17-26-27-28
23,6,0.166667,1,4,200,1,NA,7-8-12-14-19-79
24,5,0,1,10,200,1,NA,2-8-12-17-24
25,6,0.166667,1,6,200,1,NA,4-10-16-24-26-57
26,6,0.166667,1,4,200,1,NA,0-4-14-16-27-78
27,5,0,1,5,200,1,NA,0-13-14-16-27
28,6,0.166667,1,4,200,1,NA,3-10-11-19-23-56
29,7,0.285714,1,4,300,1,NA,4-14-16-17-21-26-37
30,6,0.166667,1,2,300,0.8,NA,2-4-6-14-22-61
31,5,0,1,3,200,1,NA,1-3-8-23-26
32,10,0.5,1,5,200,1,NA,2-4-9-13-16-21-22-25-36-85
33,5,0,1,3,200,1,NA,20-21-22-25-27
34,5,0,1,6,200,1,NA,7-8-12-16-28
35,6,0.166667,1,3,200,1,NA,0-10-11-26-27-98
36,7,0.285714,1,5,200,1,NA,0-7-17-22-27-29-53
37,7,0.285714,1,8,200,1,NA,0-3-16-18-20-28-78
38,7,0.285714,1,2,200,0.85,NA,0-18-21-25-28-31-80
39,8,0.375,1,3,200,0.85,NA,1-6-8-10-13-28-37-52
40,7,0.285714,1,4,200,1,NA,13-14-21-22-23-26-54
41,6,0.166667,1,2,200,0.85,NA,14-18-20-21-27-80
42,6,0.166667,1,6,300,1,NA,0-9-12-15-22-61
43,5,0,1,4,200,1,NA,3-5-10-16-23
44,7,0.285714,1,4,200,1,NA,2-16-20-21-23-26-29
45,5,0,1,4,200,1,NA,8-16-22-26-29
46,6,0.166667,1,4,200,1,NA,0-9-18-19-29-46
47,5,0,1,8,200,1,NA,5-6-13-22-25
48,5,0,1,2,300,1,NA,6-12-15-19-25
49,5,0,1,2,200,1,NA,0-1-6-11-25
50,5,0,1,3,200,1,NA,1-6-7-22-23
51,6,0.166667,1,2,200,0.8,NA,13-14-18-23-25-52
52,5,0,1,7,200,1,NA,4-14-16-22-27
53,6,0.166667,1,6,300,1,NA,13-17-18-19-25-26
54,5,0,1,7,200,1,NA,8-22-23-27-28
55,5,0,1,6,200,1,NA,10-11-15-20-23
56,5,0,1,3,200,1,NA,12-15-16-21-27
57,5,0,1,3,200,1,NA,4-8-10-16-21
58,6,0.166667,1,4,200,1,NA,3-6-7-8-16-29
59,5,0,1,3,200,1,NA,2-10-17-20-28
60,5,0,1,5,200,1,NA,0-1-2-10-20
61,5,0,1,4,200,1,NA,3-6-10-11-20
62,5,0,1,7,200,1,NA,4-15-19-20-24
63,5,0,1,11,200,1,NA,6-9-11-22-23
64,6,0.166667,1,4,200,1,NA,4-8-9-18-23-67
65,5,0,1,3,300,1,NA,6-18-26-27-28
66,5,0,1,5,200,1,NA,8-11-13-18-20
67,5,0,1,10,200,1,NA,3-5-10-13-27
68,6,0.166667,1,4,200,1,NA,4-17-21-22-27-66
69,5,0,1,2,200,1,NA,0-2-9-15-20
70,5,0,1,8,200,1,NA,2-3-11-15-18
71,5,0,1,5,200,1,NA,2-22-23-25-28
72,7,0.285714,1,8,200,1,NA,7-10-13-16-17-23-25
73,9,0.444444,1,6,200,1,NA,1-3-7-11-14-19-27-48-76
74,5,0,1,5,200,1,NA,7-15-20-21-24
75,8,0.375,1,7,300,0.9,NA,7-12-13-21-25-29-40-76
76,5,0,1,3,200,1,NA,2-9-15-19-22
77,6,0.166667,1,4,200,1,NA,0-7-11-17-27-92
78,5,0,1,4,200,1,NA,6-11-16-20-29
79,7,0.285714,1,4,200,1,NA,7-10-14-16-17-39-76
80,5,0,1,4,200,1,NA,1-12-16-17-29
81,5,0,1,4,200,1,NA,2-3-10-18-20
82,5,0,1,5,200,1,NA,5-12-14-21-28
83,5,0,1,5,200,1,NA,12-13-17-20-29
84,5,0,1,3,200,1,NA,0-5-18-25-28
85,5,0,1,2,200,1,NA,3-4-15-17-27
86,5,0,1,5,200,1,NA,2-8-12-21-23
87,5,0,1,3,200,1,NA,2-14-15-20-29
88,5,0,1,6,200,1,NA,9-12-24-25-27
89,5,0,1,4,200,1,NA,10-12-16-18-29
90,5,0,1,2,200,1,NA,3-11-15-25-28
91,5,0,1,4,200,1,NA,5-10-22-26-28
92,5,0,1,3,200,1,NA,2-5-14-19-27
93,5,0,1,5,200,1,NA,15-16-19-20-25
94,6,0.166667,1,9,200,1,NA,2-11-12-19-20-22
95,5,0,1,2,200,1,NA,1-2-4-8-12
96,5,0,1,12,200,1,NA,4-10-15-21-26
97,5,0,1,2,200,1,NA,1-2-21-22-28
98,5,0,1,5,200,1,NA,2-4-10-11-25
99,5,0,1,3,200,1,NA,5-6-10-24-29
