mc,lambda2,k,T_stop,num_dummies,fdr,tpr,indices
0,7524.015684,5,10,200,0,1,3-9-13-19-23
1,12959.93487,5,4,200,0,1,3-8-14-18-19
2,5567.903874,5,5,200,0,1,6-18-20-24-26
3,6620.068489,5,3,200,0,1,10-12-13-14-27
4,8915.744601,5,5,200,0,1,5-9-13-16-26
5,9454.236796,6,2,300,0.1666666667,1,2-7-8-17-26-29
6,9984.736382,5,7,200,0,1,3-6-8-15-21
7,8202.66752,6,2,200,0.1666666667,1,3-14-16-17-28-63
8,8026.758355,5,6,200,0,1,2-10-13-17-24
9,7235.818861,5,8,200,0,1,11-12-16-23-29
10,8963.926914,5,3,200,0,1,0-1-13-21-27
11,6595.195923,5,7,200,0,1,6-12-23-24-28
12,7425.210972,5,7,200,0,1,4-5-10-13-28
13,8423.826058,5,6,200,0,1,0-7-9-21-25
14,12941.86803,6,2,200,0.1666666667,1,1-2-3-8-19-21
15,9352.2475,5,5,200,0,1,8-9-12-16-25
16,8664.459001,5,4,200,0,1,1-5-6-14-25
17,8603.187511,6,4,200,0.1666666667,1,0-7-8-18-27-72
18,7831.424504,6,7,300,0.1666666667,1,10-18-21-22-28-82
19,8626.017153,6,2,300,0.1666666667,1,1-6-12-17-22-82
20,7253.998184,6,4,200,0.1666666667,1,3-5-12-25-26-67
21,9475.296319,5,17,200,0,1,2-7-8-21-22
22,6546.708102,5,6,200,0,1,6-8-12-18-27
23,6548.616568,6,3,200,0.1666666667,1,5-7-11-16-28-71
24,9990.389203,6,2,200,0.1666666667,1,4-7-9-16-24-29
25,9836.587814,5,3,200,0,1,2-5-6-25-29
26,7587.128859,5,5,200,0,1,6-11-15-21-27
27,7324.081904,9,3,200,0.4444444444,1,0-2-3-11-15-21-25-29-76
28,8131.096577,6,5,300,0.1666666667,1,5-7-11-23-27-72
29,7061.80431,6,3,200,0.1666666667,1,5-7-12-16-17-22
30,7854.551207,6,3,200,0.1666666667,1,0-2-5-12-24-26
31,6727.499685,5,3,200,0,1,7-20-22-26-28
32,7549.655691,5,11,200,0,1,13-16-20-21-23
33,9176.423784,5,5,200,0,1,2-6-13-26-29
34,6871.10983,5,7,200,0,1,8-9-24-28-29
35,6623.229612,5,5,200,0,1,4-5-13-23-29
36,6532.030297,5,5,200,0,1,2-3-15-17-26
37,8916.182753,5,5,200,0,1,4-12-22-25-29
38,8009.90879,5,4,200,0,1,0-16-18-27-29
39,6658.717529,5,4,200,0,1,8-10-13-23-25
40,6039.565416,7,4,200,0.2857142857,1,7-9-10-14-15-18-27
41,9103.895288,6,6,300,0.1666666667,1,0-4-9-24-28-49
42,9982.688123,5,5,200,0,1,2-3-9-23-25
43,5313.805638,6,2,200,0.1666666667,1,0-2-6-12-20-27
44,9053.679056,5,3,200,0,1,0-4-14-21-23
45,8134.976562,5,4,200,0,1,1-10-22-23-29
46,8435.000889,5,4,200,0,1,2-14-22-25-27
47,8570.5803,8,4,200,0.375,1,1-4-6-10-16-19-24-27
48,7756.874824,5,4,200,0,1,1-11-18-26-28
49,8557.196869,5,6,200,0,1,3-5-15-19-27
50,8922.195318,5,5,200,0,1,1-8-14-18-29
51,5775.831672,6,3,200,0.1666666667,1,0-5-10-26-27-37
52,6940.688199,6,2,300,0.1666666667,1,2-10-14-20-22-25
53,7552.279038,5,3,200,0,1,6-11-13-20-21
54,7257.715702,5,2,300,0,1,0-8-11-12-26
55,7896.24979,9,8,300,0.4444444444,1,3-8-10-13-15-16-20-22-68
56,10463.17576,5,6,200,0,1,2-7-16-20-22
57,8313.427564,5,5,200,0,1,0-18-19-20-24
58,8448.647048,6,10,300,0.1666666667,1,4-18-21-24-26-29
59,10556.33473,5,8,200,0,1,8-9-10-11-24
60,8359.486347,5,6,200,0,1,0-8-11-13-28
61,9227.135012,5,3,200,0,1,7-14-19-27-28
62,9645.33757,6,3,200,0.1666666667,1,1-8-11-12-15-29
63,6514.239821,7,6,300,0.2857142857,1,0-5-11-15-16-19-58
64,7549.059,5,5,200,0,1,8-13-19-20-29
65,11354.59146,5,11,200,0,1,13-14-20-21-29
66,7529.995211,5,6,200,0,1,7-17-18-19-28
67,9628.269055,5,4,200,0,1,14-21-23-25-28
68,10395.94739,7,6,300,0.2857142857,1,3-5-6-9-11-17-21
69,8745.601686,5,6,200,0,1,9-10-11-12-13
70,8872.144764,7,5,200,0.2857142857,1,4-5-13-17-18-23-66
71,8142.346727,5,10,200,0,1,1-8-14-21-25
72,6980.604922,5,14,200,0,1,0-3-14-21-23
73,6526.876728,5,3,200,0,1,3-4-5-7-29
74,6043.295392,5,3,200,0,1,3-4-14-23-25
75,6661.116931,5,7,200,0,1,10-16-22-23-27
76,7644.136582,5,3,200,0,1,10-23-24-25-26
77,7775.892201,5,8,200,0,1,4-14-22-25-28
78,7561.241894,6,4,200,0.1666666667,1,1-10-11-14-22-25
79,7362.120466,5,3,200,0,1,1-5-15-16-21
80,6724.187123,8,7,300,0.375,1,2-4-9-13-22-23-28-90
81,8728.570409,6,4,300,0.1666666667,1,9-12-16-24-29-89
82,7886.57593,5,2,200,0,1,7-22-24-27-28
83,8006.8488,5,5,200,0,1,1-10-15-25-26
84,8239.979201,5,7,200,0,1,5-9-24-25-26
85,8464.957185,5,7,200,0,1,0-1-4-5-27
86,7654.811616,5,5,200,0,1,2-3-19-21-26
87,6204.486415,5,5,200,0,1,0-2-14-17-22
88,8076.466616,5,3,200,0,1,3-12-21-23-25
89,8217.373102,5,3,200,0,1,5-8-11-23-24
90,8858.529034,5,7,200,0,1,15-21-23-27-29
91,9292.868389,6,3,200,0.1666666667,1,1-16-19-26-27-29
92,10527.00791,5,11,200,0,1,2-6-15-18-27
93,7815.278337,5,3,200,0,1,8-17-22-23-26
94,7879.788447,6,3,200,0.1666666667,1,1-4-8-9-26-77
95,5852.185457,5,5,200,0,1,6-8-18-21-24
96,8849.852407,5,3,200,0,1,2-4-7-9-13
97,7876.460435,6,4,200,0.1666666667,1,5-6-16-19-23-27
98,8307.127014,5,5,200,0,1,11-14-18-23-27
99,6847.519719,5,3,200,0,1,0-5-8-10-11
