solver,metric,snr,value
TLARS,FDR,0.100000,0.005833
TLARS,TPR,0.100000,0.004500
TLARS,FDR,0.500000,0.057461
TLARS,TPR,0.500000,0.277500
TLARS,FDR,1.000000,0.044945
TLARS,TPR,1.000000,0.748000
TLARS,FDR,2.000000,0.043416
TLARS,TPR,2.000000,0.986000
TLARS,FDR,5.000000,0.027442
TLARS,TPR,5.000000,1.000000
TLASSO,FDR,0.100000,0.007500
TLASSO,TPR,0.100000,0.002500
TLASSO,FDR,0.500000,0.054962
TLASSO,TPR,0.500000,0.289000
TLASSO,FDR,1.000000,0.046374
TLASSO,TPR,1.000000,0.749000
TLASSO,FDR,2.000000,0.043141
TLASSO,TPR,2.000000,0.985000
TLASSO,FDR,5.000000,0.029808
TLASSO,TPR,5.000000,1.000000
TENET,FDR,0.100000,0.007500
TENET,TPR,0.100000,0.005000
TENET,FDR,0.500000,0.054467
TENET,TPR,0.500000,0.286000
TENET,FDR,1.000000,0.043985
TENET,TPR,1.000000,0.729000
TENET,FDR,2.000000,0.042770
TENET,TPR,2.000000,0.975000
TENET,FDR,5.000000,0.026684
TENET,TPR,5.000000,1.000000
TSTAGEWISE,FDR,0.100000,0.007500
TSTAGEWISE,TPR,0.100000,0.006000
TSTAGEWISE,FDR,0.500000,0.060899
TSTAGEWISE,TPR,0.500000,0.295000
TSTAGEWISE,FDR,1.000000,0.046266
TSTAGEWISE,TPR,1.000000,0.752500
TSTAGEWISE,FDR,2.000000,0.042974
TSTAGEWISE,TPR,2.000000,0.986500
TSTAGEWISE,FDR,5.000000,0.031171
TSTAGEWISE,TPR,5.000000,1.000000
TSTEPWISE,FDR,0.100000,0.002500
TSTEPWISE,TPR,0.100000,0.003500
TSTEPWISE,FDR,0.500000,0.023250
TSTEPWISE,TPR,0.500000,0.212000
TSTEPWISE,FDR,1.000000,0.024466
TSTEPWISE,TPR,1.000000,0.852000
TSTEPWISE,FDR,2.000000,0.026742
TSTEPWISE,TPR,2.000000,1.000000
TSTEPWISE,FDR,5.000000,0.028671
TSTEPWISE,TPR,5.000000,1.000000
TOMP,FDR,0.100000,0.007500
TOMP,TPR,0.100000,0.004000
TOMP,FDR,0.500000,0.013792
TOMP,TPR,0.500000,0.219000
TOMP,FDR,1.000000,0.023504
TOMP,TPR,1.000000,0.860000
TOMP,FDR,2.000000,0.025227
TOMP,TPR,2.000000,1.000000
TOMP,FDR,5.000000,0.028275
TOMP,TPR,5.000000,1.000000
TGP,FDR,0.100000,0.007500
TGP,TPR,0.100000,0.003500
TGP,FDR,0.500000,0.025667
TGP,TPR,0.500000,0.217000
TGP,FDR,1.000000,0.026381
TGP,TPR,1.000000,0.852000
TGP,FDR,2.000000,0.027348
TGP,TPR,2.000000,1.000000
TGP,FDR,5.000000,0.026853
TGP,TPR,5.000000,1.000000
TACGP,FDR,0.100000,0.007500
TACGP,TPR,0.100000,0.003500
TACGP,FDR,0.500000,0.022931
TACGP,TPR,0.500000,0.226500
TACGP,FDR,1.000000,0.024740
TACGP,TPR,1.000000,0.864500
TACGP,FDR,2.000000,0.027348
TACGP,TPR,2.000000,1.000000
TACGP,FDR,5.000000,0.026795
TACGP,TPR,5.000000,1.000000
TMP,FDR,0.100000,0.002500
TMP,TPR,0.100000,0.003500
TMP,FDR,0.500000,0.023667
TMP,TPR,0.500000,0.209500
TMP,FDR,1.000000,0.027212
TMP,TPR,1.000000,0.851500
TMP,FDR,2.000000,0.027348
TMP,TPR,2.000000,1.000000
TMP,FDR,5.000000,0.029184
TMP,TPR,5.000000,1.000000
TAFS_rho_0.3,FDR,0.100000,0.002500
TAFS_rho_0.3,TPR,0.100000,0.003000
TAFS_rho_0.3,FDR,0.500000,0.033722
TAFS_rho_0.3,TPR,0.500000,0.271000
TAFS_rho_0.3,FDR,1.000000,0.031973
TAFS_rho_0.3,TPR,1.000000,0.870000
TAFS_rho_0.3,FDR,2.000000,0.026702
TAFS_rho_0.3,TPR,2.000000,1.000000
TAFS_rho_0.3,FDR,5.000000,0.027348
TAFS_rho_0.3,TPR,5.000000,1.000000
TAFS_rho_1.0,FDR,0.100000,0.007500
TAFS_rho_1.0,TPR,0.100000,0.004000
TAFS_rho_1.0,FDR,0.500000,0.036298
TAFS_rho_1.0,TPR,0.500000,0.269500
TAFS_rho_1.0,FDR,1.000000,0.032093
TAFS_rho_1.0,TPR,1.000000,0.876000
TAFS_rho_1.0,FDR,2.000000,0.025868
TAFS_rho_1.0,TPR,2.000000,1.000000
TAFS_rho_1.0,FDR,5.000000,0.028578
TAFS_rho_1.0,TPR,5.000000,1.000000
TNCGMP_v1,FDR,0.100000,0.010000
TNCGMP_v1,TPR,0.100000,0.003500
TNCGMP_v1,FDR,0.500000,0.021417
TNCGMP_v1,TPR,0.500000,0.222000
TNCGMP_v1,FDR,1.000000,0.026460
TNCGMP_v1,TPR,1.000000,0.852000
TNCGMP_v1,FDR,2.000000,0.025321
TNCGMP_v1,TPR,2.000000,1.000000
TNCGMP_v1,FDR,5.000000,0.029481
TNCGMP_v1,TPR,5.000000,1.000000
TNCGMP_v0,FDR,0.100000,0.002500
TNCGMP_v0,TPR,0.100000,0.003500
TNCGMP_v0,FDR,0.500000,0.020750
TNCGMP_v0,TPR,0.500000,0.214500
TNCGMP_v0,FDR,1.000000,0.028201
TNCGMP_v0,TPR,1.000000,0.846500
TNCGMP_v0,FDR,2.000000,0.026608
TNCGMP_v0,TPR,2.000000,1.000000
TNCGMP_v0,FDR,5.000000,0.029249
TNCGMP_v0,TPR,5.000000,1.000000
TOOLS,FDR,0.100000,0.007500
TOOLS,TPR,0.100000,0.003000
TOOLS,FDR,0.500000,0.015889
TOOLS,TPR,0.500000,0.219500
TOOLS,FDR,1.000000,0.027565
TOOLS,TPR,1.000000,0.875000
TOOLS,FDR,2.000000,0.027803
TOOLS,TPR,2.000000,1.000000
TOOLS,FDR,5.000000,0.029883
TOOLS,TPR,5.000000,1.000000
