solver,metric,snr,value
TLARS,FDR,0.100000,0.005000
TLARS,TPR,0.100000,0.003000
TLARS,FDR,0.500000,0.048123
TLARS,TPR,0.500000,0.260000
TLARS,FDR,1.000000,0.042704
TLARS,TPR,1.000000,0.736000
TLARS,FDR,2.000000,0.039808
TLARS,TPR,2.000000,0.984500
TLARS,FDR,5.000000,0.027879
TLARS,TPR,5.000000,1.000000
TLASSO,FDR,0.100000,0.012500
TLASSO,TPR,0.100000,0.004000
TLASSO,FDR,0.500000,0.039957
TLASSO,TPR,0.500000,0.253500
TLASSO,FDR,1.000000,0.048480
TLASSO,TPR,1.000000,0.732500
TLASSO,FDR,2.000000,0.041507
TLASSO,TPR,2.000000,0.985000
TLASSO,FDR,5.000000,0.028578
TLASSO,TPR,5.000000,1.000000
TENET,FDR,0.100000,0.002500
TENET,TPR,0.100000,0.003500
TENET,FDR,0.500000,0.052177
TENET,TPR,0.500000,0.256500
TENET,FDR,1.000000,0.044054
TENET,TPR,1.000000,0.707000
TENET,FDR,2.000000,0.039639
TENET,TPR,2.000000,0.979000
TENET,FDR,5.000000,0.027762
TENET,TPR,5.000000,1.000000
TSTAGEWISE,FDR,0.100000,0.002500
TSTAGEWISE,TPR,0.100000,0.003500
TSTAGEWISE,FDR,0.500000,0.045084
TSTAGEWISE,TPR,0.500000,0.253000
TSTAGEWISE,FDR,1.000000,0.046342
TSTAGEWISE,TPR,1.000000,0.737000
TSTAGEWISE,FDR,2.000000,0.039357
TSTAGEWISE,TPR,2.000000,0.981500
TSTAGEWISE,FDR,5.000000,0.026970
TSTAGEWISE,TPR,5.000000,1.000000
TSTEPWISE,FDR,0.100000,0.002500
TSTEPWISE,TPR,0.100000,0.003000
TSTEPWISE,FDR,0.500000,0.022750
TSTEPWISE,TPR,0.500000,0.211500
TSTEPWISE,FDR,1.000000,0.026077
TSTEPWISE,TPR,1.000000,0.854000
TSTEPWISE,FDR,2.000000,0.026591
TSTEPWISE,TPR,2.000000,1.000000
TSTEPWISE,FDR,5.000000,0.029411
TSTEPWISE,TPR,5.000000,1.000000
TOMP,FDR,0.100000,0.007500
TOMP,TPR,0.100000,0.002000
TOMP,FDR,0.500000,0.018923
TOMP,TPR,0.500000,0.224500
TOMP,FDR,1.000000,0.026986
TOMP,TPR,1.000000,0.847500
TOMP,FDR,2.000000,0.029015
TOMP,TPR,2.000000,1.000000
TOMP,FDR,5.000000,0.027972
TOMP,TPR,5.000000,1.000000
TGP,FDR,0.100000,0.002500
TGP,TPR,0.100000,0.003000
TGP,FDR,0.500000,0.015375
TGP,TPR,0.500000,0.207000
TGP,FDR,1.000000,0.021987
TGP,TPR,1.000000,0.848000
TGP,FDR,2.000000,0.024563
TGP,TPR,2.000000,1.000000
TGP,FDR,5.000000,0.029108
TGP,TPR,5.000000,1.000000
TACGP,FDR,0.100000,0.007500
TACGP,TPR,0.100000,0.002500
TACGP,FDR,0.500000,0.022139
TACGP,TPR,0.500000,0.210500
TACGP,FDR,1.000000,0.024662
TACGP,TPR,1.000000,0.847000
TACGP,FDR,2.000000,0.024470
TACGP,TPR,2.000000,1.000000
TACGP,FDR,5.000000,0.026230
TACGP,TPR,5.000000,1.000000
TMP,FDR,0.100000,0.007500
TMP,TPR,0.100000,0.002000
TMP,FDR,0.500000,0.022542
TMP,TPR,0.500000,0.208500
TMP,FDR,1.000000,0.026247
TMP,TPR,1.000000,0.848000
TMP,FDR,2.000000,0.025985
TMP,TPR,2.000000,1.000000
TMP,FDR,5.000000,0.028661
TMP,TPR,5.000000,1.000000
TAFS_rho_0.3,FDR,0.100000,0.010000
TAFS_rho_0.3,TPR,0.100000,0.002500
TAFS_rho_0.3,FDR,0.500000,0.027722
TAFS_rho_0.3,TPR,0.500000,0.252500
TAFS_rho_0.3,FDR,1.000000,0.030488
TAFS_rho_0.3,TPR,1.000000,0.865500
TAFS_rho_0.3,FDR,2.000000,0.026381
TAFS_rho_0.3,TPR,2.000000,0.999500
TAFS_rho_0.3,FDR,5.000000,0.027045
TAFS_rho_0.3,TPR,5.000000,1.000000
TAFS_rho_1.0,FDR,0.100000,0.012500
TAFS_rho_1.0,TPR,0.100000,0.003000
TAFS_rho_1.0,FDR,0.500000,0.029187
TAFS_rho_1.0,TPR,0.500000,0.254500
TAFS_rho_1.0,FDR,1.000000,0.034110
TAFS_rho_1.0,TPR,1.000000,0.869000
TAFS_rho_1.0,FDR,2.000000,0.027810
TAFS_rho_1.0,TPR,2.000000,0.999500
TAFS_rho_1.0,FDR,5.000000,0.029143
TAFS_rho_1.0,TPR,5.000000,1.000000
TNCGMP_v1,FDR,0.100000,0.002500
TNCGMP_v1,TPR,0.100000,0.003500
TNCGMP_v1,FDR,0.500000,0.015917
TNCGMP_v1,TPR,0.500000,0.209000
TNCGMP_v1,FDR,1.000000,0.026001
TNCGMP_v1,TPR,1.000000,0.833500
TNCGMP_v1,FDR,2.000000,0.022424
TNCGMP_v1,TPR,2.000000,1.000000
TNCGMP_v1,FDR,5.000000,0.030886
TNCGMP_v1,TPR,5.000000,1.000000
TNCGMP_v0,FDR,0.100000,0.002500
TNCGMP_v0,TPR,0.100000,0.002000
TNCGMP_v0,FDR,0.500000,0.029083
TNCGMP_v0,TPR,0.500000,0.206000
TNCGMP_v0,FDR,1.000000,0.025009
TNCGMP_v0,TPR,1.000000,0.844000
TNCGMP_v0,FDR,2.000000,0.024545
TNCGMP_v0,TPR,2.000000,1.000000
TNCGMP_v0,FDR,5.000000,0.027646
TNCGMP_v0,TPR,5.000000,1.000000
TOOLS,FDR,0.100000,0.007500
TOOLS,TPR,0.100000,0.003000
TOOLS,FDR,0.500000,0.021006
TOOLS,TPR,0.500000,0.217000
TOOLS,FDR,1.000000,0.026016
TOOLS,TPR,1.000000,0.854000
TOOLS,FDR,2.000000,0.026591
TOOLS,TPR,2.000000,1.000000
TOOLS,FDR,5.000000,0.028881
TOOLS,TPR,5.000000,1.000000
