solver,metric,snr,value
TLARS,FDR,0.100000,0.010000
TLARS,TPR,0.100000,0.003000
TLARS,AvgL,0.100000,2.880000
TLARS,AvgT,0.100000,3.580000
TLARS,FDR,0.200000,0.027500
TLARS,TPR,0.200000,0.025500
TLARS,AvgL,0.200000,5.155000
TLARS,AvgT,0.200000,3.575000
TLARS,FDR,0.300000,0.027250
TLARS,TPR,0.300000,0.059500
TLARS,AvgL,0.300000,6.290000
TLARS,AvgT,0.300000,3.750000
TLARS,FDR,0.400000,0.036286
TLARS,TPR,0.400000,0.148000
TLARS,AvgL,0.400000,7.035000
TLARS,AvgT,0.400000,4.510000
TLARS,FDR,0.500000,0.044296
TLARS,TPR,0.500000,0.246500
TLARS,AvgL,0.500000,7.105000
TLARS,AvgT,0.500000,5.325000
TLARS,FDR,0.600000,0.042526
TLARS,TPR,0.600000,0.395500
TLARS,AvgL,0.600000,6.935000
TLARS,AvgT,0.600000,6.580000
TLARS,FDR,0.700000,0.052830
TLARS,TPR,0.700000,0.511500
TLARS,AvgL,0.700000,6.095000
TLARS,AvgT,0.700000,6.700000
TLARS,FDR,0.800000,0.054075
TLARS,TPR,0.800000,0.602500
TLARS,AvgL,0.800000,5.700000
TLARS,AvgT,0.800000,7.100000
TLARS,FDR,0.900000,0.045280
TLARS,TPR,0.900000,0.681000
TLARS,AvgL,0.900000,4.630000
TLARS,AvgT,0.900000,6.495000
TLARS,FDR,1.000000,0.056617
TLARS,TPR,1.000000,0.778500
TLARS,AvgL,1.000000,3.940000
TLARS,AvgT,1.000000,6.370000
TLARS,FDR,1.100000,0.045569
TLARS,TPR,1.100000,0.803500
TLARS,AvgL,1.100000,3.710000
TLARS,AvgT,1.100000,6.230000
TLARS,FDR,1.200000,0.055940
TLARS,TPR,1.200000,0.847500
TLARS,AvgL,1.200000,3.770000
TLARS,AvgT,1.200000,6.615000
TLARS,FDR,1.300000,0.037739
TLARS,TPR,1.300000,0.875500
TLARS,AvgL,1.300000,3.455000
TLARS,AvgT,1.300000,6.025000
TLARS,FDR,1.400000,0.044335
TLARS,TPR,1.400000,0.920500
TLARS,AvgL,1.400000,2.995000
TLARS,AvgT,1.400000,5.945000
TLARS,FDR,1.500000,0.054691
TLARS,TPR,1.500000,0.922500
TLARS,AvgL,1.500000,2.795000
TLARS,AvgT,1.500000,5.720000
TLARS,FDR,1.600000,0.049122
TLARS,TPR,1.600000,0.946000
TLARS,AvgL,1.600000,2.330000
TLARS,AvgT,1.600000,5.245000
TLARS,FDR,1.700000,0.044333
TLARS,TPR,1.700000,0.958500
TLARS,AvgL,1.700000,2.320000
TLARS,AvgT,1.700000,5.295000
TLARS,FDR,1.800000,0.044002
TLARS,TPR,1.800000,0.968500
TLARS,AvgL,1.800000,2.370000
TLARS,AvgT,1.800000,5.540000
TLARS,FDR,1.900000,0.034992
TLARS,TPR,1.900000,0.975500
TLARS,AvgL,1.900000,2.045000
TLARS,AvgT,1.900000,5.155000
TLARS,FDR,2.000000,0.036169
TLARS,TPR,2.000000,0.981000
TLARS,AvgL,2.000000,1.890000
TLARS,AvgT,2.000000,5.035000
TLARS,FDR,5.000000,0.028578
TLARS,TPR,5.000000,1.000000
TLARS,AvgL,5.000000,1.175000
TLARS,AvgT,5.000000,4.415000
TLASSO,FDR,0.100000,0.005000
TLASSO,TPR,0.100000,0.003000
TLASSO,AvgL,0.100000,2.860000
TLASSO,AvgT,0.100000,3.555000
TLASSO,FDR,0.200000,0.030833
TLASSO,TPR,0.200000,0.025500
TLASSO,AvgL,0.200000,5.185000
TLASSO,AvgT,0.200000,3.505000
TLASSO,FDR,0.300000,0.022667
TLASSO,TPR,0.300000,0.057500
TLASSO,AvgL,0.300000,6.360000
TLASSO,AvgT,0.300000,3.705000
TLASSO,FDR,0.400000,0.025861
TLASSO,TPR,0.400000,0.146500
TLASSO,AvgL,0.400000,7.285000
TLASSO,AvgT,0.400000,4.505000
TLASSO,FDR,0.500000,0.039421
TLASSO,TPR,0.500000,0.255000
TLASSO,AvgL,0.500000,7.340000
TLASSO,AvgT,0.500000,5.505000
TLASSO,FDR,0.600000,0.043593
TLASSO,TPR,0.600000,0.401000
TLASSO,AvgL,0.600000,6.860000
TLASSO,AvgT,0.600000,6.440000
TLASSO,FDR,0.700000,0.057860
TLASSO,TPR,0.700000,0.504000
TLASSO,AvgL,0.700000,5.965000
TLASSO,AvgT,0.700000,6.720000
TLASSO,FDR,0.800000,0.049313
TLASSO,TPR,0.800000,0.597500
TLASSO,AvgL,0.800000,5.590000
TLASSO,AvgT,0.800000,7.275000
TLASSO,FDR,0.900000,0.045070
TLASSO,TPR,0.900000,0.694000
TLASSO,AvgL,0.900000,5.020000
TLASSO,AvgT,0.900000,7.125000
TLASSO,FDR,1.000000,0.058233
TLASSO,TPR,1.000000,0.766000
TLASSO,AvgL,1.000000,4.410000
TLASSO,AvgT,1.000000,6.755000
TLASSO,FDR,1.100000,0.047022
TLASSO,TPR,1.100000,0.810500
TLASSO,AvgL,1.100000,3.820000
TLASSO,AvgT,1.100000,6.280000
TLASSO,FDR,1.200000,0.058945
TLASSO,TPR,1.200000,0.841500
TLASSO,AvgL,1.200000,3.500000
TLASSO,AvgT,1.200000,6.260000
TLASSO,FDR,1.300000,0.038274
TLASSO,TPR,1.300000,0.876500
TLASSO,AvgL,1.300000,3.315000
TLASSO,AvgT,1.300000,6.075000
TLASSO,FDR,1.400000,0.046376
TLASSO,TPR,1.400000,0.914500
TLASSO,AvgL,1.400000,2.960000
TLASSO,AvgT,1.400000,5.765000
TLASSO,FDR,1.500000,0.048471
TLASSO,TPR,1.500000,0.928500
TLASSO,AvgL,1.500000,2.790000
TLASSO,AvgT,1.500000,5.810000
TLASSO,FDR,1.600000,0.050240
TLASSO,TPR,1.600000,0.943000
TLASSO,AvgL,1.600000,2.420000
TLASSO,AvgT,1.600000,5.380000
TLASSO,FDR,1.700000,0.041827
TLASSO,TPR,1.700000,0.960000
TLASSO,AvgL,1.700000,2.170000
TLASSO,AvgT,1.700000,5.075000
TLASSO,FDR,1.800000,0.048993
