solver,metric,snr,value
STANDARD,FDR,0.100000,0.000000
STANDARD,TPR,0.100000,0.000000
STANDARD,AvgL,0.100000,1.600000
STANDARD,AvgT,0.100000,4.200000
STANDARD,FDR,0.200000,0.133333
STANDARD,TPR,0.200000,0.050000
STANDARD,AvgL,0.200000,7.400000
STANDARD,AvgT,0.200000,3.500000
STANDARD,FDR,0.300000,0.050000
STANDARD,TPR,0.300000,0.040000
STANDARD,AvgL,0.300000,7.000000
STANDARD,AvgT,0.300000,5.800000
STANDARD,FDR,0.400000,0.025000
STANDARD,TPR,0.400000,0.220000
STANDARD,AvgL,0.400000,5.900000
STANDARD,AvgT,0.400000,4.200000
STANDARD,FDR,0.500000,0.058333
STANDARD,TPR,0.500000,0.180000
STANDARD,AvgL,0.500000,6.300000
STANDARD,AvgT,0.500000,4.600000
STANDARD,FDR,0.600000,0.105238
STANDARD,TPR,0.600000,0.340000
STANDARD,AvgL,0.600000,6.200000
STANDARD,AvgT,0.600000,6.300000
STANDARD,FDR,0.700000,0.049167
STANDARD,TPR,0.700000,0.430000
STANDARD,AvgL,0.700000,5.400000
STANDARD,AvgT,0.700000,5.700000
STANDARD,FDR,0.800000,0.105754
STANDARD,TPR,0.800000,0.580000
STANDARD,AvgL,0.800000,4.600000
STANDARD,AvgT,0.800000,8.700000
STANDARD,FDR,0.900000,0.052063
STANDARD,TPR,0.900000,0.670000
STANDARD,AvgL,0.900000,4.700000
STANDARD,AvgT,0.900000,20.400000
STANDARD,FDR,1.000000,0.032702
STANDARD,TPR,1.000000,0.660000
STANDARD,AvgL,1.000000,4.200000
STANDARD,AvgT,1.000000,6.800000
STANDARD,FDR,1.100000,0.078042
STANDARD,TPR,1.100000,0.860000
STANDARD,AvgL,1.100000,3.600000
STANDARD,AvgT,1.100000,10.400000
STANDARD,FDR,1.200000,0.053182
STANDARD,TPR,1.200000,0.820000
STANDARD,AvgL,1.200000,3.200000
STANDARD,AvgT,1.200000,5.100000
STANDARD,FDR,1.300000,0.048182
STANDARD,TPR,1.300000,0.830000
STANDARD,AvgL,1.300000,3.100000
STANDARD,AvgT,1.300000,6.800000
STANDARD,FDR,1.400000,0.084091
STANDARD,TPR,1.400000,0.910000
STANDARD,AvgL,1.400000,2.900000
STANDARD,AvgT,1.400000,7.300000
STANDARD,FDR,1.500000,0.025758
STANDARD,TPR,1.500000,0.940000
STANDARD,AvgL,1.500000,2.300000
STANDARD,AvgT,1.500000,5.700000
STANDARD,FDR,1.600000,0.059848
STANDARD,TPR,1.600000,0.920000
STANDARD,AvgL,1.600000,2.500000
STANDARD,AvgT,1.600000,5.100000
STANDARD,FDR,1.700000,0.000000
STANDARD,TPR,1.700000,1.000000
STANDARD,AvgL,1.700000,1.800000
STANDARD,AvgT,1.700000,6.200000
STANDARD,FDR,1.800000,0.043939
STANDARD,TPR,1.800000,1.000000
