solver,metric,snr,value
STANDARD,FDR,0.100000,0.015000
STANDARD,TPR,0.100000,0.001500
STANDARD,AvgL,0.100000,2.780000
STANDARD,AvgT,0.100000,4.445000
STANDARD,FDR,0.200000,0.013750
STANDARD,TPR,0.200000,0.019000
STANDARD,AvgL,0.200000,4.705000
STANDARD,AvgT,0.200000,3.940000
STANDARD,FDR,0.300000,0.012083
STANDARD,TPR,0.300000,0.063000
STANDARD,AvgL,0.300000,6.015000
STANDARD,AvgT,0.300000,4.130000
STANDARD,FDR,0.400000,0.033250
STANDARD,TPR,0.400000,0.126000
STANDARD,AvgL,0.400000,6.935000
STANDARD,AvgT,0.400000,4.650000
STANDARD,FDR,0.500000,0.032853
STANDARD,TPR,0.500000,0.259500
STANDARD,AvgL,0.500000,6.460000
STANDARD,AvgT,0.500000,5.765000
STANDARD,FDR,0.600000,0.029403
STANDARD,TPR,0.600000,0.380000
STANDARD,AvgL,0.600000,5.725000
STANDARD,AvgT,0.600000,6.165000
STANDARD,FDR,0.700000,0.022848
STANDARD,TPR,0.700000,0.520000
STANDARD,AvgL,0.700000,4.755000
STANDARD,AvgT,0.700000,6.500000
STANDARD,FDR,0.800000,0.032110
STANDARD,TPR,0.800000,0.700000
STANDARD,AvgL,0.800000,3.985000
STANDARD,AvgT,0.800000,6.885000
STANDARD,FDR,0.900000,0.033156
STANDARD,TPR,0.900000,0.800000
STANDARD,AvgL,0.900000,3.555000
STANDARD,AvgT,0.900000,6.835000
STANDARD,FDR,1.000000,0.031637
STANDARD,TPR,1.000000,0.885000
STANDARD,AvgL,1.000000,2.545000
STANDARD,AvgT,1.000000,6.175000
STANDARD,FDR,1.100000,0.032072
STANDARD,TPR,1.100000,0.934000
STANDARD,AvgL,1.100000,2.440000
STANDARD,AvgT,1.100000,6.195000
STANDARD,FDR,1.200000,0.034141
STANDARD,TPR,1.200000,0.959000
STANDARD,AvgL,1.200000,2.115000
STANDARD,AvgT,1.200000,5.910000
