solver,metric,snr,value
STANDARD,FDR,0.100000,0.010000
STANDARD,TPR,0.100000,0.002000
STANDARD,AvgL,0.100000,2.675000
STANDARD,AvgT,0.100000,4.595000
STANDARD,FDR,0.200000,0.012917
STANDARD,TPR,0.200000,0.022000
STANDARD,AvgL,0.200000,4.815000
STANDARD,AvgT,0.200000,4.725000
STANDARD,FDR,0.300000,0.027667
STANDARD,TPR,0.300000,0.061000
STANDARD,AvgL,0.300000,6.240000
STANDARD,AvgT,0.300000,4.680000
STANDARD,FDR,0.400000,0.042778
STANDARD,TPR,0.400000,0.144000
STANDARD,AvgL,0.400000,7.260000
STANDARD,AvgT,0.400000,6.235000
STANDARD,FDR,0.500000,0.040786
STANDARD,TPR,0.500000,0.270000
STANDARD,AvgL,0.500000,6.510000
STANDARD,AvgT,0.500000,5.785000
STANDARD,FDR,0.600000,0.048334
STANDARD,TPR,0.600000,0.379000
STANDARD,AvgL,0.600000,6.110000
STANDARD,AvgT,0.600000,6.640000
STANDARD,FDR,0.700000,0.044151
STANDARD,TPR,0.700000,0.477500
STANDARD,AvgL,0.700000,5.085000
STANDARD,AvgT,0.700000,6.030000
STANDARD,FDR,0.800000,0.051982
STANDARD,TPR,0.800000,0.596500
STANDARD,AvgL,0.800000,4.670000
STANDARD,AvgT,0.800000,7.805000
STANDARD,FDR,0.900000,0.053064
STANDARD,TPR,0.900000,0.680000
STANDARD,AvgL,0.900000,3.960000
STANDARD,AvgT,0.900000,6.560000
STANDARD,FDR,1.000000,0.046839
STANDARD,TPR,1.000000,0.759500
STANDARD,AvgL,1.000000,3.470000
STANDARD,AvgT,1.000000,6.985000
STANDARD,FDR,1.100000,0.051938
STANDARD,TPR,1.100000,0.805000
STANDARD,AvgL,1.100000,3.435000
STANDARD,AvgT,1.100000,8.555000
STANDARD,FDR,1.200000,0.046917
STANDARD,TPR,1.200000,0.837500
STANDARD,AvgL,1.200000,2.850000
STANDARD,AvgT,1.200000,5.890000
STANDARD,FDR,1.300000,0.049425
STANDARD,TPR,1.300000,0.870500
STANDARD,AvgL,1.300000,2.700000
STANDARD,AvgT,1.300000,6.245000
STANDARD,FDR,1.400000,0.047189
STANDARD,TPR,1.400000,0.907500
STANDARD,AvgL,1.400000,2.510000
STANDARD,AvgT,1.400000,6.280000
STANDARD,FDR,1.500000,0.049115
STANDARD,TPR,1.500000,0.924000
STANDARD,AvgL,1.500000,2.425000
STANDARD,AvgT,1.500000,6.880000
STANDARD,FDR,1.600000,0.046850
STANDARD,TPR,1.600000,0.943500
STANDARD,AvgL,1.600000,2.250000
STANDARD,AvgT,1.600000,5.690000
STANDARD,FDR,1.700000,0.037659
STANDARD,TPR,1.700000,0.952000
STANDARD,AvgL,1.700000,2.110000
STANDARD,AvgT,1.700000,5.940000
STANDARD,FDR,1.800000,0.039663
STANDARD,TPR,1.800000,0.979000
STANDARD,AvgL,1.800000,2.035000
STANDARD,AvgT,1.800000,6.200000
STANDARD,FDR,1.900000,0.038580
STANDARD,TPR,1.900000,0.975000
STANDARD,AvgL,1.900000,1.895000
STANDARD,AvgT,1.900000,5.300000
STANDARD,FDR,2.000000,0.043542
STANDARD,TPR,2.000000,0.984500
STANDARD,AvgL,2.000000,1.840000
STANDARD,AvgT,2.000000,5.880000
STANDARD,FDR,5.000000,0.034977
STANDARD,TPR,5.000000,1.000000
STANDARD,AvgL,5.000000,1.210000
STANDARD,AvgT,5.000000,4.920000
HCONCAT,FDR,0.100000,0.020000
HCONCAT,TPR,0.100000,0.002000
HCONCAT,AvgL,0.100000,2.840000
HCONCAT,AvgT,0.100000,4.750000
HCONCAT,FDR,0.200000,0.019167
HCONCAT,TPR,0.200000,0.019000
HCONCAT,AvgL,0.200000,5.045000
HCONCAT,AvgT,0.200000,5.355000
HCONCAT,FDR,0.300000,0.024226
HCONCAT,TPR,0.300000,0.069500
HCONCAT,AvgL,0.300000,6.635000
HCONCAT,AvgT,0.300000,4.085000
HCONCAT,FDR,0.400000,0.040706
HCONCAT,TPR,0.400000,0.151000
HCONCAT,AvgL,0.400000,7.585000
HCONCAT,AvgT,0.400000,6.370000
HCONCAT,FDR,0.500000,0.048091
HCONCAT,TPR,0.500000,0.273500
HCONCAT,AvgL,0.500000,7.265000
HCONCAT,AvgT,0.500000,8.275000
HCONCAT,FDR,0.600000,0.043931
HCONCAT,TPR,0.600000,0.385000
HCONCAT,AvgL,0.600000,6.790000
HCONCAT,AvgT,0.600000,7.730000
HCONCAT,FDR,0.700000,0.040562
HCONCAT,TPR,0.700000,0.487000
HCONCAT,AvgL,0.700000,5.915000
HCONCAT,AvgT,0.700000,8.155000
HCONCAT,FDR,0.800000,0.043931
HCONCAT,TPR,0.800000,0.594500
HCONCAT,AvgL,0.800000,5.110000
HCONCAT,AvgT,0.800000,7.875000
HCONCAT,FDR,0.900000,0.053505
HCONCAT,TPR,0.900000,0.680500
HCONCAT,AvgL,0.900000,4.735000
HCONCAT,AvgT,0.900000,8.960000
HCONCAT,FDR,1.000000,0.051484
HCONCAT,TPR,1.000000,0.765000
HCONCAT,AvgL,1.000000,4.405000
HCONCAT,AvgT,1.000000,9.585000
HCONCAT,FDR,1.100000,0.048630
HCONCAT,TPR,1.100000,0.800000
HCONCAT,AvgL,1.100000,3.795000
HCONCAT,AvgT,1.100000,8.670000
HCONCAT,FDR,1.200000,0.047612
HCONCAT,TPR,1.200000,0.834000
HCONCAT,AvgL,1.200000,3.350000
HCONCAT,AvgT,1.200000,8.550000
HCONCAT,FDR,1.300000,0.050039
HCONCAT,TPR,1.300000,0.869000
HCONCAT,AvgL,1.300000,3.225000
HCONCAT,AvgT,1.300000,8.950000
HCONCAT,FDR,1.400000,0.048257
HCONCAT,TPR,1.400000,0.899500
HCONCAT,AvgL,1.400000,2.885000
HCONCAT,AvgT,1.400000,9.885000
HCONCAT,FDR,1.500000,0.050010
HCONCAT,TPR,1.500000,0.923000
HCONCAT,AvgL,1.500000,2.795000
HCONCAT,AvgT,1.500000,8.905000
HCONCAT,FDR,1.600000,0.047677
HCONCAT,TPR,1.600000,0.942500
HCONCAT,AvgL,1.600000,2.515000
HCONCAT,AvgT,1.600000,7.125000
HCONCAT,FDR,1.700000,0.035624
HCONCAT,TPR,1.700000,0.956000
HCONCAT,AvgL,1.700000,2.345000
HCONCAT,AvgT,1.700000,8.590000
HCONCAT,FDR,1.800000,0.040903
HCONCAT,TPR,1.800000,0.979500
HCONCAT,AvgL,1.800000,2.185000
HCONCAT,AvgT,1.800000,8.175000
HCONCAT,FDR,1.900000,0.036292
HCONCAT,TPR,1.900000,0.976500
HCONCAT,AvgL,1.900000,2.000000
HCONCAT,AvgT,1.900000,5.645000
HCONCAT,FDR,2.000000,0.046089
HCONCAT,TPR,2.000000,0.984500
HCONCAT,AvgL,2.000000,1.880000
HCONCAT,AvgT,2.000000,6.710000
HCONCAT,FDR,5.000000,0.034883
HCONCAT,TPR,5.000000,1.000000
HCONCAT,AvgL,5.000000,1.200000
HCONCAT,AvgT,5.000000,4.755000
PERMUTATION,FDR,0.100000,0.025000
PERMUTATION,TPR,0.100000,0.000500
PERMUTATION,AvgL,0.100000,2.960000
PERMUTATION,AvgT,0.100000,4.090000
PERMUTATION,FDR,0.200000,0.009167
PERMUTATION,TPR,0.200000,0.019500
PERMUTATION,AvgL,0.200000,5.025000
PERMUTATION,AvgT,0.200000,6.160000
PERMUTATION,FDR,0.300000,0.027083
PERMUTATION,TPR,0.300000,0.066500
PERMUTATION,AvgL,0.300000,6.635000
PERMUTATION,AvgT,0.300000,5.530000
PERMUTATION,FDR,0.400000,0.053004
PERMUTATION,TPR,0.400000,0.145000
PERMUTATION,AvgL,0.400000,7.515000
PERMUTATION,AvgT,0.400000,6.375000
PERMUTATION,FDR,0.500000,0.048601
PERMUTATION,TPR,0.500000,0.278000
PERMUTATION,AvgL,0.500000,7.350000
PERMUTATION,AvgT,0.500000,6.895000
PERMUTATION,FDR,0.600000,0.051000
PERMUTATION,TPR,0.600000,0.383000
PERMUTATION,AvgL,0.600000,7.195000
PERMUTATION,AvgT,0.600000,8.660000
PERMUTATION,FDR,0.700000,0.047159
PERMUTATION,TPR,0.700000,0.487000
PERMUTATION,AvgL,0.700000,6.005000
PERMUTATION,AvgT,0.700000,7.910000
PERMUTATION,FDR,0.800000,0.046256
PERMUTATION,TPR,0.800000,0.603000
PERMUTATION,AvgL,0.800000,5.400000
PERMUTATION,AvgT,0.800000,8.895000
PERMUTATION,FDR,0.900000,0.055971
PERMUTATION,TPR,0.900000,0.690000
PERMUTATION,AvgL,0.900000,4.880000
PERMUTATION,AvgT,0.900000,10.140000
PERMUTATION,FDR,1.000000,0.048512
PERMUTATION,TPR,1.000000,0.752000
PERMUTATION,AvgL,1.000000,3.780000
PERMUTATION,AvgT,1.000000,7.550000
PERMUTATION,FDR,1.100000,0.053745
PERMUTATION,TPR,1.100000,0.814000
PERMUTATION,AvgL,1.100000,4.200000
PERMUTATION,AvgT,1.100000,10.100000
PERMUTATION,FDR,1.200000,0.050848
PERMUTATION,TPR,1.200000,0.843000
PERMUTATION,AvgL,1.200000,3.415000
PERMUTATION,AvgT,1.200000,9.520000
PERMUTATION,FDR,1.300000,0.046957
PERMUTATION,TPR,1.300000,0.856000
PERMUTATION,AvgL,1.300000,3.065000
PERMUTATION,AvgT,1.300000,7.735000
PERMUTATION,FDR,1.400000,0.047493
PERMUTATION,TPR,1.400000,0.909500
PERMUTATION,AvgL,1.400000,2.765000
PERMUTATION,AvgT,1.400000,7.035000
PERMUTATION,FDR,1.500000,0.048775
PERMUTATION,TPR,1.500000,0.920000
PERMUTATION,AvgL,1.500000,2.530000
PERMUTATION,AvgT,1.500000,6.625000
PERMUTATION,FDR,1.600000,0.051089
PERMUTATION,TPR,1.600000,0.946000
PERMUTATION,AvgL,1.600000,2.460000
PERMUTATION,AvgT,1.600000,6.830000
PERMUTATION,FDR,1.700000,0.036129
PERMUTATION,TPR,1.700000,0.956000
PERMUTATION,AvgL,1.700000,2.450000
PERMUTATION,AvgT,1.700000,9.295000
PERMUTATION,FDR,1.800000,0.042545
PERMUTATION,TPR,1.800000,0.974500
PERMUTATION,AvgL,1.800000,2.080000
PERMUTATION,AvgT,1.800000,7.105000
PERMUTATION,FDR,1.900000,0.037904
PERMUTATION,TPR,1.900000,0.980500
PERMUTATION,AvgL,1.900000,2.240000
PERMUTATION,AvgT,1.900000,7.475000
PERMUTATION,FDR,2.000000,0.041752
PERMUTATION,TPR,2.000000,0.983500
PERMUTATION,AvgL,2.000000,1.890000
PERMUTATION,AvgT,2.000000,5.700000
PERMUTATION,FDR,5.000000,0.036037
PERMUTATION,TPR,5.000000,1.000000
PERMUTATION,AvgL,5.000000,1.190000
PERMUTATION,AvgT,5.000000,4.820000
PERMUTATION_ONDEMAND,FDR,0.100000,0.020000
PERMUTATION_ONDEMAND,TPR,0.100000,0.002500
PERMUTATION_ONDEMAND,AvgL,0.100000,2.825000
PERMUTATION_ONDEMAND,AvgT,0.100000,4.740000
PERMUTATION_ONDEMAND,FDR,0.200000,0.010417
PERMUTATION_ONDEMAND,TPR,0.200000,0.021000
PERMUTATION_ONDEMAND,AvgL,0.200000,5.140000
PERMUTATION_ONDEMAND,AvgT,0.200000,4.820000
PERMUTATION_ONDEMAND,FDR,0.300000,0.028083
PERMUTATION_ONDEMAND,TPR,0.300000,0.072000
PERMUTATION_ONDEMAND,AvgL,0.300000,6.805000
PERMUTATION_ONDEMAND,AvgT,0.300000,5.775000
PERMUTATION_ONDEMAND,FDR,0.400000,0.039040
PERMUTATION_ONDEMAND,TPR,0.400000,0.148500
PERMUTATION_ONDEMAND,AvgL,0.400000,7.640000
PERMUTATION_ONDEMAND,AvgT,0.400000,6.200000
PERMUTATION_ONDEMAND,FDR,0.500000,0.044042
PERMUTATION_ONDEMAND,TPR,0.500000,0.275500
PERMUTATION_ONDEMAND,AvgL,0.500000,7.400000
PERMUTATION_ONDEMAND,AvgT,0.500000,7.450000
PERMUTATION_ONDEMAND,FDR,0.600000,0.046091
PERMUTATION_ONDEMAND,TPR,0.600000,0.375500
PERMUTATION_ONDEMAND,AvgL,0.600000,6.925000
PERMUTATION_ONDEMAND,AvgT,0.600000,7.385000
PERMUTATION_ONDEMAND,FDR,0.700000,0.040865
PERMUTATION_ONDEMAND,TPR,0.700000,0.490500
PERMUTATION_ONDEMAND,AvgL,0.700000,6.040000
PERMUTATION_ONDEMAND,AvgT,0.700000,8.970000
PERMUTATION_ONDEMAND,FDR,0.800000,0.049689
PERMUTATION_ONDEMAND,TPR,0.800000,0.589500
PERMUTATION_ONDEMAND,AvgL,0.800000,5.165000
PERMUTATION_ONDEMAND,AvgT,0.800000,7.875000
PERMUTATION_ONDEMAND,FDR,0.900000,0.063955
PERMUTATION_ONDEMAND,TPR,0.900000,0.695000
PERMUTATION_ONDEMAND,AvgL,0.900000,4.510000
PERMUTATION_ONDEMAND,AvgT,0.900000,9.010000
PERMUTATION_ONDEMAND,FDR,1.000000,0.051321
PERMUTATION_ONDEMAND,TPR,1.000000,0.763500
PERMUTATION_ONDEMAND,AvgL,1.000000,3.950000
