solver,metric,snr,value
STANDARD,FDR,0.100000,0.002500
STANDARD,TPR,0.100000,0.002500
STANDARD,AvgL,0.100000,2.730000
STANDARD,AvgT,0.100000,5.390000
STANDARD,FDR,0.200000,0.001250
STANDARD,TPR,0.200000,0.014500
STANDARD,AvgL,0.200000,4.720000
STANDARD,AvgT,0.200000,5.160000
STANDARD,FDR,0.300000,0.011250
STANDARD,TPR,0.300000,0.055000
STANDARD,AvgL,0.300000,6.065000
STANDARD,AvgT,0.300000,5.235000
STANDARD,FDR,0.400000,0.030048
STANDARD,TPR,0.400000,0.097500
STANDARD,AvgL,0.400000,7.065000
STANDARD,AvgT,0.400000,5.305000
STANDARD,FDR,0.500000,0.017012
STANDARD,TPR,0.500000,0.210500
STANDARD,AvgL,0.500000,6.355000
STANDARD,AvgT,0.500000,5.725000
STANDARD,FDR,0.600000,0.019573
STANDARD,TPR,0.600000,0.318000
STANDARD,AvgL,0.600000,5.815000
STANDARD,AvgT,0.600000,6.135000
STANDARD,FDR,0.700000,0.019808
STANDARD,TPR,0.700000,0.466000
STANDARD,AvgL,0.700000,4.395000
STANDARD,AvgT,0.700000,6.150000
STANDARD,FDR,0.800000,0.027427
STANDARD,TPR,0.800000,0.633500
STANDARD,AvgL,0.800000,3.845000
STANDARD,AvgT,0.800000,6.805000
STANDARD,FDR,0.900000,0.023137
STANDARD,TPR,0.900000,0.779000
STANDARD,AvgL,0.900000,3.335000
STANDARD,AvgT,0.900000,6.660000
STANDARD,FDR,1.000000,0.018238
STANDARD,TPR,1.000000,0.876000
STANDARD,AvgL,1.000000,2.520000
STANDARD,AvgT,1.000000,6.300000
STANDARD,FDR,1.100000,0.029213
STANDARD,TPR,1.100000,0.943500
STANDARD,AvgL,1.100000,2.135000
STANDARD,AvgT,1.100000,6.070000
STANDARD,FDR,1.200000,0.024206
STANDARD,TPR,1.200000,0.961500
STANDARD,AvgL,1.200000,1.860000
STANDARD,AvgT,1.200000,5.895000
STANDARD,FDR,1.300000,0.026672
STANDARD,TPR,1.300000,0.979500
STANDARD,AvgL,1.300000,1.650000
STANDARD,AvgT,1.300000,6.005000
STANDARD,FDR,1.400000,0.032663
STANDARD,TPR,1.400000,0.990000
STANDARD,AvgL,1.400000,1.395000
STANDARD,AvgT,1.400000,5.700000
STANDARD,FDR,1.500000,0.028601
STANDARD,TPR,1.500000,0.994500
STANDARD,AvgL,1.500000,1.340000
STANDARD,AvgT,1.500000,5.680000
