solver,metric,snr,value
SKIPL_5p,FDR,0.100000,0.000000
SKIPL_5p,TPR,0.100000,0.000000
SKIPL_5p,AvgL,0.100000,5.000000
SKIPL_5p,AvgT,0.100000,3.200000
SKIPL_5p,FDR,0.200000,0.000000
SKIPL_5p,TPR,0.200000,0.000000
SKIPL_5p,AvgL,0.200000,5.000000
SKIPL_5p,AvgT,0.200000,3.200000
SKIPL_5p,FDR,0.300000,0.000000
SKIPL_5p,TPR,0.300000,0.000000
SKIPL_5p,AvgL,0.300000,5.000000
SKIPL_5p,AvgT,0.300000,2.200000
SKIPL_5p,FDR,0.400000,0.040000
SKIPL_5p,TPR,0.400000,0.210000
SKIPL_5p,AvgL,0.400000,5.000000
SKIPL_5p,AvgT,0.400000,2.800000
SKIPL_5p,FDR,0.500000,0.014286
SKIPL_5p,TPR,0.500000,0.100000
SKIPL_5p,AvgL,0.500000,5.000000
SKIPL_5p,AvgT,0.500000,2.600000
SKIPL_5p,FDR,0.600000,0.016667
SKIPL_5p,TPR,0.600000,0.240000
SKIPL_5p,AvgL,0.600000,5.000000
SKIPL_5p,AvgT,0.600000,2.500000
SKIPL_5p,FDR,0.700000,0.053968
SKIPL_5p,TPR,0.700000,0.430000
SKIPL_5p,AvgL,0.700000,5.000000
SKIPL_5p,AvgT,0.700000,4.500000
SKIPL_5p,FDR,0.800000,0.025000
SKIPL_5p,TPR,0.800000,0.530000
SKIPL_5p,AvgL,0.800000,5.000000
SKIPL_5p,AvgT,0.800000,5.300000
SKIPL_5p,FDR,0.900000,0.062222
SKIPL_5p,TPR,0.900000,0.790000
SKIPL_5p,AvgL,0.900000,5.000000
SKIPL_5p,AvgT,0.900000,7.600000
SKIPL_5p,FDR,1.000000,0.052222
SKIPL_5p,TPR,1.000000,0.830000
SKIPL_5p,AvgL,1.000000,5.000000
SKIPL_5p,AvgT,1.000000,7.500000
SKIPL_5p,FDR,1.100000,0.029091
SKIPL_5p,TPR,1.100000,0.810000
SKIPL_5p,AvgL,1.100000,5.000000
SKIPL_5p,AvgT,1.100000,6.600000
SKIPL_5p,FDR,1.200000,0.027273
SKIPL_5p,TPR,1.200000,0.920000
SKIPL_5p,AvgL,1.200000,5.000000
SKIPL_5p,AvgT,1.200000,8.100000
SKIPL_5p,FDR,1.300000,0.047273
SKIPL_5p,TPR,1.300000,0.870000
SKIPL_5p,AvgL,1.300000,5.000000
SKIPL_5p,AvgT,1.300000,8.000000
SKIPL_5p,FDR,1.400000,0.069697
SKIPL_5p,TPR,1.400000,0.940000
SKIPL_5p,AvgL,1.400000,5.000000
SKIPL_5p,AvgT,1.400000,8.400000
SKIPL_5p,FDR,1.500000,0.049134
SKIPL_5p,TPR,1.500000,0.930000
SKIPL_5p,AvgL,1.500000,5.000000
SKIPL_5p,AvgT,1.500000,7.200000
SKIPL_5p,FDR,1.600000,0.037273
SKIPL_5p,TPR,1.600000,0.960000
SKIPL_5p,AvgL,1.600000,5.000000
SKIPL_5p,AvgT,1.600000,7.900000
SKIPL_5p,FDR,1.700000,0.069441
SKIPL_5p,TPR,1.700000,0.980000
SKIPL_5p,AvgL,1.700000,5.000000
SKIPL_5p,AvgT,1.700000,8.300000
SKIPL_5p,FDR,1.800000,0.038384
SKIPL_5p,TPR,1.800000,0.980000
SKIPL_5p,AvgL,1.800000,5.000000
SKIPL_5p,AvgT,1.800000,7.600000
SKIPL_5p,FDR,1.900000,0.062121
SKIPL_5p,TPR,1.900000,0.990000
SKIPL_5p,AvgL,1.900000,5.000000
SKIPL_5p,AvgT,1.900000,8.400000
SKIPL_5p,FDR,2.000000,0.034091
SKIPL_5p,TPR,2.000000,0.980000
SKIPL_5p,AvgL,2.000000,5.000000
SKIPL_5p,AvgT,2.000000,7.200000
SKIPL_5p,FDR,5.000000,0.041259
SKIPL_5p,TPR,5.000000,1.000000
SKIPL_5p,AvgL,5.000000,5.000000
SKIPL_5p,AvgT,5.000000,6.800000
SKIPL_10p,FDR,0.100000,0.000000
SKIPL_10p,TPR,0.100000,0.000000
SKIPL_10p,AvgL,0.100000,10.000000
SKIPL_10p,AvgT,0.100000,4.100000
SKIPL_10p,FDR,0.200000,0.000000
SKIPL_10p,TPR,0.200000,0.000000
SKIPL_10p,AvgL,0.200000,10.000000
SKIPL_10p,AvgT,0.200000,3.900000
SKIPL_10p,FDR,0.300000,0.000000
SKIPL_10p,TPR,0.300000,0.030000
SKIPL_10p,AvgL,0.300000,10.000000
SKIPL_10p,AvgT,0.300000,4.100000
SKIPL_10p,FDR,0.400000,0.112857
SKIPL_10p,TPR,0.400000,0.290000
SKIPL_10p,AvgL,0.400000,10.000000
SKIPL_10p,AvgT,0.400000,6.700000
SKIPL_10p,FDR,0.500000,0.014286
SKIPL_10p,TPR,0.500000,0.190000
SKIPL_10p,AvgL,0.500000,10.000000
SKIPL_10p,AvgT,0.500000,5.600000
SKIPL_10p,FDR,0.600000,0.016667
SKIPL_10p,TPR,0.600000,0.340000
SKIPL_10p,AvgL,0.600000,10.000000
SKIPL_10p,AvgT,0.600000,6.200000
SKIPL_10p,FDR,0.700000,0.116627
SKIPL_10p,TPR,0.700000,0.500000
SKIPL_10p,AvgL,0.700000,10.000000
SKIPL_10p,AvgT,0.700000,8.800000
SKIPL_10p,FDR,0.800000,0.049008
SKIPL_10p,TPR,0.800000,0.720000
SKIPL_10p,AvgL,0.800000,10.000000
SKIPL_10p,AvgT,0.800000,11.600000
SKIPL_10p,FDR,0.900000,0.051111
SKIPL_10p,TPR,0.900000,0.790000
SKIPL_10p,AvgL,0.900000,10.000000
SKIPL_10p,AvgT,0.900000,10.300000
SKIPL_10p,FDR,1.000000,0.063333
SKIPL_10p,TPR,1.000000,0.820000
SKIPL_10p,AvgL,1.000000,10.000000
SKIPL_10p,AvgT,1.000000,11.400000
SKIPL_10p,FDR,1.100000,0.038182
SKIPL_10p,TPR,1.100000,0.880000
SKIPL_10p,AvgL,1.100000,10.000000
SKIPL_10p,AvgT,1.100000,12.400000
SKIPL_10p,FDR,1.200000,0.038182
SKIPL_10p,TPR,1.200000,0.920000
SKIPL_10p,AvgL,1.200000,10.000000
SKIPL_10p,AvgT,1.200000,11.200000
SKIPL_10p,FDR,1.300000,0.071212
SKIPL_10p,TPR,1.300000,0.900000
SKIPL_10p,AvgL,1.300000,10.000000
SKIPL_10p,AvgT,1.300000,12.800000
SKIPL_10p,FDR,1.400000,0.068182
SKIPL_10p,TPR,1.400000,0.950000
SKIPL_10p,AvgL,1.400000,10.000000
SKIPL_10p,AvgT,1.400000,11.300000
SKIPL_10p,FDR,1.500000,0.034848
SKIPL_10p,TPR,1.500000,0.950000
SKIPL_10p,AvgL,1.500000,10.000000
SKIPL_10p,AvgT,1.500000,11.100000
SKIPL_10p,FDR,1.600000,0.045455
SKIPL_10p,TPR,1.600000,0.970000
SKIPL_10p,AvgL,1.600000,10.000000
SKIPL_10p,AvgT,1.600000,9.800000
SKIPL_10p,FDR,1.700000,0.042424
SKIPL_10p,TPR,1.700000,1.000000
SKIPL_10p,AvgL,1.700000,10.000000
SKIPL_10p,AvgT,1.700000,10.600000
SKIPL_10p,FDR,1.800000,0.027778
SKIPL_10p,TPR,1.800000,0.980000
SKIPL_10p,AvgL,1.800000,10.000000
SKIPL_10p,AvgT,1.800000,8.300000
SKIPL_10p,FDR,1.900000,0.051515
SKIPL_10p,TPR,1.900000,1.000000
SKIPL_10p,AvgL,1.900000,10.000000
SKIPL_10p,AvgT,1.900000,10.300000
SKIPL_10p,FDR,2.000000,0.032168
SKIPL_10p,TPR,2.000000,0.990000
SKIPL_10p,AvgL,2.000000,10.000000
SKIPL_10p,AvgT,2.000000,9.700000
SKIPL_10p,FDR,5.000000,0.034848
SKIPL_10p,TPR,5.000000,1.000000
SKIPL_10p,AvgL,5.000000,10.000000
SKIPL_10p,AvgT,5.000000,6.700000
SKIPL_20p,FDR,0.100000,0.100000
SKIPL_20p,TPR,0.100000,0.020000
SKIPL_20p,AvgL,0.100000,20.000000
SKIPL_20p,AvgT,0.100000,5.800000
SKIPL_20p,FDR,0.200000,0.150000
SKIPL_20p,TPR,0.200000,0.020000
SKIPL_20p,AvgL,0.200000,20.000000
SKIPL_20p,AvgT,0.200000,5.700000
SKIPL_20p,FDR,0.300000,0.000000
SKIPL_20p,TPR,0.300000,0.050000
SKIPL_20p,AvgL,0.300000,20.000000
SKIPL_20p,AvgT,0.300000,6.100000
SKIPL_20p,FDR,0.400000,0.086667
SKIPL_20p,TPR,0.400000,0.300000
SKIPL_20p,AvgL,0.400000,20.000000
SKIPL_20p,AvgT,0.400000,9.200000
SKIPL_20p,FDR,0.500000,0.014286
SKIPL_20p,TPR,0.500000,0.230000
SKIPL_20p,AvgL,0.500000,20.000000
SKIPL_20p,AvgT,0.500000,8.200000
SKIPL_20p,FDR,0.600000,0.055952
SKIPL_20p,TPR,0.600000,0.420000
SKIPL_20p,AvgL,0.600000,20.000000
SKIPL_20p,AvgT,0.600000,10.800000
SKIPL_20p,FDR,0.700000,0.093651
SKIPL_20p,TPR,0.700000,0.510000
SKIPL_20p,AvgL,0.700000,20.000000
SKIPL_20p,AvgT,0.700000,11.200000
SKIPL_20p,FDR,0.800000,0.025397
SKIPL_20p,TPR,0.800000,0.600000
SKIPL_20p,AvgL,0.800000,20.000000
SKIPL_20p,AvgT,0.800000,12.500000
SKIPL_20p,FDR,0.900000,0.034286
SKIPL_20p,TPR,0.900000,0.770000
SKIPL_20p,AvgL,0.900000,20.000000
SKIPL_20p,AvgT,0.900000,12.400000
SKIPL_20p,FDR,1.000000,0.053611
SKIPL_20p,TPR,1.000000,0.810000
SKIPL_20p,AvgL,1.000000,20.000000
SKIPL_20p,AvgT,1.000000,13.900000
SKIPL_20p,FDR,1.100000,0.019091
SKIPL_20p,TPR,1.100000,0.800000
SKIPL_20p,AvgL,1.100000,20.000000
SKIPL_20p,AvgT,1.100000,12.600000
SKIPL_20p,FDR,1.200000,0.010000
SKIPL_20p,TPR,1.200000,0.890000
SKIPL_20p,AvgL,1.200000,20.000000
SKIPL_20p,AvgT,1.200000,10.700000
SKIPL_20p,FDR,1.300000,0.045455
SKIPL_20p,TPR,1.300000,0.860000
SKIPL_20p,AvgL,1.300000,20.000000
SKIPL_20p,AvgT,1.300000,12.500000
SKIPL_20p,FDR,1.400000,0.044848
SKIPL_20p,TPR,1.400000,0.930000
SKIPL_20p,AvgL,1.400000,20.000000
SKIPL_20p,AvgT,1.400000,11.000000
SKIPL_20p,FDR,1.500000,0.034848
SKIPL_20p,TPR,1.500000,0.940000
SKIPL_20p,AvgL,1.500000,20.000000
SKIPL_20p,AvgT,1.500000,12.900000
SKIPL_20p,FDR,1.600000,0.026667
SKIPL_20p,TPR,1.600000,0.970000
SKIPL_20p,AvgL,1.600000,20.000000
SKIPL_20p,AvgT,1.600000,12.000000
SKIPL_20p,FDR,1.700000,0.029293
SKIPL_20p,TPR,1.700000,0.970000
SKIPL_20p,AvgL,1.700000,20.000000
SKIPL_20p,AvgT,1.700000,11.000000
SKIPL_20p,FDR,1.800000,0.009091
SKIPL_20p,TPR,1.800000,0.970000
SKIPL_20p,AvgL,1.800000,20.000000
SKIPL_20p,AvgT,1.800000,9.000000
SKIPL_20p,FDR,1.900000,0.034848
SKIPL_20p,TPR,1.900000,1.000000
SKIPL_20p,AvgL,1.900000,20.000000
SKIPL_20p,AvgT,1.900000,12.200000
SKIPL_20p,FDR,2.000000,0.009091
SKIPL_20p,TPR,2.000000,0.980000
SKIPL_20p,AvgL,2.000000,20.000000
SKIPL_20p,AvgT,2.000000,10.000000
SKIPL_20p,FDR,5.000000,0.027273
SKIPL_20p,TPR,5.000000,1.000000
SKIPL_20p,AvgL,5.000000,20.000000
SKIPL_20p,AvgT,5.000000,6.400000
SKIPL_50p,FDR,0.100000,0.100000
SKIPL_50p,TPR,0.100000,0.010000
SKIPL_50p,AvgL,0.100000,50.000000
SKIPL_50p,AvgT,0.100000,6.400000
SKIPL_50p,FDR,0.200000,0.150000
SKIPL_50p,TPR,0.200000,0.020000
SKIPL_50p,AvgL,0.200000,50.000000
SKIPL_50p,AvgT,0.200000,6.500000
SKIPL_50p,FDR,0.300000,0.000000
SKIPL_50p,TPR,0.300000,0.060000
SKIPL_50p,AvgL,0.300000,50.000000
SKIPL_50p,AvgT,0.300000,6.900000
SKIPL_50p,FDR,0.400000,0.000000
SKIPL_50p,TPR,0.400000,0.240000
SKIPL_50p,AvgL,0.400000,50.000000
SKIPL_50p,AvgT,0.400000,8.200000
SKIPL_50p,FDR,0.500000,0.000000
SKIPL_50p,TPR,0.500000,0.230000
SKIPL_50p,AvgL,0.500000,50.000000
SKIPL_50p,AvgT,0.500000,10.300000
SKIPL_50p,FDR,0.600000,0.000000
SKIPL_50p,TPR,0.600000,0.330000
SKIPL_50p,AvgL,0.600000,50.000000
SKIPL_50p,AvgT,0.600000,10.800000
SKIPL_50p,FDR,0.700000,0.059286
SKIPL_50p,TPR,0.700000,0.410000
SKIPL_50p,AvgL,0.700000,50.000000
SKIPL_50p,AvgT,0.700000,9.000000
SKIPL_50p,FDR,0.800000,0.000000
SKIPL_50p,TPR,0.800000,0.520000
SKIPL_50p,AvgL,0.800000,50.000000
SKIPL_50p,AvgT,0.800000,11.800000
SKIPL_50p,FDR,0.900000,0.028571
SKIPL_50p,TPR,0.900000,0.670000
SKIPL_50p,AvgL,0.900000,50.000000
SKIPL_50p,AvgT,0.900000,11.700000
SKIPL_50p,FDR,1.000000,0.014286
SKIPL_50p,TPR,1.000000,0.640000
SKIPL_50p,AvgL,1.000000,50.000000
SKIPL_50p,AvgT,1.000000,11.300000
SKIPL_50p,FDR,1.100000,0.010000
SKIPL_50p,TPR,1.100000,0.670000
SKIPL_50p,AvgL,1.100000,50.000000
SKIPL_50p,AvgT,1.100000,11.300000
SKIPL_50p,FDR,1.200000,0.000000
SKIPL_50p,TPR,1.200000,0.850000
SKIPL_50p,AvgL,1.200000,50.000000
SKIPL_50p,AvgT,1.200000,14.600000
SKIPL_50p,FDR,1.300000,0.012500
SKIPL_50p,TPR,1.300000,0.740000
SKIPL_50p,AvgL,1.300000,50.000000
SKIPL_50p,AvgT,1.300000,12.300000
SKIPL_50p,FDR,1.400000,0.010000
SKIPL_50p,TPR,1.400000,0.860000
SKIPL_50p,AvgL,1.400000,50.000000
SKIPL_50p,AvgT,1.400000,10.700000
SKIPL_50p,FDR,1.500000,0.016667
SKIPL_50p,TPR,1.500000,0.870000
SKIPL_50p,AvgL,1.500000,50.000000
SKIPL_50p,AvgT,1.500000,14.500000
SKIPL_50p,FDR,1.600000,0.000000
SKIPL_50p,TPR,1.600000,0.910000
SKIPL_50p,AvgL,1.600000,50.000000
SKIPL_50p,AvgT,1.600000,10.600000
SKIPL_50p,FDR,1.700000,0.021591
SKIPL_50p,TPR,1.700000,0.920000
SKIPL_50p,AvgL,1.700000,50.000000
SKIPL_50p,AvgT,1.700000,11.100000
SKIPL_50p,FDR,1.800000,0.000000
SKIPL_50p,TPR,1.800000,0.970000
SKIPL_50p,AvgL,1.800000,50.000000
SKIPL_50p,AvgT,1.800000,11.100000
SKIPL_50p,FDR,1.900000,0.009091
SKIPL_50p,TPR,1.900000,0.930000
SKIPL_50p,AvgL,1.900000,50.000000
SKIPL_50p,AvgT,1.900000,9.500000
SKIPL_50p,FDR,2.000000,0.009091
SKIPL_50p,TPR,2.000000,0.930000
SKIPL_50p,AvgL,2.000000,50.000000
SKIPL_50p,AvgT,2.000000,11.400000
SKIPL_50p,FDR,5.000000,0.009091
SKIPL_50p,TPR,5.000000,1.000000
SKIPL_50p,AvgL,5.000000,50.000000
SKIPL_50p,AvgT,5.000000,6.700000
