solver,metric,snr,value
Normal,FDR,0.100000,0.012500
Normal,TPR,0.100000,0.001500
Normal,AvgL,0.100000,2.720000
Normal,AvgT,0.100000,4.515000
Normal,FDR,0.200000,0.014917
Normal,TPR,0.200000,0.020500
Normal,AvgL,0.200000,4.700000
Normal,AvgT,0.200000,4.010000
Normal,FDR,0.500000,0.026839
Normal,TPR,0.500000,0.259500
Normal,AvgL,0.500000,6.095000
Normal,AvgT,0.500000,5.565000
Normal,FDR,0.600000,0.028250
Normal,TPR,0.600000,0.385500
Normal,AvgL,0.600000,5.505000
Normal,AvgT,0.600000,6.360000
Normal,FDR,1.000000,0.032714
Normal,TPR,1.000000,0.886500
Normal,AvgL,1.000000,2.730000
Normal,AvgT,1.000000,5.945000
Normal,FDR,2.000000,0.031227
Normal,TPR,2.000000,0.999000
Normal,AvgL,2.000000,1.190000
Normal,AvgT,2.000000,4.780000
Normal,FDR,5.000000,0.030548
Normal,TPR,5.000000,1.000000
Normal,AvgL,5.000000,1.145000
Normal,AvgT,5.000000,4.770000
Uniform,FDR,0.100000,0.017500
Uniform,TPR,0.100000,0.002500
Uniform,AvgL,0.100000,2.680000
Uniform,AvgT,0.100000,4.425000
Uniform,FDR,0.200000,0.008333
Uniform,TPR,0.200000,0.016500
Uniform,AvgL,0.200000,4.755000
Uniform,AvgT,0.200000,3.940000
Uniform,FDR,0.500000,0.031440
Uniform,TPR,0.500000,0.256000
Uniform,AvgL,0.500000,6.245000
Uniform,AvgT,0.500000,5.550000
Uniform,FDR,0.600000,0.027266
Uniform,TPR,0.600000,0.384500
Uniform,AvgL,0.600000,5.560000
Uniform,AvgT,0.600000,5.780000
Uniform,FDR,1.000000,0.034458
Uniform,TPR,1.000000,0.885000
Uniform,AvgL,1.000000,2.805000
Uniform,AvgT,1.000000,6.280000
Uniform,FDR,2.000000,0.032260
Uniform,TPR,2.000000,0.999000
Uniform,AvgL,2.000000,1.220000
Uniform,AvgT,2.000000,5.100000
Uniform,FDR,5.000000,0.031626
Uniform,TPR,5.000000,1.000000
Uniform,AvgL,5.000000,1.180000
Uniform,AvgT,5.000000,4.880000
Rademacher,FDR,0.100000,0.010000
Rademacher,TPR,0.100000,0.003000
Rademacher,AvgL,0.100000,2.695000
Rademacher,AvgT,0.100000,4.425000
Rademacher,FDR,0.200000,0.022083
Rademacher,TPR,0.200000,0.023500
Rademacher,AvgL,0.200000,4.840000
