solver,metric,snr,value
Normal,FDR,0.100000,0.017500
Normal,TPR,0.100000,0.002000
Normal,AvgL,0.100000,2.745000
Normal,AvgT,0.100000,4.125000
Normal,FDR,0.200000,0.013750
Normal,TPR,0.200000,0.020500
Normal,AvgL,0.200000,4.640000
Normal,AvgT,0.200000,4.720000
Normal,FDR,0.500000,0.043675
Normal,TPR,0.500000,0.259000
Normal,AvgL,0.500000,6.465000
Normal,AvgT,0.500000,5.730000
Normal,FDR,0.600000,0.055958
Normal,TPR,0.600000,0.369000
Normal,AvgL,0.600000,6.060000
Normal,AvgT,0.600000,5.850000
Normal,FDR,1.000000,0.054137
Normal,TPR,1.000000,0.758000
Normal,AvgL,1.000000,3.700000
Normal,AvgT,1.000000,7.520000
Normal,FDR,2.000000,0.036621
Normal,TPR,2.000000,0.978000
Normal,AvgL,2.000000,1.915000
Normal,AvgT,2.000000,5.845000
Normal,FDR,5.000000,0.033275
Normal,TPR,5.000000,1.000000
Normal,AvgL,5.000000,1.240000
Normal,AvgT,5.000000,5.200000
Uniform,FDR,0.100000,0.017500
Uniform,TPR,0.100000,0.003000
Uniform,AvgL,0.100000,2.665000
Uniform,AvgT,0.100000,4.850000
Uniform,FDR,0.200000,0.015333
Uniform,TPR,0.200000,0.021500
Uniform,AvgL,0.200000,4.680000
Uniform,AvgT,0.200000,5.830000
Uniform,FDR,0.500000,0.040399
Uniform,TPR,0.500000,0.268500
Uniform,AvgL,0.500000,6.665000
Uniform,AvgT,0.500000,6.705000
Uniform,FDR,0.600000,0.050887
Uniform,TPR,0.600000,0.379500
Uniform,AvgL,0.600000,6.160000
Uniform,AvgT,0.600000,6.585000
Uniform,FDR,1.000000,0.049856
Uniform,TPR,1.000000,0.752500
Uniform,AvgL,1.000000,3.625000
Uniform,AvgT,1.000000,7.800000
Uniform,FDR,2.000000,0.037549
Uniform,TPR,2.000000,0.981000
Uniform,AvgL,2.000000,1.920000
Uniform,AvgT,2.000000,5.790000
Uniform,FDR,5.000000,0.028654
Uniform,TPR,5.000000,1.000000
Uniform,AvgL,5.000000,1.210000
Uniform,AvgT,5.000000,4.890000
Rademacher,FDR,0.100000,0.015000
Rademacher,TPR,0.100000,0.001500
Rademacher,AvgL,0.100000,2.690000
Rademacher,AvgT,0.100000,4.705000
Rademacher,FDR,0.200000,0.011250
Rademacher,TPR,0.200000,0.020000
Rademacher,AvgL,0.200000,4.720000
Rademacher,AvgT,0.200000,5.390000
Rademacher,FDR,0.500000,0.039988
Rademacher,TPR,0.500000,0.265500
