solver,metric,snr,value
Normal,FDR,0.100000,0.000000
Normal,TPR,0.100000,0.000000
Normal,AvgL,0.100000,1.700000
Normal,AvgT,0.100000,5.900000
Normal,FDR,0.200000,0.100000
Normal,TPR,0.200000,0.000000
Normal,AvgL,0.200000,7.500000
Normal,AvgT,0.200000,5.000000
Normal,FDR,0.300000,0.025000
Normal,TPR,0.300000,0.060000
Normal,AvgL,0.300000,6.100000
Normal,AvgT,0.300000,5.500000
Normal,FDR,0.400000,0.000000
Normal,TPR,0.400000,0.170000
Normal,AvgL,0.400000,7.400000
Normal,AvgT,0.400000,6.400000
Normal,FDR,0.500000,0.053333
Normal,TPR,0.500000,0.200000
Normal,AvgL,0.500000,6.500000
Normal,AvgT,0.500000,5.400000
Normal,FDR,0.600000,0.050000
Normal,TPR,0.600000,0.270000
Normal,AvgL,0.600000,5.300000
Normal,AvgT,0.600000,5.500000
Normal,FDR,0.700000,0.045000
Normal,TPR,0.700000,0.350000
Normal,AvgL,0.700000,5.700000
Normal,AvgT,0.700000,7.800000
Normal,FDR,0.800000,0.058611
Normal,TPR,0.800000,0.680000
Normal,AvgL,0.800000,3.800000
Normal,AvgT,0.800000,6.100000
Normal,FDR,0.900000,0.014286
Normal,TPR,0.900000,0.760000
Normal,AvgL,0.900000,3.600000
Normal,AvgT,0.900000,6.800000
Normal,FDR,1.000000,0.037778
Normal,TPR,1.000000,0.890000
Normal,AvgL,1.000000,2.700000
Normal,AvgT,1.000000,6.500000
Normal,FDR,1.100000,0.009091
Normal,TPR,1.100000,0.980000
Normal,AvgL,1.100000,2.200000
Normal,AvgT,1.100000,6.400000
Normal,FDR,1.200000,0.000000
Normal,TPR,1.200000,0.980000
Normal,AvgL,1.200000,1.700000
Normal,AvgT,1.200000,5.200000
Normal,FDR,1.300000,0.000000
Normal,TPR,1.300000,1.000000
Normal,AvgL,1.300000,1.500000
Normal,AvgT,1.300000,6.200000
Normal,FDR,1.400000,0.009091
Normal,TPR,1.400000,0.990000
Normal,AvgL,1.400000,1.400000
Normal,AvgT,1.400000,5.300000
Normal,FDR,1.500000,0.025758
Normal,TPR,1.500000,1.000000
Normal,AvgL,1.500000,1.200000
Normal,AvgT,1.500000,6.100000
Normal,FDR,1.600000,0.027273
Normal,TPR,1.600000,1.000000
Normal,AvgL,1.600000,1.300000
Normal,AvgT,1.600000,5.400000
Normal,FDR,1.700000,0.034848
Normal,TPR,1.700000,1.000000
Normal,AvgL,1.700000,1.300000
Normal,AvgT,1.700000,6.100000
Normal,FDR,1.800000,0.050350
Normal,TPR,1.800000,1.000000
Normal,AvgL,1.800000,1.100000
Normal,AvgT,1.800000,6.100000
Normal,FDR,1.900000,0.027273
Normal,TPR,1.900000,1.000000
Normal,AvgL,1.900000,1.200000
Normal,AvgT,1.900000,5.600000
Normal,FDR,2.000000,0.027273
Normal,TPR,2.000000,1.000000
Normal,AvgL,2.000000,1.200000
Normal,AvgT,2.000000,5.400000
Normal,FDR,5.000000,0.027273
Normal,TPR,5.000000,1.000000
Normal,AvgL,5.000000,1.100000
Normal,AvgT,5.000000,5.900000
Uniform,FDR,0.100000,0.000000
Uniform,TPR,0.100000,0.000000
Uniform,AvgL,0.100000,1.800000
Uniform,AvgT,0.100000,5.300000
Uniform,FDR,0.200000,0.000000
Uniform,TPR,0.200000,0.010000
Uniform,AvgL,0.200000,7.600000
Uniform,AvgT,0.200000,4.800000
Uniform,FDR,0.300000,0.050000
Uniform,TPR,0.300000,0.030000
Uniform,AvgL,0.300000,6.400000
Uniform,AvgT,0.300000,5.300000
Uniform,FDR,0.400000,0.000000
Uniform,TPR,0.400000,0.150000
Uniform,AvgL,0.400000,6.600000
Uniform,AvgT,0.400000,6.500000
Uniform,FDR,0.500000,0.050000
Uniform,TPR,0.500000,0.230000
Uniform,AvgL,0.500000,6.400000
Uniform,AvgT,0.500000,5.500000
Uniform,FDR,0.600000,0.050000
Uniform,TPR,0.600000,0.250000
Uniform,AvgL,0.600000,6.200000
Uniform,AvgT,0.600000,6.600000
Uniform,FDR,0.700000,0.066667
Uniform,TPR,0.700000,0.460000
Uniform,AvgL,0.700000,4.700000
Uniform,AvgT,0.700000,6.600000
Uniform,FDR,0.800000,0.037500
Uniform,TPR,0.800000,0.720000
Uniform,AvgL,0.800000,4.100000
Uniform,AvgT,0.800000,6.100000
Uniform,FDR,0.900000,0.025397
Uniform,TPR,0.900000,0.680000
Uniform,AvgL,0.900000,3.800000
Uniform,AvgT,0.900000,6.000000
Uniform,FDR,1.000000,0.029293
Uniform,TPR,1.000000,0.910000
Uniform,AvgL,1.000000,2.700000
Uniform,AvgT,1.000000,6.700000
Uniform,FDR,1.100000,0.009091
Uniform,TPR,1.100000,0.980000
Uniform,AvgL,1.100000,2.100000
Uniform,AvgT,1.100000,6.700000
Uniform,FDR,1.200000,0.009091
Uniform,TPR,1.200000,0.970000
Uniform,AvgL,1.200000,1.500000
Uniform,AvgT,1.200000,5.700000
Uniform,FDR,1.300000,0.016667
Uniform,TPR,1.300000,0.960000
Uniform,AvgL,1.300000,1.300000
Uniform,AvgT,1.300000,5.800000
