solver,metric,snr,value
TLARS,FDR,0.100000,0.007000
TLARS,TPR,0.100000,0.001200
TLARS,AvgL,0.100000,2.640000
TLARS,AvgT,0.100000,3.102000
TLARS,FDR,0.500000,0.040329
TLARS,TPR,0.500000,0.242600
TLARS,AvgL,0.500000,7.422000
TLARS,AvgT,0.500000,4.082000
TLARS,FDR,1.000000,0.049844
TLARS,TPR,1.000000,0.741800
TLARS,AvgL,1.000000,4.208000
TLARS,AvgT,1.000000,5.516000
TLARS,FDR,2.000000,0.043955
TLARS,TPR,2.000000,0.983600
TLARS,AvgL,2.000000,1.904000
TLARS,AvgT,2.000000,3.936000
TLARS,FDR,5.000000,0.033096
TLARS,TPR,5.000000,1.000000
TLARS,AvgL,5.000000,1.186000
TLARS,AvgT,5.000000,3.670000
