solver,metric,snr,value
TLARS,FDR,0.100000,0.030000
TLARS,TPR,0.100000,0.004000
TLARS,AvgL,0.100000,3.000000
TLARS,AvgT,0.100000,3.885000
TLARS,FDR,0.500000,0.035868
TLARS,TPR,0.500000,0.303500
TLARS,AvgL,0.500000,7.090000
TLARS,AvgT,0.500000,6.290000
TLARS,FDR,1.000000,0.045633
TLARS,TPR,1.000000,0.743500
TLARS,AvgL,1.000000,4.170000
TLARS,AvgT,1.000000,6.600000
TLARS,FDR,2.000000,0.036344
TLARS,TPR,2.000000,0.985000
TLARS,AvgL,2.000000,2.025000
TLARS,AvgT,2.000000,5.580000
TLARS,FDR,5.000000,0.036189
TLARS,TPR,5.000000,1.000000
TLARS,AvgL,5.000000,1.190000
TLARS,AvgT,5.000000,4.715000
