solver,metric,snr,value
TLARS,FDR,0.100000,0.025000
TLARS,TPR,0.100000,0.004500
TLARS,AvgL,0.100000,3.065000
TLARS,AvgT,0.100000,3.995000
TLARS,FDR,0.500000,0.038626
TLARS,TPR,0.500000,0.295000
TLARS,AvgL,0.500000,7.040000
TLARS,AvgT,0.500000,6.110000
TLARS,FDR,1.000000,0.043082
TLARS,TPR,1.000000,0.739000
TLARS,AvgL,1.000000,4.025000
TLARS,AvgT,1.000000,6.580000
TLARS,FDR,2.000000,0.034252
TLARS,TPR,2.000000,0.979000
TLARS,AvgL,2.000000,1.895000
TLARS,AvgT,2.000000,5.360000
TLARS,FDR,5.000000,0.034068
TLARS,TPR,5.000000,1.000000
TLARS,AvgL,5.000000,1.150000
TLARS,AvgT,5.000000,4.625000
