scenario,solver,n,p,num_mc,snr,metric,value
A,TLARS,300,1000,10,0.500000,FDR,0.000000
A,TLARS,300,1000,10,0.500000,TPR,0.260000
A,TLARS,300,1000,10,0.500000,Avg L,6.500000
A,TLARS,300,1000,10,0.500000,Avg T,4.900000
A,TLARS,300,1000,10,0.500000,DGP s,0.002438
A,TLARS,300,1000,10,0.500000,Select s,1.535377
A,TLARS,300,1000,10,0.500000,s/T-iter,0.314996
A,TLARS,300,1000,10,0.500000,Total s,1.537814
A,TLARS,300,1000,10,0.500000,RSS MiB,13.156250
A,TLARS,300,1000,10,0.500000,FootprMiB,5.578560
A,TLARS,300,1000,10,0.500000,PeakRSS,470.515625
A,TLARS,300,1000,10,0.500000,X+y MiB,2.291107
A,TLARS,300,1000,10,1.000000,FDR,0.054286
A,TLARS,300,1000,10,1.000000,TPR,0.700000
A,TLARS,300,1000,10,1.000000,Avg L,3.700000
A,TLARS,300,1000,10,1.000000,Avg T,5.900000
A,TLARS,300,1000,10,1.000000,DGP s,0.002227
A,TLARS,300,1000,10,1.000000,Select s,0.746644
A,TLARS,300,1000,10,1.000000,s/T-iter,0.105405
A,TLARS,300,1000,10,1.000000,Total s,0.748871
A,TLARS,300,1000,10,1.000000,RSS MiB,13.375000
A,TLARS,300,1000,10,1.000000,FootprMiB,5.734810
A,TLARS,300,1000,10,1.000000,PeakRSS,470.515625
A,TLARS,300,1000,10,1.000000,X+y MiB,2.291107
A,TLARS,300,1000,10,2.000000,FDR,0.028182
A,TLARS,300,1000,10,2.000000,TPR,0.990000
A,TLARS,300,1000,10,2.000000,Avg L,1.900000
A,TLARS,300,1000,10,2.000000,Avg T,5.200000
A,TLARS,300,1000,10,2.000000,DGP s,0.002196
A,TLARS,300,1000,10,2.000000,Select s,0.255371
A,TLARS,300,1000,10,2.000000,s/T-iter,0.054786
A,TLARS,300,1000,10,2.000000,Total s,0.257567
A,TLARS,300,1000,10,2.000000,RSS MiB,13.421875
A,TLARS,300,1000,10,2.000000,FootprMiB,5.203560
A,TLARS,300,1000,10,2.000000,PeakRSS,470.515625
A,TLARS,300,1000,10,2.000000,X+y MiB,2.291107
B,TLARS,1000,10000,10,0.500000,FDR,0.042424
B,TLARS,1000,10000,10,0.500000,TPR,1.000000
B,TLARS,1000,10000,10,0.500000,Avg L,1.600000
B,TLARS,1000,10000,10,0.500000,Avg T,5.700000
B,TLARS,1000,10000,10,0.500000,DGP s,0.046039
B,TLARS,1000,10000,10,0.500000,Select s,5.089500
