solver,metric,snr,value
TLARS,FDR,0.100000,0.000000
TLARS,TPR,0.100000,0.000000
TLARS,FDR,0.500000,0.050000
TLARS,TPR,0.500000,0.160000
TLARS,FDR,1.000000,0.009091
TLARS,TPR,1.000000,0.780000
TLARS,FDR,2.000000,0.027273
TLARS,TPR,2.000000,1.000000
TLARS,FDR,5.000000,0.027273
TLARS,TPR,5.000000,1.000000
TLASSO,FDR,0.100000,0.000000
TLASSO,TPR,0.100000,0.000000
TLASSO,FDR,0.500000,0.090000
TLASSO,TPR,0.500000,0.230000
TLASSO,FDR,1.000000,0.010000
TLASSO,TPR,1.000000,0.770000
TLASSO,FDR,2.000000,0.045455
TLASSO,TPR,2.000000,0.990000
TLASSO,FDR,5.000000,0.018182
TLASSO,TPR,5.000000,1.000000
TENET,FDR,0.100000,0.000000
TENET,TPR,0.100000,0.000000
TENET,FDR,0.500000,0.071111
TENET,TPR,0.500000,0.220000
TENET,FDR,1.000000,0.012500
TENET,TPR,1.000000,0.710000
TENET,FDR,2.000000,0.036364
TENET,TPR,2.000000,0.990000
TENET,FDR,5.000000,0.034848
TENET,TPR,5.000000,1.000000
TSTAGEWISE,FDR,0.100000,0.000000
TSTAGEWISE,TPR,0.100000,0.000000
TSTAGEWISE,FDR,0.500000,0.081111
TSTAGEWISE,TPR,0.500000,0.220000
TSTAGEWISE,FDR,1.000000,0.009091
TSTAGEWISE,TPR,1.000000,0.700000
TSTAGEWISE,FDR,2.000000,0.018182
TSTAGEWISE,TPR,2.000000,0.990000
TSTAGEWISE,FDR,5.000000,0.027273
TSTAGEWISE,TPR,5.000000,1.000000
TSTEPWISE,FDR,0.100000,0.000000
TSTEPWISE,TPR,0.100000,0.000000
TSTEPWISE,FDR,0.500000,0.053333
TSTEPWISE,TPR,0.500000,0.250000
TSTEPWISE,FDR,1.000000,0.034722
TSTEPWISE,TPR,1.000000,0.820000
TSTEPWISE,FDR,2.000000,0.018182
TSTEPWISE,TPR,2.000000,1.000000
TSTEPWISE,FDR,5.000000,0.018182
TSTEPWISE,TPR,5.000000,1.000000
TOMP,FDR,0.100000,0.000000
TOMP,TPR,0.100000,0.000000
TOMP,FDR,0.500000,0.033333
TOMP,TPR,0.500000,0.200000
TOMP,FDR,1.000000,0.026667
TOMP,TPR,1.000000,0.860000
TOMP,FDR,2.000000,0.018182
TOMP,TPR,2.000000,1.000000
TOMP,FDR,5.000000,0.018182
TOMP,TPR,5.000000,1.000000
TGP,FDR,0.100000,0.000000
TGP,TPR,0.100000,0.000000
TGP,FDR,0.500000,0.058333
TGP,TPR,0.500000,0.240000
TGP,FDR,1.000000,0.040682
TGP,TPR,1.000000,0.870000
TGP,FDR,2.000000,0.018182
TGP,TPR,2.000000,1.000000
TGP,FDR,5.000000,0.009091
TGP,TPR,5.000000,1.000000
TACGP,FDR,0.100000,0.000000
TACGP,TPR,0.100000,0.000000
TACGP,FDR,0.500000,0.058333
TACGP,TPR,0.500000,0.210000
TACGP,FDR,1.000000,0.031313
TACGP,TPR,1.000000,0.890000
TACGP,FDR,2.000000,0.018182
TACGP,TPR,2.000000,1.000000
TACGP,FDR,5.000000,0.009091
TACGP,TPR,5.000000,1.000000
TMP,FDR,0.100000,0.000000
TMP,TPR,0.100000,0.000000
TMP,FDR,0.500000,0.058333
TMP,TPR,0.500000,0.200000
TMP,FDR,1.000000,0.032702
TMP,TPR,1.000000,0.840000
TMP,FDR,2.000000,0.018182
TMP,TPR,2.000000,1.000000
TMP,FDR,5.000000,0.027273
TMP,TPR,5.000000,1.000000
TAFS_rho_0.3,FDR,0.100000,0.000000
TAFS_rho_0.3,TPR,0.100000,0.000000
TAFS_rho_0.3,FDR,0.500000,0.040000
TAFS_rho_0.3,TPR,0.500000,0.230000
TAFS_rho_0.3,FDR,1.000000,0.020000
TAFS_rho_0.3,TPR,1.000000,0.920000
TAFS_rho_0.3,FDR,2.000000,0.018182
TAFS_rho_0.3,TPR,2.000000,1.000000
TAFS_rho_0.3,FDR,5.000000,0.018182
TAFS_rho_0.3,TPR,5.000000,1.000000
TAFS_rho_1.0,FDR,0.100000,0.000000
TAFS_rho_1.0,TPR,0.100000,0.000000
TAFS_rho_1.0,FDR,0.500000,0.045000
TAFS_rho_1.0,TPR,0.500000,0.230000
TAFS_rho_1.0,FDR,1.000000,0.019091
TAFS_rho_1.0,TPR,1.000000,0.940000
TAFS_rho_1.0,FDR,2.000000,0.018182
TAFS_rho_1.0,TPR,2.000000,1.000000
TAFS_rho_1.0,FDR,5.000000,0.027273
