solver,metric,snr,value
TLARS,FDR,0.100000,0.000000
TLARS,TPR,0.100000,0.020000
TLARS,AvgL,0.100000,4.700000
TLARS,AvgT,0.100000,3.500000
TLARS,FDR,0.200000,0.000000
TLARS,TPR,0.200000,0.000000
TLARS,AvgL,0.200000,5.200000
TLARS,AvgT,0.200000,2.400000
TLARS,FDR,0.300000,0.000000
TLARS,TPR,0.300000,0.030000
TLARS,AvgL,0.300000,5.900000
TLARS,AvgT,0.300000,2.600000
TLARS,FDR,0.400000,0.025000
TLARS,TPR,0.400000,0.230000
TLARS,AvgL,0.400000,7.400000
TLARS,AvgT,0.400000,4.100000
TLARS,FDR,0.500000,0.014286
TLARS,TPR,0.500000,0.210000
TLARS,AvgL,0.500000,7.800000
TLARS,AvgT,0.500000,4.100000
TLARS,FDR,0.600000,0.041667
TLARS,TPR,0.600000,0.300000
TLARS,AvgL,0.600000,6.900000
TLARS,AvgT,0.600000,3.900000
TLARS,FDR,0.700000,0.087460
TLARS,TPR,0.700000,0.460000
TLARS,AvgL,0.700000,5.500000
TLARS,AvgT,0.700000,4.800000
TLARS,FDR,0.800000,0.023611
TLARS,TPR,0.800000,0.670000
TLARS,AvgL,0.800000,5.500000
TLARS,AvgT,0.800000,6.200000
TLARS,FDR,0.900000,0.050397
TLARS,TPR,0.900000,0.710000
TLARS,AvgL,0.900000,4.200000
TLARS,AvgT,0.900000,4.900000
TLARS,FDR,1.000000,0.065833
TLARS,TPR,1.000000,0.740000
TLARS,AvgL,1.000000,3.500000
TLARS,AvgT,1.000000,5.300000
TLARS,FDR,1.100000,0.020202
TLARS,TPR,1.100000,0.770000
TLARS,AvgL,1.100000,4.900000
TLARS,AvgT,1.100000,5.500000
TLARS,FDR,1.200000,0.018182
TLARS,TPR,1.200000,0.890000
TLARS,AvgL,1.200000,3.700000
TLARS,AvgT,1.200000,5.700000
TLARS,FDR,1.300000,0.038182
TLARS,TPR,1.300000,0.850000
TLARS,AvgL,1.300000,3.000000
TLARS,AvgT,1.300000,4.700000
TLARS,FDR,1.400000,0.053939
TLARS,TPR,1.400000,0.920000
TLARS,AvgL,1.400000,2.700000
TLARS,AvgT,1.400000,4.800000
TLARS,FDR,1.500000,0.040043
TLARS,TPR,1.500000,0.930000
TLARS,AvgL,1.500000,2.600000
TLARS,AvgT,1.500000,4.600000
TLARS,FDR,1.600000,0.028182
TLARS,TPR,1.600000,0.940000
TLARS,AvgL,1.600000,2.500000
TLARS,AvgT,1.600000,5.000000
TLARS,FDR,1.700000,0.037273
TLARS,TPR,1.700000,0.980000
TLARS,AvgL,1.700000,2.300000
TLARS,AvgT,1.700000,4.600000
TLARS,FDR,1.800000,0.000000
TLARS,TPR,1.800000,0.980000
TLARS,AvgL,1.800000,1.600000
TLARS,AvgT,1.800000,4.300000
TLARS,FDR,1.900000,0.034848
TLARS,TPR,1.900000,0.960000
TLARS,AvgL,1.900000,3.300000
TLARS,AvgT,1.900000,4.900000
TLARS,FDR,2.000000,0.009091
TLARS,TPR,2.000000,0.940000
TLARS,AvgL,2.000000,2.100000
TLARS,AvgT,2.000000,4.200000
TLARS,FDR,5.000000,0.034848
TLARS,TPR,5.000000,1.000000
TLARS,AvgL,5.000000,1.100000
TLARS,AvgT,5.000000,4.100000
TLASSO,FDR,0.100000,0.000000
TLASSO,TPR,0.100000,0.010000
TLASSO,AvgL,0.100000,5.200000
TLASSO,AvgT,0.100000,2.900000
TLASSO,FDR,0.200000,0.000000
TLASSO,TPR,0.200000,0.010000
TLASSO,AvgL,0.200000,5.300000
TLASSO,AvgT,0.200000,2.500000
TLASSO,FDR,0.300000,0.000000
TLASSO,TPR,0.300000,0.020000
TLASSO,AvgL,0.300000,5.600000
TLASSO,AvgT,0.300000,2.300000
TLASSO,FDR,0.400000,0.058333
TLASSO,TPR,0.400000,0.260000
TLASSO,AvgL,0.400000,8.100000
TLASSO,AvgT,0.400000,5.200000
TLASSO,FDR,0.500000,0.014286
TLASSO,TPR,0.500000,0.170000
TLASSO,AvgL,0.500000,7.700000
TLASSO,AvgT,0.500000,4.100000
TLASSO,FDR,0.600000,0.000000
TLASSO,TPR,0.600000,0.330000
TLASSO,AvgL,0.600000,6.900000
TLASSO,AvgT,0.600000,4.500000
TLASSO,FDR,0.700000,0.093651
TLASSO,TPR,0.700000,0.470000
TLASSO,AvgL,0.700000,5.700000
TLASSO,AvgT,0.700000,5.900000
TLASSO,FDR,0.800000,0.011111
