solver,metric,rho,support_type,gap,value
TREX-DA: TLARS,mean_TPP,0.000000,CappedSpread,100,0.991000
TREX-DA: TLARS,sd_TPP,0.000000,CappedSpread,100,0.035002
TREX-DA: TLARS,mean_FDP,0.000000,CappedSpread,100,0.092719
TREX-DA: TLARS,sd_FDP,0.000000,CappedSpread,100,0.084567
TREX-DA: TLARS,mean_TPP,0.000000,CappedSpread,50,0.993000
TREX-DA: TLARS,sd_TPP,0.000000,CappedSpread,50,0.029245
TREX-DA: TLARS,mean_FDP,0.000000,CappedSpread,50,0.098745
TREX-DA: TLARS,sd_FDP,0.000000,CappedSpread,50,0.091380
TREX-DA: TLARS,mean_TPP,0.000000,CappedSpread,20,0.987500
TREX-DA: TLARS,sd_TPP,0.000000,CappedSpread,20,0.037427
TREX-DA: TLARS,mean_FDP,0.000000,CappedSpread,20,0.092758
TREX-DA: TLARS,sd_FDP,0.000000,CappedSpread,20,0.078227
TREX-DA: TLARS,mean_TPP,0.000000,CappedSpread,15,0.991500
TREX-DA: TLARS,sd_TPP,0.000000,CappedSpread,15,0.027958
TREX-DA: TLARS,mean_FDP,0.000000,CappedSpread,15,0.089008
TREX-DA: TLARS,sd_FDP,0.000000,CappedSpread,15,0.084834
TREX-DA: TLARS,mean_TPP,0.000000,CappedSpread,10,0.987000
TREX-DA: TLARS,sd_TPP,0.000000,CappedSpread,10,0.044053
TREX-DA: TLARS,mean_FDP,0.000000,CappedSpread,10,0.099350
TREX-DA: TLARS,sd_FDP,0.000000,CappedSpread,10,0.082510
TREX-DA: TLARS,mean_TPP,0.000000,CappedSpread,5,0.990500
TREX-DA: TLARS,sd_TPP,0.000000,CappedSpread,5,0.032635
TREX-DA: TLARS,mean_FDP,0.000000,CappedSpread,5,0.091362
TREX-DA: TLARS,sd_FDP,0.000000,CappedSpread,5,0.079382
TREX-DA: TLARS,mean_TPP,0.000000,CappedSpread,1,0.000000
TREX-DA: TLARS,sd_TPP,0.000000,CappedSpread,1,0.000000
TREX-DA: TLARS,mean_FDP,0.000000,CappedSpread,1,0.075000
TREX-DA: TLARS,sd_FDP,0.000000,CappedSpread,1,0.264052
TREX-DA: TLARS,mean_TPP,0.000000,Random,,0.971000
TREX-DA: TLARS,sd_TPP,0.000000,Random,,0.070597
TREX-DA: TLARS,mean_FDP,0.000000,Random,,0.097188
TREX-DA: TLARS,sd_FDP,0.000000,Random,,0.081080
TREX-DA: TLARS,mean_TPP,0.100000,CappedSpread,100,0.987500
TREX-DA: TLARS,sd_TPP,0.100000,CappedSpread,100,0.041258
TREX-DA: TLARS,mean_FDP,0.100000,CappedSpread,100,0.081670
TREX-DA: TLARS,sd_FDP,0.100000,CappedSpread,100,0.075619
TREX-DA: TLARS,mean_TPP,0.100000,CappedSpread,50,0.985500
TREX-DA: TLARS,sd_TPP,0.100000,CappedSpread,50,0.045277
TREX-DA: TLARS,mean_FDP,0.100000,CappedSpread,50,0.091507
TREX-DA: TLARS,sd_FDP,0.100000,CappedSpread,50,0.084295
TREX-DA: TLARS,mean_TPP,0.100000,CappedSpread,20,0.981000
TREX-DA: TLARS,sd_TPP,0.100000,CappedSpread,20,0.048485
TREX-DA: TLARS,mean_FDP,0.100000,CappedSpread,20,0.085195
TREX-DA: TLARS,sd_FDP,0.100000,CappedSpread,20,0.075947
TREX-DA: TLARS,mean_TPP,0.100000,CappedSpread,15,0.990000
TREX-DA: TLARS,sd_TPP,0.100000,CappedSpread,15,0.030075
TREX-DA: TLARS,mean_FDP,0.100000,CappedSpread,15,0.080772
TREX-DA: TLARS,sd_FDP,0.100000,CappedSpread,15,0.080476
TREX-DA: TLARS,mean_TPP,0.100000,CappedSpread,10,0.986500
TREX-DA: TLARS,sd_TPP,0.100000,CappedSpread,10,0.037076
