solver,metric,rho,support_type,gap,value
TREX-DA+AR1: TLARS,mean_TPP,0.000000,CappedSpread,100,0.994500
TREX-DA+AR1: TLARS,sd_TPP,0.000000,CappedSpread,100,0.022855
TREX-DA+AR1: TLARS,mean_FDP,0.000000,CappedSpread,100,0.093382
TREX-DA+AR1: TLARS,sd_FDP,0.000000,CappedSpread,100,0.084173
TREX-DA+AR1: TLARS,mean_TPP,0.000000,CappedSpread,50,0.991500
TREX-DA+AR1: TLARS,sd_TPP,0.000000,CappedSpread,50,0.032911
TREX-DA+AR1: TLARS,mean_FDP,0.000000,CappedSpread,50,0.096452
TREX-DA+AR1: TLARS,sd_FDP,0.000000,CappedSpread,50,0.086554
TREX-DA+AR1: TLARS,mean_TPP,0.000000,CappedSpread,20,0.987000
TREX-DA+AR1: TLARS,sd_TPP,0.000000,CappedSpread,20,0.041710
TREX-DA+AR1: TLARS,mean_FDP,0.000000,CappedSpread,20,0.087280
TREX-DA+AR1: TLARS,sd_FDP,0.000000,CappedSpread,20,0.078822
TREX-DA+AR1: TLARS,mean_TPP,0.000000,CappedSpread,15,0.991000
TREX-DA+AR1: TLARS,sd_TPP,0.000000,CappedSpread,15,0.032002
TREX-DA+AR1: TLARS,mean_FDP,0.000000,CappedSpread,15,0.092437
TREX-DA+AR1: TLARS,sd_FDP,0.000000,CappedSpread,15,0.082525
TREX-DA+AR1: TLARS,mean_TPP,0.000000,CappedSpread,10,0.991500
TREX-DA+AR1: TLARS,sd_TPP,0.000000,CappedSpread,10,0.031347
TREX-DA+AR1: TLARS,mean_FDP,0.000000,CappedSpread,10,0.101079
TREX-DA+AR1: TLARS,sd_FDP,0.000000,CappedSpread,10,0.078810
TREX-DA+AR1: TLARS,mean_TPP,0.000000,CappedSpread,5,0.984000
TREX-DA+AR1: TLARS,sd_TPP,0.000000,CappedSpread,5,0.052515
TREX-DA+AR1: TLARS,mean_FDP,0.000000,CappedSpread,5,0.093583
TREX-DA+AR1: TLARS,sd_FDP,0.000000,CappedSpread,5,0.078947
TREX-DA+AR1: TLARS,mean_TPP,0.000000,CappedSpread,1,0.000500
TREX-DA+AR1: TLARS,sd_TPP,0.000000,CappedSpread,1,0.007071
TREX-DA+AR1: TLARS,mean_FDP,0.000000,CappedSpread,1,0.110000
TREX-DA+AR1: TLARS,sd_FDP,0.000000,CappedSpread,1,0.313675
TREX-DA+AR1: TLARS,mean_TPP,0.000000,Random,,0.971000
TREX-DA+AR1: TLARS,sd_TPP,0.000000,Random,,0.070597
TREX-DA+AR1: TLARS,mean_FDP,0.000000,Random,,0.106204
TREX-DA+AR1: TLARS,sd_FDP,0.000000,Random,,0.083263
TREX-DA+AR1: TLARS,mean_TPP,0.100000,CappedSpread,100,0.990500
TREX-DA+AR1: TLARS,sd_TPP,0.100000,CappedSpread,100,0.032635
TREX-DA+AR1: TLARS,mean_FDP,0.100000,CappedSpread,100,0.088229
TREX-DA+AR1: TLARS,sd_FDP,0.100000,CappedSpread,100,0.081002
TREX-DA+AR1: TLARS,mean_TPP,0.100000,CappedSpread,50,0.989000
TREX-DA+AR1: TLARS,sd_TPP,0.100000,CappedSpread,50,0.035853
TREX-DA+AR1: TLARS,mean_FDP,0.100000,CappedSpread,50,0.094321
TREX-DA+AR1: TLARS,sd_FDP,0.100000,CappedSpread,50,0.084653
TREX-DA+AR1: TLARS,mean_TPP,0.100000,CappedSpread,20,0.983000
TREX-DA+AR1: TLARS,sd_TPP,0.100000,CappedSpread,20,0.047139
TREX-DA+AR1: TLARS,mean_FDP,0.100000,CappedSpread,20,0.089779
TREX-DA+AR1: TLARS,sd_FDP,0.100000,CappedSpread,20,0.078255
TREX-DA+AR1: TLARS,mean_TPP,0.100000,CappedSpread,15,0.989500
TREX-DA+AR1: TLARS,sd_TPP,0.100000,CappedSpread,15,0.030732
TREX-DA+AR1: TLARS,mean_FDP,0.100000,CappedSpread,15,0.089611
TREX-DA+AR1: TLARS,sd_FDP,0.100000,CappedSpread,15,0.088197
TREX-DA+AR1: TLARS,mean_TPP,0.100000,CappedSpread,10,0.986500
TREX-DA+AR1: TLARS,sd_TPP,0.100000,CappedSpread,10,0.039694
TREX-DA+AR1: TLARS,mean_FDP,0.100000,CappedSpread,10,0.092759
TREX-DA+AR1: TLARS,sd_FDP,0.100000,CappedSpread,10,0.084768
TREX-DA+AR1: TLARS,mean_TPP,0.100000,CappedSpread,5,0.982500
TREX-DA+AR1: TLARS,sd_TPP,0.100000,CappedSpread,5,0.049558
TREX-DA+AR1: TLARS,mean_FDP,0.100000,CappedSpread,5,0.087823
TREX-DA+AR1: TLARS,sd_FDP,0.100000,CappedSpread,5,0.076827
TREX-DA+AR1: TLARS,mean_TPP,0.100000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.100000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.100000,CappedSpread,1,0.120000
TREX-DA+AR1: TLARS,sd_FDP,0.100000,CappedSpread,1,0.325777
TREX-DA+AR1: TLARS,mean_TPP,0.100000,Random,,0.953500
TREX-DA+AR1: TLARS,sd_TPP,0.100000,Random,,0.088470
TREX-DA+AR1: TLARS,mean_FDP,0.100000,Random,,0.086976
TREX-DA+AR1: TLARS,sd_FDP,0.100000,Random,,0.080225
TREX-DA+AR1: TLARS,mean_TPP,0.200000,CappedSpread,100,0.985000
TREX-DA+AR1: TLARS,sd_TPP,0.200000,CappedSpread,100,0.037174
TREX-DA+AR1: TLARS,mean_FDP,0.200000,CappedSpread,100,0.087244
TREX-DA+AR1: TLARS,sd_FDP,0.200000,CappedSpread,100,0.075619
TREX-DA+AR1: TLARS,mean_TPP,0.200000,CappedSpread,50,0.979500
TREX-DA+AR1: TLARS,sd_TPP,0.200000,CappedSpread,50,0.054263
TREX-DA+AR1: TLARS,mean_FDP,0.200000,CappedSpread,50,0.088863
TREX-DA+AR1: TLARS,sd_FDP,0.200000,CappedSpread,50,0.079865
TREX-DA+AR1: TLARS,mean_TPP,0.200000,CappedSpread,20,0.979000
TREX-DA+AR1: TLARS,sd_TPP,0.200000,CappedSpread,20,0.056346
TREX-DA+AR1: TLARS,mean_FDP,0.200000,CappedSpread,20,0.080510
TREX-DA+AR1: TLARS,sd_FDP,0.200000,CappedSpread,20,0.082030
TREX-DA+AR1: TLARS,mean_TPP,0.200000,CappedSpread,15,0.988000
TREX-DA+AR1: TLARS,sd_TPP,0.200000,CappedSpread,15,0.032578
