solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.088309
TREX-DA: TLARS,sd_FDR,0.000000,0.080283
TREX-DA: TLARS,TPR,0.000000,0.987000
TREX-DA: TLARS,sd_TPR,0.000000,0.036574
TREX-DA: TLARS,Avg_L,0.000000,1.005000
TREX-DA: TLARS,Avg_T,0.000000,5.670000
TREX-DA: TLARS,FDR,0.100000,0.086910
TREX-DA: TLARS,sd_FDR,0.100000,0.080716
TREX-DA: TLARS,TPR,0.100000,0.988000
TREX-DA: TLARS,sd_TPR,0.100000,0.034085
TREX-DA: TLARS,Avg_L,0.100000,1.005000
TREX-DA: TLARS,Avg_T,0.100000,5.785000
TREX-DA: TLARS,FDR,0.200000,0.083789
TREX-DA: TLARS,sd_FDR,0.200000,0.070754
TREX-DA: TLARS,TPR,0.200000,0.981000
TREX-DA: TLARS,sd_TPR,0.200000,0.049510
TREX-DA: TLARS,Avg_L,0.200000,1.000000
TREX-DA: TLARS,Avg_T,0.200000,5.490000
TREX-DA: TLARS,FDR,0.300000,0.081942
TREX-DA: TLARS,sd_FDR,0.300000,0.073728
TREX-DA: TLARS,TPR,0.300000,0.974000
TREX-DA: TLARS,sd_TPR,0.300000,0.057799
TREX-DA: TLARS,Avg_L,0.300000,1.000000
TREX-DA: TLARS,Avg_T,0.300000,5.435000
TREX-DA: TLARS,FDR,0.400000,0.084426
TREX-DA: TLARS,sd_FDR,0.400000,0.075675
TREX-DA: TLARS,TPR,0.400000,0.961000
TREX-DA: TLARS,sd_TPR,0.400000,0.078804
TREX-DA: TLARS,Avg_L,0.400000,1.020000
TREX-DA: TLARS,Avg_T,0.400000,5.910000
TREX-DA: TLARS,FDR,0.500000,0.067241
TREX-DA: TLARS,sd_FDR,0.500000,0.068299
TREX-DA: TLARS,TPR,0.500000,0.936000
TREX-DA: TLARS,sd_TPR,0.500000,0.101268
TREX-DA: TLARS,Avg_L,0.500000,1.010000
TREX-DA: TLARS,Avg_T,0.500000,5.160000
TREX-DA: TLARS,FDR,0.600000,0.059424
TREX-DA: TLARS,sd_FDR,0.600000,0.069363
TREX-DA: TLARS,TPR,0.600000,0.896500
TREX-DA: TLARS,sd_TPR,0.600000,0.121290
TREX-DA: TLARS,Avg_L,0.600000,1.015000
TREX-DA: TLARS,Avg_T,0.600000,4.800000
TREX-DA: TLARS,FDR,0.700000,0.044704
TREX-DA: TLARS,sd_FDR,0.700000,0.065693
TREX-DA: TLARS,TPR,0.700000,0.808500
TREX-DA: TLARS,sd_TPR,0.700000,0.165270
TREX-DA: TLARS,Avg_L,0.700000,1.030000
TREX-DA: TLARS,Avg_T,0.700000,4.860000
TREX-DA: TLARS,FDR,0.800000,0.047136
TREX-DA: TLARS,sd_FDR,0.800000,0.090664
TREX-DA: TLARS,TPR,0.800000,0.558000
TREX-DA: TLARS,sd_TPR,0.800000,0.196287
TREX-DA: TLARS,Avg_L,0.800000,1.165000
TREX-DA: TLARS,Avg_T,0.800000,7.570000
TREX-DA: TLARS,FDR,0.900000,0.165000
TREX-DA: TLARS,sd_FDR,0.900000,0.372112
TREX-DA: TLARS,TPR,0.900000,0.000000
TREX-DA: TLARS,sd_TPR,0.900000,0.000000
TREX-DA: TLARS,Avg_L,0.900000,1.040000
TREX-DA: TLARS,Avg_T,0.900000,34.770000
TREX: TLARS,FDR,0.000000,0.131991
TREX: TLARS,sd_FDR,0.000000,0.091330
TREX: TLARS,TPR,0.000000,0.996000
TREX: TLARS,sd_TPR,0.000000,0.019645
TREX: TLARS,Avg_L,0.000000,1.000000
TREX: TLARS,Avg_T,0.000000,5.410000
TREX: TLARS,FDR,0.100000,0.138338
TREX: TLARS,sd_FDR,0.100000,0.093183
TREX: TLARS,TPR,0.100000,0.996000
TREX: TLARS,sd_TPR,0.100000,0.019645
TREX: TLARS,Avg_L,0.100000,1.005000
TREX: TLARS,Avg_T,0.100000,5.635000
TREX: TLARS,FDR,0.200000,0.135735
TREX: TLARS,sd_FDR,0.200000,0.095339
TREX: TLARS,TPR,0.200000,0.996500
TREX: TLARS,sd_TPR,0.200000,0.020975
TREX: TLARS,Avg_L,0.200000,1.005000
TREX: TLARS,Avg_T,0.200000,5.710000
TREX: TLARS,FDR,0.300000,0.153378
TREX: TLARS,sd_FDR,0.300000,0.098393
TREX: TLARS,TPR,0.300000,0.997500
TREX: TLARS,sd_TPR,0.300000,0.018587
TREX: TLARS,Avg_L,0.300000,1.000000
TREX: TLARS,Avg_T,0.300000,5.350000
TREX: TLARS,FDR,0.400000,0.177067
TREX: TLARS,sd_FDR,0.400000,0.100787
TREX: TLARS,TPR,0.400000,0.998500
TREX: TLARS,sd_TPR,0.400000,0.012186
TREX: TLARS,Avg_L,0.400000,1.000000
TREX: TLARS,Avg_T,0.400000,5.645000
TREX: TLARS,FDR,0.500000,0.179512
TREX: TLARS,sd_FDR,0.500000,0.105792
TREX: TLARS,TPR,0.500000,0.999000
TREX: TLARS,sd_TPR,0.500000,0.009975
TREX: TLARS,Avg_L,0.500000,1.000000
TREX: TLARS,Avg_T,0.500000,5.715000
TREX: TLARS,FDR,0.600000,0.212355
TREX: TLARS,sd_FDR,0.600000,0.117896
TREX: TLARS,TPR,0.600000,0.999000
TREX: TLARS,sd_TPR,0.600000,0.009975
TREX: TLARS,Avg_L,0.600000,1.000000
TREX: TLARS,Avg_T,0.600000,5.570000
TREX: TLARS,FDR,0.700000,0.286786
TREX: TLARS,sd_FDR,0.700000,0.116647
TREX: TLARS,TPR,0.700000,0.997500
TREX: TLARS,sd_TPR,0.700000,0.018587
TREX: TLARS,Avg_L,0.700000,1.000000
TREX: TLARS,Avg_T,0.700000,6.030000
TREX: TLARS,FDR,0.800000,0.389696
TREX: TLARS,sd_FDR,0.800000,0.116423
TREX: TLARS,TPR,0.800000,0.995000
TREX: TLARS,sd_TPR,0.800000,0.021849
TREX: TLARS,Avg_L,0.800000,1.000000
TREX: TLARS,Avg_T,0.800000,7.160000
TREX: TLARS,FDR,0.900000,0.610274
TREX: TLARS,sd_FDR,0.900000,0.089696
TREX: TLARS,TPR,0.900000,0.931500
TREX: TLARS,sd_TPR,0.900000,0.081800
TREX: TLARS,Avg_L,0.900000,1.000000
TREX: TLARS,Avg_T,0.900000,19.200000
