solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.092865
TREX-DA: TLARS,sd_FDR,0.000000,0.083204
TREX-DA: TLARS,TPR,0.000000,0.966500
TREX-DA: TLARS,sd_TPR,0.000000,0.079747
TREX-DA: TLARS,Avg_L,0.000000,1.000000
TREX-DA: TLARS,Avg_T,0.000000,5.030000
TREX-DA: TLARS,FDR,0.100000,0.088474
TREX-DA: TLARS,sd_FDR,0.100000,0.081581
TREX-DA: TLARS,TPR,0.100000,0.968000
TREX-DA: TLARS,sd_TPR,0.100000,0.070718
TREX-DA: TLARS,Avg_L,0.100000,1.005000
TREX-DA: TLARS,Avg_T,0.100000,5.680000
TREX-DA: TLARS,FDR,0.200000,0.072328
TREX-DA: TLARS,sd_FDR,0.200000,0.071411
TREX-DA: TLARS,TPR,0.200000,0.938500
TREX-DA: TLARS,sd_TPR,0.200000,0.111939
TREX-DA: TLARS,Avg_L,0.200000,1.000000
TREX-DA: TLARS,Avg_T,0.200000,4.860000
TREX-DA: TLARS,FDR,0.300000,0.070387
TREX-DA: TLARS,sd_FDR,0.300000,0.074725
TREX-DA: TLARS,TPR,0.300000,0.912000
TREX-DA: TLARS,sd_TPR,0.300000,0.114550
TREX-DA: TLARS,Avg_L,0.300000,1.010000
TREX-DA: TLARS,Avg_T,0.300000,4.830000
TREX-DA: TLARS,FDR,0.400000,0.069667
TREX-DA: TLARS,sd_FDR,0.400000,0.079742
TREX-DA: TLARS,TPR,0.400000,0.885000
TREX-DA: TLARS,sd_TPR,0.400000,0.147253
TREX-DA: TLARS,Avg_L,0.400000,1.015000
TREX-DA: TLARS,Avg_T,0.400000,4.900000
TREX-DA: TLARS,FDR,0.500000,0.057479
TREX-DA: TLARS,sd_FDR,0.500000,0.081007
TREX-DA: TLARS,TPR,0.500000,0.845500
TREX-DA: TLARS,sd_TPR,0.500000,0.151308
TREX-DA: TLARS,Avg_L,0.500000,1.020000
TREX-DA: TLARS,Avg_T,0.500000,4.640000
TREX-DA: TLARS,FDR,0.600000,0.052941
TREX-DA: TLARS,sd_FDR,0.600000,0.079169
TREX-DA: TLARS,TPR,0.600000,0.772500
TREX-DA: TLARS,sd_TPR,0.600000,0.190460
TREX-DA: TLARS,Avg_L,0.600000,1.065000
TREX-DA: TLARS,Avg_T,0.600000,4.750000
TREX-DA: TLARS,FDR,0.700000,0.045292
TREX-DA: TLARS,sd_FDR,0.700000,0.078207
TREX-DA: TLARS,TPR,0.700000,0.628000
TREX-DA: TLARS,sd_TPR,0.700000,0.208165
TREX-DA: TLARS,Avg_L,0.700000,1.085000
TREX-DA: TLARS,Avg_T,0.700000,5.045000
TREX-DA: TLARS,FDR,0.800000,0.038223
TREX-DA: TLARS,sd_FDR,0.800000,0.085133
TREX-DA: TLARS,TPR,0.800000,0.469000
TREX-DA: TLARS,sd_TPR,0.800000,0.185773
TREX-DA: TLARS,Avg_L,0.800000,1.260000
TREX-DA: TLARS,Avg_T,0.800000,10.460000
TREX-DA: TLARS,FDR,0.900000,0.126750
TREX-DA: TLARS,sd_FDR,0.900000,0.268409
TREX-DA: TLARS,TPR,0.900000,0.185000
TREX-DA: TLARS,sd_TPR,0.900000,0.140262
TREX-DA: TLARS,Avg_L,0.900000,1.330000
TREX-DA: TLARS,Avg_T,0.900000,43.455000
TREX: TLARS,FDR,0.000000,0.142441
TREX: TLARS,sd_FDR,0.000000,0.091768
TREX: TLARS,TPR,0.000000,0.998000
TREX: TLARS,sd_TPR,0.000000,0.014035
TREX: TLARS,Avg_L,0.000000,1.000000
TREX: TLARS,Avg_T,0.000000,5.480000
TREX: TLARS,FDR,0.100000,0.138361
TREX: TLARS,sd_FDR,0.100000,0.091697
TREX: TLARS,TPR,0.100000,0.997500
TREX: TLARS,sd_TPR,0.100000,0.015652
TREX: TLARS,Avg_L,0.100000,1.005000
TREX: TLARS,Avg_T,0.100000,5.780000
TREX: TLARS,FDR,0.200000,0.139394
TREX: TLARS,sd_FDR,0.200000,0.095351
TREX: TLARS,TPR,0.200000,0.997500
TREX: TLARS,sd_TPR,0.200000,0.015652
TREX: TLARS,Avg_L,0.200000,1.000000
TREX: TLARS,Avg_T,0.200000,5.520000
TREX: TLARS,FDR,0.300000,0.141486
TREX: TLARS,sd_FDR,0.300000,0.089129
TREX: TLARS,TPR,0.300000,0.999000
TREX: TLARS,sd_TPR,0.300000,0.009975
TREX: TLARS,Avg_L,0.300000,1.000000
TREX: TLARS,Avg_T,0.300000,5.615000
TREX: TLARS,FDR,0.400000,0.167526
TREX: TLARS,sd_FDR,0.400000,0.108440
TREX: TLARS,TPR,0.400000,0.999000
TREX: TLARS,sd_TPR,0.400000,0.009975
TREX: TLARS,Avg_L,0.400000,1.000000
TREX: TLARS,Avg_T,0.400000,5.545000
TREX: TLARS,FDR,0.500000,0.184400
TREX: TLARS,sd_FDR,0.500000,0.109860
TREX: TLARS,TPR,0.500000,0.998500
TREX: TLARS,sd_TPR,0.500000,0.012186
TREX: TLARS,Avg_L,0.500000,1.000000
TREX: TLARS,Avg_T,0.500000,5.660000
TREX: TLARS,FDR,0.600000,0.230194
TREX: TLARS,sd_FDR,0.600000,0.117827
TREX: TLARS,TPR,0.600000,0.997000
TREX: TLARS,sd_TPR,0.600000,0.019823
TREX: TLARS,Avg_L,0.600000,1.000000
TREX: TLARS,Avg_T,0.600000,5.635000
TREX: TLARS,FDR,0.700000,0.307039
TREX: TLARS,sd_FDR,0.700000,0.113893
TREX: TLARS,TPR,0.700000,0.996500
TREX: TLARS,sd_TPR,0.700000,0.018424
TREX: TLARS,Avg_L,0.700000,1.000000
TREX: TLARS,Avg_T,0.700000,6.265000
TREX: TLARS,FDR,0.800000,0.391289
