solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.017500
TREX-DA: TLARS,sd_FDR,0.100000,0.116238
TREX-DA: TLARS,TPR,0.100000,0.004000
TREX-DA: TLARS,sd_TPR,0.100000,0.019645
TREX-DA: TLARS,Avg_L,0.100000,1.510000
TREX-DA: TLARS,Avg_T,0.100000,4.865000
TREX-DA: TLARS,FDR,0.200000,0.050500
TREX-DA: TLARS,sd_FDR,0.200000,0.186656
TREX-DA: TLARS,TPR,0.200000,0.019500
TREX-DA: TLARS,sd_TPR,0.200000,0.046697
TREX-DA: TLARS,Avg_L,0.200000,2.540000
TREX-DA: TLARS,Avg_T,0.200000,4.445000
TREX-DA: TLARS,FDR,0.500000,0.116290
TREX-DA: TLARS,sd_FDR,0.500000,0.198553
TREX-DA: TLARS,TPR,0.500000,0.255500
TREX-DA: TLARS,sd_TPR,0.500000,0.172098
TREX-DA: TLARS,Avg_L,0.500000,3.365000
TREX-DA: TLARS,Avg_T,0.500000,6.275000
TREX-DA: TLARS,FDR,1.000000,0.074475
TREX-DA: TLARS,sd_FDR,1.000000,0.120519
TREX-DA: TLARS,TPR,1.000000,0.570000
TREX-DA: TLARS,sd_TPR,1.000000,0.185938
TREX-DA: TLARS,Avg_L,1.000000,1.660000
TREX-DA: TLARS,Avg_T,1.000000,5.615000
TREX-DA: TLARS,FDR,2.000000,0.059333
TREX-DA: TLARS,sd_FDR,2.000000,0.075425
TREX-DA: TLARS,TPR,2.000000,0.807000
TREX-DA: TLARS,sd_TPR,2.000000,0.142663
TREX-DA: TLARS,Avg_L,2.000000,1.030000
TREX-DA: TLARS,Avg_T,2.000000,5.465000
TREX-DA: TLARS,FDR,5.000000,0.074827
TREX-DA: TLARS,sd_FDR,5.000000,0.068006
TREX-DA: TLARS,TPR,5.000000,0.849000
TREX-DA: TLARS,sd_TPR,5.000000,0.141062
TREX-DA: TLARS,Avg_L,5.000000,1.000000
TREX-DA: TLARS,Avg_T,5.000000,8.040000
TREX: TLARS,FDR,0.100000,0.056667
TREX: TLARS,sd_FDR,0.100000,0.211473
TREX: TLARS,TPR,0.100000,0.009000
TREX: TLARS,sd_TPR,0.100000,0.033535
TREX: TLARS,Avg_L,0.100000,2.320000
TREX: TLARS,Avg_T,0.100000,4.290000
TREX: TLARS,FDR,0.200000,0.119107
TREX: TLARS,sd_FDR,0.200000,0.261615
TREX: TLARS,TPR,0.200000,0.040500
TREX: TLARS,sd_TPR,0.200000,0.068066
TREX: TLARS,Avg_L,0.200000,3.785000
TREX: TLARS,Avg_T,0.200000,4.375000
TREX: TLARS,FDR,0.500000,0.280370
TREX: TLARS,sd_FDR,0.500000,0.206702
TREX: TLARS,TPR,0.500000,0.427000
TREX: TLARS,sd_TPR,0.500000,0.195608
TREX: TLARS,Avg_L,0.500000,3.010000
TREX: TLARS,Avg_T,0.500000,8.200000
TREX: TLARS,FDR,1.000000,0.266307
TREX: TLARS,sd_FDR,1.000000,0.133944
TREX: TLARS,TPR,1.000000,0.840500
TREX: TLARS,sd_TPR,1.000000,0.132656
TREX: TLARS,Avg_L,1.000000,1.205000
TREX: TLARS,Avg_T,1.000000,5.565000
TREX: TLARS,FDR,2.000000,0.289891
TREX: TLARS,sd_FDR,2.000000,0.118121
TREX: TLARS,TPR,2.000000,0.996500
TREX: TLARS,sd_TPR,2.000000,0.018424
TREX: TLARS,Avg_L,2.000000,1.000000
TREX: TLARS,Avg_T,2.000000,6.105000
TREX: TLARS,FDR,5.000000,0.285628
TREX: TLARS,sd_FDR,5.000000,0.114206
TREX: TLARS,TPR,5.000000,1.000000
TREX: TLARS,sd_TPR,5.000000,0.000000
TREX: TLARS,Avg_L,5.000000,1.000000
TREX: TLARS,Avg_T,5.000000,6.610000
