solver,metric,SNR,value
TREX-DA+AR1: TLARS,FDR,0.100000,0.045000
TREX-DA+AR1: TLARS,sd_FDR,0.100000,0.195361
TREX-DA+AR1: TLARS,TPR,0.100000,0.007500
TREX-DA+AR1: TLARS,sd_TPR,0.100000,0.028244
TREX-DA+AR1: TLARS,Avg_L,0.100000,1.710000
TREX-DA+AR1: TLARS,Avg_T,0.100000,7.225000
TREX-DA+AR1: TLARS,FDR,0.200000,0.074083
TREX-DA+AR1: TLARS,sd_FDR,0.200000,0.236735
TREX-DA+AR1: TLARS,TPR,0.200000,0.024500
TREX-DA+AR1: TLARS,sd_TPR,0.200000,0.062202
TREX-DA+AR1: TLARS,Avg_L,0.200000,2.335000
TREX-DA+AR1: TLARS,Avg_T,0.200000,6.240000
TREX-DA+AR1: TLARS,FDR,0.500000,0.150065
TREX-DA+AR1: TLARS,sd_FDR,0.500000,0.230195
TREX-DA+AR1: TLARS,TPR,0.500000,0.184500
TREX-DA+AR1: TLARS,sd_TPR,0.500000,0.155016
TREX-DA+AR1: TLARS,Avg_L,0.500000,2.875000
TREX-DA+AR1: TLARS,Avg_T,0.500000,4.790000
TREX-DA+AR1: TLARS,FDR,1.000000,0.059281
TREX-DA+AR1: TLARS,sd_FDR,1.000000,0.108402
TREX-DA+AR1: TLARS,TPR,1.000000,0.468500
TREX-DA+AR1: TLARS,sd_TPR,1.000000,0.207541
TREX-DA+AR1: TLARS,Avg_L,1.000000,1.685000
TREX-DA+AR1: TLARS,Avg_T,1.000000,6.635000
TREX-DA+AR1: TLARS,FDR,2.000000,0.047837
TREX-DA+AR1: TLARS,sd_FDR,2.000000,0.081349
TREX-DA+AR1: TLARS,TPR,2.000000,0.638000
TREX-DA+AR1: TLARS,sd_TPR,2.000000,0.194280
TREX-DA+AR1: TLARS,Avg_L,2.000000,1.055000
TREX-DA+AR1: TLARS,Avg_T,2.000000,5.820000
TREX-DA+AR1: TLARS,FDR,5.000000,0.047837
TREX-DA+AR1: TLARS,sd_FDR,5.000000,0.074633
TREX-DA+AR1: TLARS,TPR,5.000000,0.690000
TREX-DA+AR1: TLARS,sd_TPR,5.000000,0.189153
TREX-DA+AR1: TLARS,Avg_L,5.000000,1.010000
TREX-DA+AR1: TLARS,Avg_T,5.000000,7.830000
TREX-DA+AR1: TAFS,FDR,0.100000,0.022500
TREX-DA+AR1: TAFS,sd_FDR,0.100000,0.135408
TREX-DA+AR1: TAFS,TPR,0.100000,0.008500
TREX-DA+AR1: TAFS,sd_TPR,0.100000,0.032911
TREX-DA+AR1: TAFS,Avg_L,0.100000,1.695000
TREX-DA+AR1: TAFS,Avg_T,0.100000,5.360000
TREX-DA+AR1: TAFS,FDR,0.200000,0.070000
TREX-DA+AR1: TAFS,sd_FDR,0.200000,0.235915
