solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.017500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.092120
TREX-DA+BT: TLARS,TPR,1.000000,0.905000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.293951
TREX-DA+BT: TLARS,Avg_L,1.000000,8.980000
TREX-DA+BT: TLARS,Avg_T,1.000000,67.370000
TREX-DA+BT: TLARS,FDR,3.000000,0.022000
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.079935
TREX-DA+BT: TLARS,TPR,3.000000,0.921667
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.149361
TREX-DA+BT: TLARS,Avg_L,3.000000,4.025000
TREX-DA+BT: TLARS,Avg_T,3.000000,25.415000
TREX-DA+BT: TLARS,FDR,5.000000,0.012000
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.049907
TREX-DA+BT: TLARS,TPR,5.000000,0.915000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.125914
TREX-DA+BT: TLARS,Avg_L,5.000000,2.400000
TREX-DA+BT: TLARS,Avg_T,5.000000,10.790000
TREX-DA+BT: TLARS,FDR,10.000000,0.032668
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.065276
TREX-DA+BT: TLARS,TPR,10.000000,0.854000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.126348
TREX-DA+BT: TLARS,Avg_L,10.000000,2.065000
TREX-DA+BT: TLARS,Avg_T,10.000000,7.580000
TREX-DA+BT: TLARS,FDR,15.000000,0.056266
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.076447
TREX-DA+BT: TLARS,TPR,15.000000,0.627333
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.159450
TREX-DA+BT: TLARS,Avg_L,15.000000,3.035000
TREX-DA+BT: TLARS,Avg_T,15.000000,6.590000
TREX-DA+BT: TLARS,FDR,20.000000,0.086750
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.104166
TREX-DA+BT: TLARS,TPR,20.000000,0.374750
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.161883
TREX-DA+BT: TLARS,Avg_L,20.000000,4.320000
TREX-DA+BT: TLARS,Avg_T,20.000000,7.485000
TREX-DA+BT: TLARS,FDR,30.000000,0.101348
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.157809
