solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.017500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.092120
TREX-DA+BT: TLARS,TPR,1.000000,0.905000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.293951
TREX-DA+BT: TLARS,Avg_L,1.000000,8.950000
TREX-DA+BT: TLARS,Avg_T,1.000000,69.445000
TREX-DA+BT: TLARS,FDR,3.000000,0.026583
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.083477
TREX-DA+BT: TLARS,TPR,3.000000,0.928333
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.145191
TREX-DA+BT: TLARS,Avg_L,3.000000,4.005000
TREX-DA+BT: TLARS,Avg_T,3.000000,23.995000
TREX-DA+BT: TLARS,FDR,5.000000,0.009667
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.040321
TREX-DA+BT: TLARS,TPR,5.000000,0.919000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.123756
TREX-DA+BT: TLARS,Avg_L,5.000000,2.435000
TREX-DA+BT: TLARS,Avg_T,5.000000,10.785000
TREX-DA+BT: TLARS,FDR,10.000000,0.036176
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.064259
TREX-DA+BT: TLARS,TPR,10.000000,0.856000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.125069
TREX-DA+BT: TLARS,Avg_L,10.000000,2.195000
TREX-DA+BT: TLARS,Avg_T,10.000000,9.790000
TREX-DA+BT: TLARS,FDR,15.000000,0.058329
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.074573
TREX-DA+BT: TLARS,TPR,15.000000,0.635333
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.156869
TREX-DA+BT: TLARS,Avg_L,15.000000,2.985000
TREX-DA+BT: TLARS,Avg_T,15.000000,6.615000
TREX-DA+BT: TLARS,FDR,20.000000,0.080503
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.094116
TREX-DA+BT: TLARS,TPR,20.000000,0.377000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.163107
TREX-DA+BT: TLARS,Avg_L,20.000000,4.295000
TREX-DA+BT: TLARS,Avg_T,20.000000,7.540000
TREX-DA+BT: TLARS,FDR,30.000000,0.091215
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.148160
