solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.012500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.078258
TREX-DA+BT: TLARS,TPR,1.000000,0.900000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.300753
TREX-DA+BT: TLARS,Avg_L,1.000000,8.975000
TREX-DA+BT: TLARS,Avg_T,1.000000,77.460000
TREX-DA+BT: TLARS,FDR,3.000000,0.006667
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.042071
TREX-DA+BT: TLARS,TPR,3.000000,0.906667
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.177331
TREX-DA+BT: TLARS,Avg_L,3.000000,4.115000
TREX-DA+BT: TLARS,Avg_T,3.000000,35.735000
TREX-DA+BT: TLARS,FDR,5.000000,0.002500
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.020310
TREX-DA+BT: TLARS,TPR,5.000000,0.907000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.134318
TREX-DA+BT: TLARS,Avg_L,5.000000,2.580000
TREX-DA+BT: TLARS,Avg_T,5.000000,25.010000
TREX-DA+BT: TLARS,FDR,10.000000,0.007508
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.030756
TREX-DA+BT: TLARS,TPR,10.000000,0.850500
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.135986
TREX-DA+BT: TLARS,Avg_L,10.000000,2.345000
TREX-DA+BT: TLARS,Avg_T,10.000000,14.965000
TREX-DA+BT: TLARS,FDR,15.000000,0.030154
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.055662
TREX-DA+BT: TLARS,TPR,15.000000,0.595667
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.168824
TREX-DA+BT: TLARS,Avg_L,15.000000,3.170000
TREX-DA+BT: TLARS,Avg_T,15.000000,7.600000
TREX-DA+BT: TLARS,FDR,20.000000,0.048953
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.084387
TREX-DA+BT: TLARS,TPR,20.000000,0.337250
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.172915
TREX-DA+BT: TLARS,Avg_L,20.000000,4.365000
TREX-DA+BT: TLARS,Avg_T,20.000000,7.320000
TREX-DA+BT: TLARS,FDR,30.000000,0.082685
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.141577
TREX-DA+BT: TLARS,TPR,30.000000,0.110833
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.097480
TREX-DA+BT: TLARS,Avg_L,30.000000,5.055000
TREX-DA+BT: TLARS,Avg_T,30.000000,5.175000
TREX-DA+BT: TAFS,FDR,1.000000,0.015000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.121857
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.160000
TREX-DA+BT: TAFS,Avg_T,1.000000,6.885000
TREX-DA+BT: TAFS,FDR,3.000000,0.010000
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.057005
TREX-DA+BT: TAFS,TPR,3.000000,0.588333
