solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.018750
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.059566
TREX-DA+BT: TLARS,TPR,5.000000,0.929000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.118445
TREX-DA+BT: TLARS,Avg_L,5.000000,2.290000
TREX-DA+BT: TLARS,Avg_T,5.000000,10.905000
TREX-DA+BT: TLARS,FDR,10.000000,0.013250
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.048808
TREX-DA+BT: TLARS,TPR,10.000000,0.920000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.115180
TREX-DA+BT: TLARS,Avg_L,10.000000,2.450000
TREX-DA+BT: TLARS,Avg_T,10.000000,15.140000
TREX-DA+BT: TLARS,FDR,15.000000,0.026417
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.069762
TREX-DA+BT: TLARS,TPR,15.000000,0.922000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.126475
TREX-DA+BT: TLARS,Avg_L,15.000000,2.465000
TREX-DA+BT: TLARS,Avg_T,15.000000,18.305000
TREX-DA+BT: TLARS,FDR,20.000000,0.024679
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.074333
TREX-DA+BT: TLARS,TPR,20.000000,0.907000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.131290
TREX-DA+BT: TLARS,Avg_L,20.000000,2.400000
TREX-DA+BT: TLARS,Avg_T,20.000000,15.700000
TREX-DA+BT: TLARS,FDR,25.000000,0.024750
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.069956
TREX-DA+BT: TLARS,TPR,25.000000,0.914000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.122798
TREX-DA+BT: TLARS,Avg_L,25.000000,2.350000
TREX-DA+BT: TLARS,Avg_T,25.000000,15.380000
TREX-DA+BT: TLARS,FDR,30.000000,0.021167
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.066156
TREX-DA+BT: TLARS,TPR,30.000000,0.916000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.125790
TREX-DA+BT: TLARS,Avg_L,30.000000,2.380000
TREX-DA+BT: TLARS,Avg_T,30.000000,20.250000
TREX-DA+BT: TLARS,FDR,35.000000,0.019333
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.059249
TREX-DA+BT: TLARS,TPR,35.000000,0.916000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.124182
TREX-DA+BT: TLARS,Avg_L,35.000000,2.445000
TREX-DA+BT: TLARS,Avg_T,35.000000,22.675000
TREX-DA+BT: TLARS,FDR,40.000000,0.020000
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.061754
TREX-DA+BT: TLARS,TPR,40.000000,0.931000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.107222
TREX-DA+BT: TLARS,Avg_L,40.000000,2.415000
TREX-DA+BT: TLARS,Avg_T,40.000000,22.890000
TREX-DA+BT: TLARS,FDR,45.000000,0.032375
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.093400
TREX-DA+BT: TLARS,TPR,45.000000,0.929000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.129781
TREX-DA+BT: TLARS,Avg_L,45.000000,2.425000
TREX-DA+BT: TLARS,Avg_T,45.000000,24.830000
TREX-DA+BT: TLARS,FDR,50.000000,0.021762
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.067982
TREX-DA+BT: TLARS,TPR,50.000000,0.925000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.132145
TREX-DA+BT: TLARS,Avg_L,50.000000,2.365000
TREX-DA+BT: TLARS,Avg_T,50.000000,25.175000
TREX-DA+BT: TAFS,FDR,5.000000,0.011000
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.043840
TREX-DA+BT: TAFS,TPR,5.000000,0.843000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.089392
TREX-DA+BT: TAFS,Avg_L,5.000000,2.535000
