solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.015417
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.053804
TREX-DA+BT: TLARS,TPR,5.000000,0.934000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.115371
TREX-DA+BT: TLARS,Avg_L,5.000000,2.300000
TREX-DA+BT: TLARS,Avg_T,5.000000,11.380000
TREX-DA+BT: TLARS,FDR,10.000000,0.018250
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.057798
TREX-DA+BT: TLARS,TPR,10.000000,0.923000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.112848
TREX-DA+BT: TLARS,Avg_L,10.000000,2.425000
TREX-DA+BT: TLARS,Avg_T,10.000000,14.185000
TREX-DA+BT: TLARS,FDR,15.000000,0.023095
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.066308
TREX-DA+BT: TLARS,TPR,15.000000,0.925000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.121030
TREX-DA+BT: TLARS,Avg_L,15.000000,2.430000
TREX-DA+BT: TLARS,Avg_T,15.000000,14.300000
TREX-DA+BT: TLARS,FDR,20.000000,0.019250
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.063186
TREX-DA+BT: TLARS,TPR,20.000000,0.912000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.127819
TREX-DA+BT: TLARS,Avg_L,20.000000,2.335000
TREX-DA+BT: TLARS,Avg_T,20.000000,13.670000
TREX-DA+BT: TLARS,FDR,25.000000,0.034929
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.082173
TREX-DA+BT: TLARS,TPR,25.000000,0.918000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.120618
TREX-DA+BT: TLARS,Avg_L,25.000000,2.330000
TREX-DA+BT: TLARS,Avg_T,25.000000,16.320000
TREX-DA+BT: TLARS,FDR,30.000000,0.016917
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.061900
TREX-DA+BT: TLARS,TPR,30.000000,0.921000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.125049
TREX-DA+BT: TLARS,Avg_L,30.000000,2.370000
TREX-DA+BT: TLARS,Avg_T,30.000000,17.335000
TREX-DA+BT: TLARS,FDR,35.000000,0.024774
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.067010
TREX-DA+BT: TLARS,TPR,35.000000,0.921000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.121791
TREX-DA+BT: TLARS,Avg_L,35.000000,2.405000
TREX-DA+BT: TLARS,Avg_T,35.000000,17.735000
TREX-DA+BT: TLARS,FDR,40.000000,0.023512
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.068371
TREX-DA+BT: TLARS,TPR,40.000000,0.934000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.108178
TREX-DA+BT: TLARS,Avg_L,40.000000,2.380000
TREX-DA+BT: TLARS,Avg_T,40.000000,17.690000
TREX-DA+BT: TLARS,FDR,45.000000,0.031429
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.092266
TREX-DA+BT: TLARS,TPR,45.000000,0.927000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.133266
TREX-DA+BT: TLARS,Avg_L,45.000000,2.335000
TREX-DA+BT: TLARS,Avg_T,45.000000,18.175000
TREX-DA+BT: TLARS,FDR,50.000000,0.019250
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.063186
TREX-DA+BT: TLARS,TPR,50.000000,0.922000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.134187
TREX-DA+BT: TLARS,Avg_L,50.000000,2.340000
TREX-DA+BT: TLARS,Avg_T,50.000000,22.365000
TREX-DA+BT: TAFS,FDR,5.000000,0.012000
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.045824
TREX-DA+BT: TAFS,TPR,5.000000,0.845000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.088397
TREX-DA+BT: TAFS,Avg_L,5.000000,2.535000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.235000
TREX-DA+BT: TAFS,FDR,10.000000,0.018774
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.059203
TREX-DA+BT: TAFS,TPR,10.000000,0.847000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.098179
TREX-DA+BT: TAFS,Avg_L,10.000000,2.515000
TREX-DA+BT: TAFS,Avg_T,10.000000,7.315000
TREX-DA+BT: TAFS,FDR,15.000000,0.013667
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.051139
TREX-DA+BT: TAFS,TPR,15.000000,0.842000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.095296
TREX-DA+BT: TAFS,Avg_L,15.000000,2.455000
TREX-DA+BT: TAFS,Avg_T,15.000000,7.245000
TREX-DA+BT: TAFS,FDR,20.000000,0.017417
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.055850
TREX-DA+BT: TAFS,TPR,20.000000,0.840000
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.096157
TREX-DA+BT: TAFS,Avg_L,20.000000,2.540000
TREX-DA+BT: TAFS,Avg_T,20.000000,7.110000
TREX-DA+BT: TAFS,FDR,25.000000,0.030845
TREX-DA+BT: TAFS,sd_FDR,25.000000,0.073307
TREX-DA+BT: TAFS,TPR,25.000000,0.851000
TREX-DA+BT: TAFS,sd_TPR,25.000000,0.106091
TREX-DA+BT: TAFS,Avg_L,25.000000,2.535000
TREX-DA+BT: TAFS,Avg_T,25.000000,7.305000
TREX-DA+BT: TAFS,FDR,30.000000,0.022179
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.064417
TREX-DA+BT: TAFS,TPR,30.000000,0.849000
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.103210
TREX-DA+BT: TAFS,Avg_L,30.000000,2.515000
TREX-DA+BT: TAFS,Avg_T,30.000000,7.520000
TREX-DA+BT: TAFS,FDR,35.000000,0.023500
TREX-DA+BT: TAFS,sd_FDR,35.000000,0.064565
TREX-DA+BT: TAFS,TPR,35.000000,0.836000
TREX-DA+BT: TAFS,sd_TPR,35.000000,0.091355
TREX-DA+BT: TAFS,Avg_L,35.000000,2.465000
TREX-DA+BT: TAFS,Avg_T,35.000000,7.190000
TREX-DA+BT: TAFS,FDR,40.000000,0.024845
TREX-DA+BT: TAFS,sd_FDR,40.000000,0.071148
TREX-DA+BT: TAFS,TPR,40.000000,0.839000
TREX-DA+BT: TAFS,sd_TPR,40.000000,0.111089
TREX-DA+BT: TAFS,Avg_L,40.000000,2.510000
TREX-DA+BT: TAFS,Avg_T,40.000000,7.475000
TREX-DA+BT: TAFS,FDR,45.000000,0.034375
TREX-DA+BT: TAFS,sd_FDR,45.000000,0.080699
TREX-DA+BT: TAFS,TPR,45.000000,0.827000
TREX-DA+BT: TAFS,sd_TPR,45.000000,0.095481
TREX-DA+BT: TAFS,Avg_L,45.000000,2.530000
TREX-DA+BT: TAFS,Avg_T,45.000000,7.540000
TREX-DA+BT: TAFS,FDR,50.000000,0.027667
TREX-DA+BT: TAFS,sd_FDR,50.000000,0.072666
TREX-DA+BT: TAFS,TPR,50.000000,0.835000
TREX-DA+BT: TAFS,sd_TPR,50.000000,0.105025
TREX-DA+BT: TAFS,Avg_L,50.000000,2.515000
TREX-DA+BT: TAFS,Avg_T,50.000000,7.450000
TREX-DA+BT: TOMP,FDR,5.000000,0.011429
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.044204
TREX-DA+BT: TOMP,TPR,5.000000,1.000000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.000000
TREX-DA+BT: TOMP,Avg_L,5.000000,2.010000
TREX-DA+BT: TOMP,Avg_T,5.000000,7.410000
TREX-DA+BT: TOMP,FDR,10.000000,0.012262
TREX-DA+BT: TOMP,sd_FDR,10.000000,0.045538
TREX-DA+BT: TOMP,TPR,10.000000,0.996000
TREX-DA+BT: TOMP,sd_TPR,10.000000,0.028070
TREX-DA+BT: TOMP,Avg_L,10.000000,2.045000
TREX-DA+BT: TOMP,Avg_T,10.000000,7.700000
TREX-DA+BT: TOMP,FDR,15.000000,0.011667
TREX-DA+BT: TOMP,sd_FDR,15.000000,0.042631
TREX-DA+BT: TOMP,TPR,15.000000,1.000000
TREX-DA+BT: TOMP,sd_TPR,15.000000,0.000000
TREX-DA+BT: TOMP,Avg_L,15.000000,2.010000
TREX-DA+BT: TOMP,Avg_T,15.000000,7.600000
TREX-DA+BT: TOMP,FDR,20.000000,0.006667
TREX-DA+BT: TOMP,sd_FDR,20.000000,0.032742
TREX-DA+BT: TOMP,TPR,20.000000,0.998000
TREX-DA+BT: TOMP,sd_TPR,20.000000,0.019950
TREX-DA+BT: TOMP,Avg_L,20.000000,2.015000
TREX-DA+BT: TOMP,Avg_T,20.000000,7.540000
TREX-DA+BT: TOMP,FDR,25.000000,0.019524
TREX-DA+BT: TOMP,sd_FDR,25.000000,0.056825
TREX-DA+BT: TOMP,TPR,25.000000,0.999000
TREX-DA+BT: TOMP,sd_TPR,25.000000,0.014142
TREX-DA+BT: TOMP,Avg_L,25.000000,2.020000
TREX-DA+BT: TOMP,Avg_T,25.000000,7.535000
TREX-DA+BT: TOMP,FDR,30.000000,0.007500
TREX-DA+BT: TOMP,sd_FDR,30.000000,0.034637
TREX-DA+BT: TOMP,TPR,30.000000,0.999000
TREX-DA+BT: TOMP,sd_TPR,30.000000,0.014142
TREX-DA+BT: TOMP,Avg_L,30.000000,2.020000
TREX-DA+BT: TOMP,Avg_T,30.000000,7.615000
TREX-DA+BT: TOMP,FDR,35.000000,0.008333
TREX-DA+BT: TOMP,sd_FDR,35.000000,0.036415
TREX-DA+BT: TOMP,TPR,35.000000,0.998000
TREX-DA+BT: TOMP,sd_TPR,35.000000,0.019950
TREX-DA+BT: TOMP,Avg_L,35.000000,2.045000
TREX-DA+BT: TOMP,Avg_T,35.000000,7.510000
TREX-DA+BT: TOMP,FDR,40.000000,0.008929
