solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.006417
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.034229
TREX-DA+BT: TLARS,TPR,5.000000,0.922000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.131156
TREX-DA+BT: TLARS,Avg_L,5.000000,2.475000
TREX-DA+BT: TLARS,Avg_T,5.000000,19.045000
TREX-DA+BT: TLARS,FDR,10.000000,0.004167
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.029831
TREX-DA+BT: TLARS,TPR,10.000000,0.913000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.135361
TREX-DA+BT: TLARS,Avg_L,10.000000,2.805000
TREX-DA+BT: TLARS,Avg_T,10.000000,32.575000
TREX-DA+BT: TLARS,FDR,15.000000,0.012250
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.049155
TREX-DA+BT: TLARS,TPR,15.000000,0.849000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.241018
TREX-DA+BT: TLARS,Avg_L,15.000000,2.920000
TREX-DA+BT: TLARS,Avg_T,15.000000,37.485000
TREX-DA+BT: TLARS,FDR,20.000000,0.004583
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.037545
TREX-DA+BT: TLARS,TPR,20.000000,0.852000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.238285
TREX-DA+BT: TLARS,Avg_L,20.000000,2.980000
TREX-DA+BT: TLARS,Avg_T,20.000000,43.625000
TREX-DA+BT: TLARS,FDR,25.000000,0.014333
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.053049
TREX-DA+BT: TLARS,TPR,25.000000,0.795000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.289472
TREX-DA+BT: TLARS,Avg_L,25.000000,2.970000
TREX-DA+BT: TLARS,Avg_T,25.000000,57.925000
TREX-DA+BT: TLARS,FDR,30.000000,0.001250
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.017678
TREX-DA+BT: TLARS,TPR,30.000000,0.729000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.368562
TREX-DA+BT: TLARS,Avg_L,30.000000,2.890000
TREX-DA+BT: TLARS,Avg_T,30.000000,57.490000
TREX-DA+BT: TLARS,FDR,35.000000,0.004333
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.030820
TREX-DA+BT: TLARS,TPR,35.000000,0.705000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.379334
TREX-DA+BT: TLARS,Avg_L,35.000000,2.910000
TREX-DA+BT: TLARS,Avg_T,35.000000,70.770000
TREX-DA+BT: TLARS,FDR,40.000000,0.007667
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.040956
TREX-DA+BT: TLARS,TPR,40.000000,0.768000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.320452
TREX-DA+BT: TLARS,Avg_L,40.000000,3.050000
TREX-DA+BT: TLARS,Avg_T,40.000000,84.620000
TREX-DA+BT: TLARS,FDR,45.000000,0.017167
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.078546
TREX-DA+BT: TLARS,TPR,45.000000,0.828000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.262221
TREX-DA+BT: TLARS,Avg_L,45.000000,3.045000
TREX-DA+BT: TLARS,Avg_T,45.000000,90.385000
TREX-DA+BT: TLARS,FDR,50.000000,0.019750
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.070475
TREX-DA+BT: TLARS,TPR,50.000000,0.822000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.211992
TREX-DA+BT: TLARS,Avg_L,50.000000,2.980000
TREX-DA+BT: TLARS,Avg_T,50.000000,92.795000
TREX-DA+BT: TAFS,FDR,5.000000,0.006667
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.035207
TREX-DA+BT: TAFS,TPR,5.000000,0.838000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.099020
TREX-DA+BT: TAFS,Avg_L,5.000000,2.665000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.280000
TREX-DA+BT: TAFS,FDR,10.000000,0.003667
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.025839
TREX-DA+BT: TAFS,TPR,10.000000,0.831000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.143324
TREX-DA+BT: TAFS,Avg_L,10.000000,2.815000
TREX-DA+BT: TAFS,Avg_T,10.000000,7.425000
TREX-DA+BT: TAFS,FDR,15.000000,0.018917
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.062867
TREX-DA+BT: TAFS,TPR,15.000000,0.772000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.214115
TREX-DA+BT: TAFS,Avg_L,15.000000,2.890000
TREX-DA+BT: TAFS,Avg_T,15.000000,7.580000
TREX-DA+BT: TAFS,FDR,20.000000,0.014250
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.062078
TREX-DA+BT: TAFS,TPR,20.000000,0.779000
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.217244
TREX-DA+BT: TAFS,Avg_L,20.000000,2.985000
TREX-DA+BT: TAFS,Avg_T,20.000000,7.530000
TREX-DA+BT: TAFS,FDR,25.000000,0.016583
TREX-DA+BT: TAFS,sd_FDR,25.000000,0.059485
TREX-DA+BT: TAFS,TPR,25.000000,0.721000
TREX-DA+BT: TAFS,sd_TPR,25.000000,0.291865
TREX-DA+BT: TAFS,Avg_L,25.000000,2.960000
TREX-DA+BT: TAFS,Avg_T,25.000000,7.480000
TREX-DA+BT: TAFS,FDR,30.000000,0.012167
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.053824
TREX-DA+BT: TAFS,TPR,30.000000,0.642000
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.348775
TREX-DA+BT: TAFS,Avg_L,30.000000,2.810000
TREX-DA+BT: TAFS,Avg_T,30.000000,7.605000
TREX-DA+BT: TAFS,FDR,35.000000,0.009500
TREX-DA+BT: TAFS,sd_FDR,35.000000,0.044096
TREX-DA+BT: TAFS,TPR,35.000000,0.646000
TREX-DA+BT: TAFS,sd_TPR,35.000000,0.335330
TREX-DA+BT: TAFS,Avg_L,35.000000,2.870000
TREX-DA+BT: TAFS,Avg_T,35.000000,7.730000
TREX-DA+BT: TAFS,FDR,40.000000,0.013167
TREX-DA+BT: TAFS,sd_FDR,40.000000,0.056057
TREX-DA+BT: TAFS,TPR,40.000000,0.665000
TREX-DA+BT: TAFS,sd_TPR,40.000000,0.326970
TREX-DA+BT: TAFS,Avg_L,40.000000,2.890000
TREX-DA+BT: TAFS,Avg_T,40.000000,7.590000
TREX-DA+BT: TAFS,FDR,45.000000,0.015750
TREX-DA+BT: TAFS,sd_FDR,45.000000,0.057933
TREX-DA+BT: TAFS,TPR,45.000000,0.723000
TREX-DA+BT: TAFS,sd_TPR,45.000000,0.258078
TREX-DA+BT: TAFS,Avg_L,45.000000,2.985000
TREX-DA+BT: TAFS,Avg_T,45.000000,7.750000
TREX-DA+BT: TAFS,FDR,50.000000,0.024000
TREX-DA+BT: TAFS,sd_FDR,50.000000,0.071195
TREX-DA+BT: TAFS,TPR,50.000000,0.740000
TREX-DA+BT: TAFS,sd_TPR,50.000000,0.184854
TREX-DA+BT: TAFS,Avg_L,50.000000,2.970000
TREX-DA+BT: TAFS,Avg_T,50.000000,7.495000
TREX-DA+BT: TOMP,FDR,5.000000,0.004167
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.026086
TREX-DA+BT: TOMP,TPR,5.000000,0.994000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.048743
TREX-DA+BT: TOMP,Avg_L,5.000000,2.240000
TREX-DA+BT: TOMP,Avg_T,5.000000,6.875000
TREX-DA+BT: TOMP,FDR,10.000000,0.005833
TREX-DA+BT: TOMP,sd_FDR,10.000000,0.030707
