solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.022232
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.062942
TREX-DA+BT: TLARS,TPR,0.000000,0.967000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.172219
TREX-DA+BT: TLARS,Avg_L,0.000000,2.985000
TREX-DA+BT: TLARS,Avg_T,0.000000,16.975000
TREX-DA+BT: TLARS,FDR,0.100000,0.021607
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.059972
TREX-DA+BT: TLARS,TPR,0.100000,0.973000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.136985
TREX-DA+BT: TLARS,Avg_L,0.100000,3.005000
TREX-DA+BT: TLARS,Avg_T,0.100000,19.095000
TREX-DA+BT: TLARS,FDR,0.200000,0.011190
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.045721
TREX-DA+BT: TLARS,TPR,0.200000,0.996000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.034496
TREX-DA+BT: TLARS,Avg_L,0.200000,2.815000
TREX-DA+BT: TLARS,Avg_T,0.200000,15.930000
TREX-DA+BT: TLARS,FDR,0.300000,0.010167
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.040405
TREX-DA+BT: TLARS,TPR,0.300000,0.995000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.031303
TREX-DA+BT: TLARS,Avg_L,0.300000,2.490000
TREX-DA+BT: TLARS,Avg_T,0.300000,15.725000
TREX-DA+BT: TLARS,FDR,0.400000,0.014262
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.049218
TREX-DA+BT: TLARS,TPR,0.400000,0.991000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.041565
TREX-DA+BT: TLARS,Avg_L,0.400000,2.240000
TREX-DA+BT: TLARS,Avg_T,0.400000,13.445000
TREX-DA+BT: TLARS,FDR,0.500000,0.016345
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.061414
TREX-DA+BT: TLARS,TPR,0.500000,0.983000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.062695
TREX-DA+BT: TLARS,Avg_L,0.500000,2.225000
TREX-DA+BT: TLARS,Avg_T,0.500000,11.155000
TREX-DA+BT: TLARS,FDR,0.600000,0.018845
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.057531
TREX-DA+BT: TLARS,TPR,0.600000,0.951000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.092963
TREX-DA+BT: TLARS,Avg_L,0.600000,2.315000
TREX-DA+BT: TLARS,Avg_T,0.600000,10.820000
TREX-DA+BT: TLARS,FDR,0.700000,0.013750
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.051619
TREX-DA+BT: TLARS,TPR,0.700000,0.905000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.120197
TREX-DA+BT: TLARS,Avg_L,0.700000,2.440000
TREX-DA+BT: TLARS,Avg_T,0.700000,18.430000
TREX-DA+BT: TLARS,FDR,0.800000,0.016167
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.053751
TREX-DA+BT: TLARS,TPR,0.800000,0.854000
