solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.019762
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.055575
TREX-DA+BT: TLARS,TPR,0.000000,0.968000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.171824
TREX-DA+BT: TLARS,Avg_L,0.000000,2.980000
TREX-DA+BT: TLARS,Avg_T,0.000000,16.955000
TREX-DA+BT: TLARS,FDR,0.100000,0.022083
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.057564
TREX-DA+BT: TLARS,TPR,0.100000,0.973000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.136985
TREX-DA+BT: TLARS,Avg_L,0.100000,3.020000
TREX-DA+BT: TLARS,Avg_T,0.100000,18.920000
TREX-DA+BT: TLARS,FDR,0.200000,0.015762
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.050940
TREX-DA+BT: TLARS,TPR,0.200000,0.997000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.031559
TREX-DA+BT: TLARS,Avg_L,0.200000,2.865000
TREX-DA+BT: TLARS,Avg_T,0.200000,18.070000
TREX-DA+BT: TLARS,FDR,0.300000,0.012857
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.048263
TREX-DA+BT: TLARS,TPR,0.300000,0.995000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.031303
TREX-DA+BT: TLARS,Avg_L,0.300000,2.680000
TREX-DA+BT: TLARS,Avg_T,0.300000,18.550000
TREX-DA+BT: TLARS,FDR,0.400000,0.015690
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.052817
TREX-DA+BT: TLARS,TPR,0.400000,0.991000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.041565
TREX-DA+BT: TLARS,Avg_L,0.400000,2.550000
TREX-DA+BT: TLARS,Avg_T,0.400000,16.935000
TREX-DA+BT: TLARS,FDR,0.500000,0.020536
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.062551
TREX-DA+BT: TLARS,TPR,0.500000,0.981000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.065271
TREX-DA+BT: TLARS,Avg_L,0.500000,2.235000
TREX-DA+BT: TLARS,Avg_T,0.500000,10.485000
TREX-DA+BT: TLARS,FDR,0.600000,0.018357
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.058803
TREX-DA+BT: TLARS,TPR,0.600000,0.955000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.090643
TREX-DA+BT: TLARS,Avg_L,0.600000,2.240000
TREX-DA+BT: TLARS,Avg_T,0.600000,8.650000
TREX-DA+BT: TLARS,FDR,0.700000,0.013917
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.049418
TREX-DA+BT: TLARS,TPR,0.700000,0.915000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.110617
TREX-DA+BT: TLARS,Avg_L,0.700000,2.440000
TREX-DA+BT: TLARS,Avg_T,0.700000,14.845000
TREX-DA+BT: TLARS,FDR,0.800000,0.012250
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.046977
TREX-DA+BT: TLARS,TPR,0.800000,0.856000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.151588
TREX-DA+BT: TLARS,Avg_L,0.800000,2.430000
TREX-DA+BT: TLARS,Avg_T,0.800000,15.925000
TREX-DA+BT: TLARS,FDR,0.900000,0.015667
TREX-DA+BT: TLARS,sd_FDR,0.900000,0.057871
TREX-DA+BT: TLARS,TPR,0.900000,0.707000
TREX-DA+BT: TLARS,sd_TPR,0.900000,0.204352
TREX-DA+BT: TLARS,Avg_L,0.900000,2.500000
TREX-DA+BT: TLARS,Avg_T,0.900000,14.170000
TREX-DA+BT: TAFS,FDR,0.000000,0.014762
TREX-DA+BT: TAFS,sd_FDR,0.000000,0.049240
TREX-DA+BT: TAFS,TPR,0.000000,0.968000
TREX-DA+BT: TAFS,sd_TPR,0.000000,0.171824
TREX-DA+BT: TAFS,Avg_L,0.000000,2.975000
TREX-DA+BT: TAFS,Avg_T,0.000000,7.410000
TREX-DA+BT: TAFS,FDR,0.100000,0.016786
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.055148
TREX-DA+BT: TAFS,TPR,0.100000,0.973000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.136985
TREX-DA+BT: TAFS,Avg_L,0.100000,3.015000
TREX-DA+BT: TAFS,Avg_T,0.100000,7.295000
TREX-DA+BT: TAFS,FDR,0.200000,0.010595
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.042812
TREX-DA+BT: TAFS,TPR,0.200000,0.995000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.037174
TREX-DA+BT: TAFS,Avg_L,0.200000,2.845000
TREX-DA+BT: TAFS,Avg_T,0.200000,7.510000
TREX-DA+BT: TAFS,FDR,0.300000,0.014095
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.048639
TREX-DA+BT: TAFS,TPR,0.300000,0.991000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.041565
TREX-DA+BT: TAFS,Avg_L,0.300000,2.665000
TREX-DA+BT: TAFS,Avg_T,0.300000,7.340000
TREX-DA+BT: TAFS,FDR,0.400000,0.020262
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.057033
TREX-DA+BT: TAFS,TPR,0.400000,0.975000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.066310
TREX-DA+BT: TAFS,Avg_L,0.400000,2.635000
TREX-DA+BT: TAFS,Avg_T,0.400000,7.215000
TREX-DA+BT: TAFS,FDR,0.500000,0.022357
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.061797
TREX-DA+BT: TAFS,TPR,0.500000,0.949000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.087391
TREX-DA+BT: TAFS,Avg_L,0.500000,2.350000
TREX-DA+BT: TAFS,Avg_T,0.500000,7.155000
TREX-DA+BT: TAFS,FDR,0.600000,0.013167
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.046532
TREX-DA+BT: TAFS,TPR,0.600000,0.901000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.106091
