solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.008000
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.039820
TREX-DA+BT: TLARS,TPR,0.000000,0.628000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.252855
TREX-DA+BT: TLARS,Avg_L,0.000000,3.150000
TREX-DA+BT: TLARS,Avg_T,0.000000,26.015000
TREX-DA+BT: TLARS,FDR,0.100000,0.003667
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.025839
TREX-DA+BT: TLARS,TPR,0.100000,0.646000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.250996
TREX-DA+BT: TLARS,Avg_L,0.100000,3.105000
TREX-DA+BT: TLARS,Avg_T,0.100000,25.130000
TREX-DA+BT: TLARS,FDR,0.200000,0.007583
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.037652
TREX-DA+BT: TLARS,TPR,0.200000,0.816000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.162097
TREX-DA+BT: TLARS,Avg_L,0.200000,2.855000
TREX-DA+BT: TLARS,Avg_T,0.200000,28.235000
TREX-DA+BT: TLARS,FDR,0.300000,0.003333
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.023392
TREX-DA+BT: TLARS,TPR,0.300000,0.973000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.071390
TREX-DA+BT: TLARS,Avg_L,0.300000,2.315000
TREX-DA+BT: TLARS,Avg_T,0.300000,15.440000
TREX-DA+BT: TLARS,FDR,0.400000,0.006833
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.033633
TREX-DA+BT: TLARS,TPR,0.400000,0.985000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.059941
TREX-DA+BT: TLARS,Avg_L,0.400000,2.355000
TREX-DA+BT: TLARS,Avg_T,0.400000,15.870000
TREX-DA+BT: TLARS,FDR,0.500000,0.002917
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.024180
TREX-DA+BT: TLARS,TPR,0.500000,0.969000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.096361
TREX-DA+BT: TLARS,Avg_L,0.500000,2.425000
TREX-DA+BT: TLARS,Avg_T,0.500000,19.940000
TREX-DA+BT: TLARS,FDR,0.600000,0.005929
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.034578
TREX-DA+BT: TLARS,TPR,0.600000,0.943000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.108674
TREX-DA+BT: TLARS,Avg_L,0.600000,2.535000
TREX-DA+BT: TLARS,Avg_T,0.600000,21.300000
TREX-DA+BT: TLARS,FDR,0.700000,0.005167
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.033931
TREX-DA+BT: TLARS,TPR,0.700000,0.901000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.128380
TREX-DA+BT: TLARS,Avg_L,0.700000,2.590000
TREX-DA+BT: TLARS,Avg_T,0.700000,22.215000
TREX-DA+BT: TLARS,FDR,0.800000,0.005083
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.032105
TREX-DA+BT: TLARS,TPR,0.800000,0.849000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.159771
TREX-DA+BT: TLARS,Avg_L,0.800000,2.565000
TREX-DA+BT: TLARS,Avg_T,0.800000,19.435000
TREX-DA+BT: TLARS,FDR,0.900000,0.003083
TREX-DA+BT: TLARS,sd_FDR,0.900000,0.025399
TREX-DA+BT: TLARS,TPR,0.900000,0.706000
TREX-DA+BT: TLARS,sd_TPR,0.900000,0.215863
TREX-DA+BT: TLARS,Avg_L,0.900000,2.610000
TREX-DA+BT: TLARS,Avg_T,0.900000,21.895000
TREX-DA+BT: TAFS,FDR,0.000000,0.006167
TREX-DA+BT: TAFS,sd_FDR,0.000000,0.035653
TREX-DA+BT: TAFS,TPR,0.000000,0.628000
TREX-DA+BT: TAFS,sd_TPR,0.000000,0.255229
TREX-DA+BT: TAFS,Avg_L,0.000000,3.105000
TREX-DA+BT: TAFS,Avg_T,0.000000,7.465000
TREX-DA+BT: TAFS,FDR,0.100000,0.004083
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.028964
TREX-DA+BT: TAFS,TPR,0.100000,0.650000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.243715
TREX-DA+BT: TAFS,Avg_L,0.100000,3.120000
TREX-DA+BT: TAFS,Avg_T,0.100000,7.470000
TREX-DA+BT: TAFS,FDR,0.200000,0.002083
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.021197
TREX-DA+BT: TAFS,TPR,0.200000,0.817000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.162614
TREX-DA+BT: TAFS,Avg_L,0.200000,2.840000
TREX-DA+BT: TAFS,Avg_T,0.200000,7.335000
TREX-DA+BT: TAFS,FDR,0.300000,0.003667
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.025839
TREX-DA+BT: TAFS,TPR,0.300000,0.972000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.072403
TREX-DA+BT: TAFS,Avg_L,0.300000,2.310000
TREX-DA+BT: TAFS,Avg_T,0.300000,6.640000
TREX-DA+BT: TAFS,FDR,0.400000,0.005000
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.028503
TREX-DA+BT: TAFS,TPR,0.400000,0.969000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.080445
TREX-DA+BT: TAFS,Avg_L,0.400000,2.430000
TREX-DA+BT: TAFS,Avg_T,0.400000,6.735000
TREX-DA+BT: TAFS,FDR,0.500000,0.004167
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.026086
TREX-DA+BT: TAFS,TPR,0.500000,0.935000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.115070
TREX-DA+BT: TAFS,Avg_L,0.500000,2.545000
TREX-DA+BT: TAFS,Avg_T,0.500000,7.230000
TREX-DA+BT: TAFS,FDR,0.600000,0.007833
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.036297
TREX-DA+BT: TAFS,TPR,0.600000,0.891000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.114826
TREX-DA+BT: TAFS,Avg_L,0.600000,2.640000
TREX-DA+BT: TAFS,Avg_T,0.600000,7.210000
TREX-DA+BT: TAFS,FDR,0.700000,0.003667
TREX-DA+BT: TAFS,sd_FDR,0.700000,0.025839
TREX-DA+BT: TAFS,TPR,0.700000,0.831000
TREX-DA+BT: TAFS,sd_TPR,0.700000,0.092095
