solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.000000
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.000000
TREX-DA+BT: TLARS,TPR,0.100000,0.014000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.058490
TREX-DA+BT: TLARS,Avg_L,0.100000,2.170000
TREX-DA+BT: TLARS,Avg_T,0.100000,5.940000
TREX-DA+BT: TLARS,FDR,0.200000,0.018333
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.101000
TREX-DA+BT: TLARS,TPR,0.200000,0.107000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.171165
TREX-DA+BT: TLARS,Avg_L,0.200000,4.715000
TREX-DA+BT: TLARS,Avg_T,0.200000,5.385000
TREX-DA+BT: TLARS,FDR,0.500000,0.031750
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.086394
TREX-DA+BT: TLARS,TPR,0.500000,0.685000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.213549
TREX-DA+BT: TLARS,Avg_L,0.500000,3.995000
TREX-DA+BT: TLARS,Avg_T,0.500000,8.305000
TREX-DA+BT: TLARS,FDR,0.600000,0.021250
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.071456
TREX-DA+BT: TLARS,TPR,0.600000,0.786000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.194920
TREX-DA+BT: TLARS,Avg_L,0.600000,3.315000
TREX-DA+BT: TLARS,Avg_T,0.600000,12.800000
TREX-DA+BT: TLARS,FDR,1.000000,0.016667
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.056291
TREX-DA+BT: TLARS,TPR,1.000000,0.921000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.121791
TREX-DA+BT: TLARS,Avg_L,1.000000,2.480000
TREX-DA+BT: TLARS,Avg_T,1.000000,14.570000
TREX-DA+BT: TLARS,FDR,2.000000,0.016583
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.060647
TREX-DA+BT: TLARS,TPR,2.000000,0.910000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.131095
TREX-DA+BT: TLARS,Avg_L,2.000000,2.375000
TREX-DA+BT: TLARS,Avg_T,2.000000,12.020000
TREX-DA+BT: TLARS,FDR,5.000000,0.016179
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.056592
TREX-DA+BT: TLARS,TPR,5.000000,0.910000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.131095
TREX-DA+BT: TLARS,Avg_L,5.000000,2.465000
TREX-DA+BT: TLARS,Avg_T,5.000000,13.205000
TREX-DA+BT: TAFS,FDR,0.100000,0.000000
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.000000
TREX-DA+BT: TAFS,TPR,0.100000,0.014000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.054946
TREX-DA+BT: TAFS,Avg_L,0.100000,2.390000
TREX-DA+BT: TAFS,Avg_T,0.100000,4.670000
TREX-DA+BT: TAFS,FDR,0.200000,0.021833
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.104684
TREX-DA+BT: TAFS,TPR,0.200000,0.110000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.191004
TREX-DA+BT: TAFS,Avg_L,0.200000,4.895000
TREX-DA+BT: TAFS,Avg_T,0.200000,4.085000
TREX-DA+BT: TAFS,FDR,0.500000,0.029792
