solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.000000
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.000000
TREX-DA+BT: TLARS,TPR,0.100000,0.018000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.072818
TREX-DA+BT: TLARS,Avg_L,0.100000,2.335000
TREX-DA+BT: TLARS,Avg_T,0.100000,6.645000
TREX-DA+BT: TLARS,FDR,0.200000,0.023750
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.112822
TREX-DA+BT: TLARS,TPR,0.200000,0.096000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.162839
TREX-DA+BT: TLARS,Avg_L,0.200000,4.850000
TREX-DA+BT: TLARS,Avg_T,0.200000,5.175000
TREX-DA+BT: TLARS,FDR,0.500000,0.025310
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.084556
TREX-DA+BT: TLARS,TPR,0.500000,0.691000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.222184
TREX-DA+BT: TLARS,Avg_L,0.500000,4.020000
TREX-DA+BT: TLARS,Avg_T,0.500000,9.120000
TREX-DA+BT: TLARS,FDR,0.600000,0.018500
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.070449
TREX-DA+BT: TLARS,TPR,0.600000,0.780000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.197471
TREX-DA+BT: TLARS,Avg_L,0.600000,3.315000
TREX-DA+BT: TLARS,Avg_T,0.600000,13.150000
TREX-DA+BT: TLARS,FDR,1.000000,0.018500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.061021
TREX-DA+BT: TLARS,TPR,1.000000,0.922000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.116550
TREX-DA+BT: TLARS,Avg_L,1.000000,2.440000
TREX-DA+BT: TLARS,Avg_T,1.000000,15.185000
TREX-DA+BT: TLARS,FDR,2.000000,0.018167
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.059172
TREX-DA+BT: TLARS,TPR,2.000000,0.914000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.126029
TREX-DA+BT: TLARS,Avg_L,2.000000,2.440000
TREX-DA+BT: TLARS,Avg_T,2.000000,12.030000
TREX-DA+BT: TLARS,FDR,5.000000,0.014290
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.060416
TREX-DA+BT: TLARS,TPR,5.000000,0.919000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.123756
TREX-DA+BT: TLARS,Avg_L,5.000000,2.395000
TREX-DA+BT: TLARS,Avg_T,5.000000,12.335000
TREX-DA+BT: TAFS,FDR,0.100000,0.000000
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.000000
TREX-DA+BT: TAFS,TPR,0.100000,0.015000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.063206
TREX-DA+BT: TAFS,Avg_L,0.100000,2.365000
TREX-DA+BT: TAFS,Avg_T,0.100000,4.855000
TREX-DA+BT: TAFS,FDR,0.200000,0.019583
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.102311
TREX-DA+BT: TAFS,TPR,0.200000,0.102000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.174782
TREX-DA+BT: TAFS,Avg_L,0.200000,4.785000
TREX-DA+BT: TAFS,Avg_T,0.200000,3.990000
TREX-DA+BT: TAFS,FDR,0.500000,0.032095
