solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.000000
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.000000
TREX-DA+BT: TLARS,TPR,0.100000,0.013000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.060409
TREX-DA+BT: TLARS,Avg_L,0.100000,2.175000
TREX-DA+BT: TLARS,Avg_T,0.100000,6.100000
TREX-DA+BT: TLARS,FDR,0.200000,0.017917
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.102957
TREX-DA+BT: TLARS,TPR,0.200000,0.089000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.157490
TREX-DA+BT: TLARS,Avg_L,0.200000,4.735000
TREX-DA+BT: TLARS,Avg_T,0.200000,4.755000
TREX-DA+BT: TLARS,FDR,0.500000,0.010583
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.058936
TREX-DA+BT: TLARS,TPR,0.500000,0.669000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.231749
TREX-DA+BT: TLARS,Avg_L,0.500000,4.115000
TREX-DA+BT: TLARS,Avg_T,0.500000,12.715000
TREX-DA+BT: TLARS,FDR,0.600000,0.008917
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.054293
TREX-DA+BT: TLARS,TPR,0.600000,0.790000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.206186
TREX-DA+BT: TLARS,Avg_L,0.600000,3.540000
TREX-DA+BT: TLARS,Avg_T,0.600000,17.680000
TREX-DA+BT: TLARS,FDR,1.000000,0.006583
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.035084
TREX-DA+BT: TLARS,TPR,1.000000,0.912000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.127819
TREX-DA+BT: TLARS,Avg_L,1.000000,2.705000
TREX-DA+BT: TLARS,Avg_T,1.000000,21.240000
TREX-DA+BT: TLARS,FDR,2.000000,0.005667
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.032418
TREX-DA+BT: TLARS,TPR,2.000000,0.901000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.143183
TREX-DA+BT: TLARS,Avg_L,2.000000,2.640000
TREX-DA+BT: TLARS,Avg_T,2.000000,20.385000
TREX-DA+BT: TLARS,FDR,5.000000,0.004500
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.032857
TREX-DA+BT: TLARS,TPR,5.000000,0.904000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.138854
TREX-DA+BT: TLARS,Avg_L,5.000000,2.555000
TREX-DA+BT: TLARS,Avg_T,5.000000,22.460000
TREX-DA+BT: TAFS,FDR,0.100000,0.000000
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.000000
TREX-DA+BT: TAFS,TPR,0.100000,0.017000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.065823
TREX-DA+BT: TAFS,Avg_L,0.100000,2.295000
TREX-DA+BT: TAFS,Avg_T,0.100000,5.145000
TREX-DA+BT: TAFS,FDR,0.200000,0.016667
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.098495
TREX-DA+BT: TAFS,TPR,0.200000,0.108000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.172292
TREX-DA+BT: TAFS,Avg_L,0.200000,4.670000
TREX-DA+BT: TAFS,Avg_T,0.200000,4.110000
TREX-DA+BT: TAFS,FDR,0.500000,0.019000
