solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.045000
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.188821
TREX-DA+BT: TLARS,TPR,1.000000,0.275000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.447635
TREX-DA+BT: TLARS,Avg_L,1.000000,1.895000
TREX-DA+BT: TLARS,Avg_T,1.000000,7.535000
TREX-DA+BT: TLARS,FDR,3.000000,0.074000
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.146661
TREX-DA+BT: TLARS,TPR,3.000000,0.641667
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.405073
TREX-DA+BT: TLARS,Avg_L,3.000000,2.085000
TREX-DA+BT: TLARS,Avg_T,3.000000,17.930000
TREX-DA+BT: TLARS,FDR,5.000000,0.100131
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.153998
TREX-DA+BT: TLARS,TPR,5.000000,0.807000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.211601
TREX-DA+BT: TLARS,Avg_L,5.000000,1.690000
TREX-DA+BT: TLARS,Avg_T,5.000000,23.665000
TREX-DA+BT: TLARS,FDR,10.000000,0.117576
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.109327
TREX-DA+BT: TLARS,TPR,10.000000,0.719500
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.182583
TREX-DA+BT: TLARS,Avg_L,10.000000,1.680000
TREX-DA+BT: TLARS,Avg_T,10.000000,22.475000
TREX-DA+BT: TLARS,FDR,15.000000,0.141260
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.152873
TREX-DA+BT: TLARS,TPR,15.000000,0.441333
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.248148
TREX-DA+BT: TLARS,Avg_L,15.000000,2.240000
TREX-DA+BT: TLARS,Avg_T,15.000000,11.835000
TREX-DA+BT: TLARS,FDR,20.000000,0.161422
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.177117
TREX-DA+BT: TLARS,TPR,20.000000,0.248750
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.188783
TREX-DA+BT: TLARS,Avg_L,20.000000,2.520000
TREX-DA+BT: TLARS,Avg_T,20.000000,8.405000
TREX-DA+BT: TLARS,FDR,30.000000,0.120577
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.197124
TREX-DA+BT: TLARS,TPR,30.000000,0.074167
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.097852
TREX-DA+BT: TLARS,Avg_L,30.000000,2.820000
TREX-DA+BT: TLARS,Avg_T,30.000000,6.465000
TREX-DA+BT: TAFS,FDR,1.000000,0.075000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.264052
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.145000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.130000
TREX-DA+BT: TAFS,FDR,3.000000,0.151500
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.239807
TREX-DA+BT: TAFS,TPR,3.000000,0.401667
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.310432
TREX-DA+BT: TAFS,Avg_L,3.000000,1.770000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.125000
TREX-DA+BT: TAFS,FDR,5.000000,0.073679
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.113362
TREX-DA+BT: TAFS,TPR,5.000000,0.863000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.159871
TREX-DA+BT: TAFS,Avg_L,5.000000,1.725000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.230000
TREX-DA+BT: TAFS,FDR,10.000000,0.094442
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.082217
TREX-DA+BT: TAFS,TPR,10.000000,0.908500
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.106934
TREX-DA+BT: TAFS,Avg_L,10.000000,1.385000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.440000
TREX-DA+BT: TAFS,FDR,15.000000,0.134157
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.143553
TREX-DA+BT: TAFS,TPR,15.000000,0.570000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.245086
TREX-DA+BT: TAFS,Avg_L,15.000000,2.225000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.260000
TREX-DA+BT: TAFS,FDR,20.000000,0.151998
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.174298
TREX-DA+BT: TAFS,TPR,20.000000,0.256500
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.163067
TREX-DA+BT: TAFS,Avg_L,20.000000,2.745000
TREX-DA+BT: TAFS,Avg_T,20.000000,5.915000
TREX-DA+BT: TAFS,FDR,30.000000,0.109619
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.195970
TREX-DA+BT: TAFS,TPR,30.000000,0.050333
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.062784
