solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.047500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.191513
TREX-DA+BT: TLARS,TPR,1.000000,0.285000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.452547
TREX-DA+BT: TLARS,Avg_L,1.000000,1.915000
TREX-DA+BT: TLARS,Avg_T,1.000000,7.685000
TREX-DA+BT: TLARS,FDR,3.000000,0.080583
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.156515
TREX-DA+BT: TLARS,TPR,3.000000,0.640000
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.411124
TREX-DA+BT: TLARS,Avg_L,3.000000,2.075000
TREX-DA+BT: TLARS,Avg_T,3.000000,18.860000
TREX-DA+BT: TLARS,FDR,5.000000,0.105857
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.151051
TREX-DA+BT: TLARS,TPR,5.000000,0.821000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.205842
TREX-DA+BT: TLARS,Avg_L,5.000000,1.735000
TREX-DA+BT: TLARS,Avg_T,5.000000,25.925000
TREX-DA+BT: TLARS,FDR,10.000000,0.123470
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.116747
TREX-DA+BT: TLARS,TPR,10.000000,0.722500
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.192951
TREX-DA+BT: TLARS,Avg_L,10.000000,1.695000
TREX-DA+BT: TLARS,Avg_T,10.000000,21.045000
TREX-DA+BT: TLARS,FDR,15.000000,0.142029
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.160496
TREX-DA+BT: TLARS,TPR,15.000000,0.451000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.255195
TREX-DA+BT: TLARS,Avg_L,15.000000,2.295000
TREX-DA+BT: TLARS,Avg_T,15.000000,14.095000
TREX-DA+BT: TLARS,FDR,20.000000,0.175409
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.171820
TREX-DA+BT: TLARS,TPR,20.000000,0.263500
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.177341
TREX-DA+BT: TLARS,Avg_L,20.000000,2.645000
TREX-DA+BT: TLARS,Avg_T,20.000000,9.505000
TREX-DA+BT: TLARS,FDR,30.000000,0.132429
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.214084
TREX-DA+BT: TLARS,TPR,30.000000,0.070333
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.094387
TREX-DA+BT: TLARS,Avg_L,30.000000,2.740000
TREX-DA+BT: TLARS,Avg_T,30.000000,6.380000
TREX-DA+BT: TAFS,FDR,1.000000,0.080000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.271974
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.100000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.170000
TREX-DA+BT: TAFS,FDR,3.000000,0.162000
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.240690
TREX-DA+BT: TAFS,TPR,3.000000,0.410000
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.312962
TREX-DA+BT: TAFS,Avg_L,3.000000,1.790000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.035000
TREX-DA+BT: TAFS,FDR,5.000000,0.068429
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.105254
TREX-DA+BT: TAFS,TPR,5.000000,0.875000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.146569
TREX-DA+BT: TAFS,Avg_L,5.000000,1.735000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.430000
