solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.042500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.192690
TREX-DA+BT: TLARS,TPR,1.000000,0.265000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.442441
TREX-DA+BT: TLARS,Avg_L,1.000000,1.875000
TREX-DA+BT: TLARS,Avg_T,1.000000,7.635000
TREX-DA+BT: TLARS,FDR,3.000000,0.060833
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.139970
TREX-DA+BT: TLARS,TPR,3.000000,0.521667
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.426086
TREX-DA+BT: TLARS,Avg_L,3.000000,1.950000
TREX-DA+BT: TLARS,Avg_T,3.000000,21.460000
TREX-DA+BT: TLARS,FDR,5.000000,0.083917
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.160683
TREX-DA+BT: TLARS,TPR,5.000000,0.755000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.245103
TREX-DA+BT: TLARS,Avg_L,5.000000,1.705000
TREX-DA+BT: TLARS,Avg_T,5.000000,26.155000
TREX-DA+BT: TLARS,FDR,10.000000,0.084454
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.110043
TREX-DA+BT: TLARS,TPR,10.000000,0.673000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.183136
TREX-DA+BT: TLARS,Avg_L,10.000000,1.790000
TREX-DA+BT: TLARS,Avg_T,10.000000,21.645000
TREX-DA+BT: TLARS,FDR,15.000000,0.116335
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.148158
TREX-DA+BT: TLARS,TPR,15.000000,0.397667
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.225199
TREX-DA+BT: TLARS,Avg_L,15.000000,2.215000
TREX-DA+BT: TLARS,Avg_T,15.000000,13.105000
TREX-DA+BT: TLARS,FDR,20.000000,0.138562
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.168628
TREX-DA+BT: TLARS,TPR,20.000000,0.212000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.153620
TREX-DA+BT: TLARS,Avg_L,20.000000,2.830000
TREX-DA+BT: TLARS,Avg_T,20.000000,8.985000
TREX-DA+BT: TLARS,FDR,30.000000,0.104641
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.198300
TREX-DA+BT: TLARS,TPR,30.000000,0.055167
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.081622
TREX-DA+BT: TLARS,Avg_L,30.000000,2.640000
TREX-DA+BT: TLARS,Avg_T,30.000000,6.960000
TREX-DA+BT: TAFS,FDR,1.000000,0.075000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.264052
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.160000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.140000
TREX-DA+BT: TAFS,FDR,3.000000,0.127500
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.243553
TREX-DA+BT: TAFS,TPR,3.000000,0.300000
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.313479
TREX-DA+BT: TAFS,Avg_L,3.000000,1.715000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.365000
TREX-DA+BT: TAFS,FDR,5.000000,0.046250
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.100271
TREX-DA+BT: TAFS,TPR,5.000000,0.817000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.189978
TREX-DA+BT: TAFS,Avg_L,5.000000,1.780000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.490000
TREX-DA+BT: TAFS,FDR,10.000000,0.072257
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.076746
TREX-DA+BT: TAFS,TPR,10.000000,0.892500
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.115152
TREX-DA+BT: TAFS,Avg_L,10.000000,1.470000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.460000
TREX-DA+BT: TAFS,FDR,15.000000,0.126031
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.124276
TREX-DA+BT: TAFS,TPR,15.000000,0.542333
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.247978
TREX-DA+BT: TAFS,Avg_L,15.000000,2.085000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.170000
TREX-DA+BT: TAFS,FDR,20.000000,0.150959
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.187677
TREX-DA+BT: TAFS,TPR,20.000000,0.233750
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.160944
TREX-DA+BT: TAFS,Avg_L,20.000000,2.720000
TREX-DA+BT: TAFS,Avg_T,20.000000,5.745000
TREX-DA+BT: TAFS,FDR,30.000000,0.125397
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.240699
TREX-DA+BT: TAFS,TPR,30.000000,0.048000
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.060672
TREX-DA+BT: TAFS,Avg_L,30.000000,2.725000
TREX-DA+BT: TAFS,Avg_T,30.000000,4.840000
TREX-DA+BT: TOMP,FDR,1.000000,0.002500
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.035355
