solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.086357
TREX-DA: TLARS,sd_FDR,5.000000,0.129845
TREX-DA: TLARS,TPR,5.000000,0.839000
TREX-DA: TLARS,sd_TPR,5.000000,0.191998
TREX-DA: TLARS,Avg_L,5.000000,1.765000
TREX-DA: TLARS,Avg_T,5.000000,23.045000
TREX-DA: TLARS,FDR,10.000000,0.090244
TREX-DA: TLARS,sd_FDR,10.000000,0.137219
TREX-DA: TLARS,TPR,10.000000,0.881000
TREX-DA: TLARS,sd_TPR,10.000000,0.190316
TREX-DA: TLARS,Avg_L,10.000000,1.810000
TREX-DA: TLARS,Avg_T,10.000000,20.265000
TREX-DA: TLARS,FDR,15.000000,0.091982
TREX-DA: TLARS,sd_FDR,15.000000,0.137326
TREX-DA: TLARS,TPR,15.000000,0.846000
TREX-DA: TLARS,sd_TPR,15.000000,0.224804
TREX-DA: TLARS,Avg_L,15.000000,1.865000
TREX-DA: TLARS,Avg_T,15.000000,22.705000
TREX-DA: TLARS,FDR,20.000000,0.100595
TREX-DA: TLARS,sd_FDR,20.000000,0.149767
TREX-DA: TLARS,TPR,20.000000,0.844000
TREX-DA: TLARS,sd_TPR,20.000000,0.210441
TREX-DA: TLARS,Avg_L,20.000000,1.875000
TREX-DA: TLARS,Avg_T,20.000000,22.700000
TREX-DA: TLARS,FDR,25.000000,0.093494
TREX-DA: TLARS,sd_FDR,25.000000,0.139159
TREX-DA: TLARS,TPR,25.000000,0.858000
TREX-DA: TLARS,sd_TPR,25.000000,0.226478
TREX-DA: TLARS,Avg_L,25.000000,1.880000
TREX-DA: TLARS,Avg_T,25.000000,20.280000
TREX-DA: TLARS,FDR,30.000000,0.080012
TREX-DA: TLARS,sd_FDR,30.000000,0.138482
TREX-DA: TLARS,TPR,30.000000,0.850000
TREX-DA: TLARS,sd_TPR,30.000000,0.251028
TREX-DA: TLARS,Avg_L,30.000000,1.885000
TREX-DA: TLARS,Avg_T,30.000000,22.290000
TREX-DA: TLARS,FDR,35.000000,0.087454
TREX-DA: TLARS,sd_FDR,35.000000,0.128727
TREX-DA: TLARS,TPR,35.000000,0.886000
TREX-DA: TLARS,sd_TPR,35.000000,0.215491
TREX-DA: TLARS,Avg_L,35.000000,2.000000
TREX-DA: TLARS,Avg_T,35.000000,19.445000
TREX-DA: TLARS,FDR,40.000000,0.081198
TREX-DA: TLARS,sd_FDR,40.000000,0.125388
TREX-DA: TLARS,TPR,40.000000,0.868000
TREX-DA: TLARS,sd_TPR,40.000000,0.229870
TREX-DA: TLARS,Avg_L,40.000000,1.930000
TREX-DA: TLARS,Avg_T,40.000000,20.215000
TREX-DA: TLARS,FDR,45.000000,0.084917
TREX-DA: TLARS,sd_FDR,45.000000,0.127231
TREX-DA: TLARS,TPR,45.000000,0.851000
TREX-DA: TLARS,sd_TPR,45.000000,0.227724
TREX-DA: TLARS,Avg_L,45.000000,1.945000
TREX-DA: TLARS,Avg_T,45.000000,21.395000
TREX-DA: TLARS,FDR,50.000000,0.058542
TREX-DA: TLARS,sd_FDR,50.000000,0.112918
TREX-DA: TLARS,TPR,50.000000,0.870000
TREX-DA: TLARS,sd_TPR,50.000000,0.224839
TREX-DA: TLARS,Avg_L,50.000000,1.980000
TREX-DA: TLARS,Avg_T,50.000000,19.510000
TREX-DA: TAFS,FDR,5.000000,0.069429
TREX-DA: TAFS,sd_FDR,5.000000,0.108007
TREX-DA: TAFS,TPR,5.000000,0.873000
TREX-DA: TAFS,sd_TPR,5.000000,0.158101
TREX-DA: TAFS,Avg_L,5.000000,1.750000
TREX-DA: TAFS,Avg_T,5.000000,7.400000
TREX-DA: TAFS,FDR,10.000000,0.072429
TREX-DA: TAFS,sd_FDR,10.000000,0.112154
TREX-DA: TAFS,TPR,10.000000,0.917000
TREX-DA: TAFS,sd_TPR,10.000000,0.143576
TREX-DA: TAFS,Avg_L,10.000000,1.885000
TREX-DA: TAFS,Avg_T,10.000000,7.210000
TREX-DA: TAFS,FDR,15.000000,0.064083
TREX-DA: TAFS,sd_FDR,15.000000,0.104024
TREX-DA: TAFS,TPR,15.000000,0.895000
TREX-DA: TAFS,sd_TPR,15.000000,0.220495
TREX-DA: TAFS,Avg_L,15.000000,1.880000
TREX-DA: TAFS,Avg_T,15.000000,7.270000
TREX-DA: TAFS,FDR,20.000000,0.066502
TREX-DA: TAFS,sd_FDR,20.000000,0.108826
TREX-DA: TAFS,TPR,20.000000,0.903000
TREX-DA: TAFS,sd_TPR,20.000000,0.194371
TREX-DA: TAFS,Avg_L,20.000000,1.820000
TREX-DA: TAFS,Avg_T,20.000000,7.230000
TREX-DA: TAFS,FDR,25.000000,0.066579
TREX-DA: TAFS,sd_FDR,25.000000,0.109231
TREX-DA: TAFS,TPR,25.000000,0.899000
TREX-DA: TAFS,sd_TPR,25.000000,0.228605
TREX-DA: TAFS,Avg_L,25.000000,1.860000
TREX-DA: TAFS,Avg_T,25.000000,7.185000
TREX-DA: TAFS,FDR,30.000000,0.060429
TREX-DA: TAFS,sd_FDR,30.000000,0.095164
TREX-DA: TAFS,TPR,30.000000,0.919000
TREX-DA: TAFS,sd_TPR,30.000000,0.179444
TREX-DA: TAFS,Avg_L,30.000000,1.900000
TREX-DA: TAFS,Avg_T,30.000000,7.295000
TREX-DA: TAFS,FDR,35.000000,0.064643
TREX-DA: TAFS,sd_FDR,35.000000,0.108252
TREX-DA: TAFS,TPR,35.000000,0.924000
TREX-DA: TAFS,sd_TPR,35.000000,0.181074
TREX-DA: TAFS,Avg_L,35.000000,1.855000
TREX-DA: TAFS,Avg_T,35.000000,7.160000
TREX-DA: TAFS,FDR,40.000000,0.064131
TREX-DA: TAFS,sd_FDR,40.000000,0.099981
TREX-DA: TAFS,TPR,40.000000,0.944000
TREX-DA: TAFS,sd_TPR,40.000000,0.150256
TREX-DA: TAFS,Avg_L,40.000000,1.920000
TREX-DA: TAFS,Avg_T,40.000000,7.420000
TREX-DA: TAFS,FDR,45.000000,0.063613
TREX-DA: TAFS,sd_FDR,45.000000,0.099622
TREX-DA: TAFS,TPR,45.000000,0.927000
TREX-DA: TAFS,sd_TPR,45.000000,0.200680
TREX-DA: TAFS,Avg_L,45.000000,1.875000
TREX-DA: TAFS,Avg_T,45.000000,7.165000
TREX-DA: TAFS,FDR,50.000000,0.046607
TREX-DA: TAFS,sd_FDR,50.000000,0.088245
TREX-DA: TAFS,TPR,50.000000,0.906000
TREX-DA: TAFS,sd_TPR,50.000000,0.221380
TREX-DA: TAFS,Avg_L,50.000000,1.895000
TREX-DA: TAFS,Avg_T,50.000000,7.555000
TREX-DA: TOMP,FDR,5.000000,0.034357
TREX-DA: TOMP,sd_FDR,5.000000,0.076329
TREX-DA: TOMP,TPR,5.000000,0.977000
TREX-DA: TOMP,sd_TPR,5.000000,0.063965
TREX-DA: TOMP,Avg_L,5.000000,1.880000
TREX-DA: TOMP,Avg_T,5.000000,7.880000
TREX-DA: TOMP,FDR,10.000000,0.038500
TREX-DA: TOMP,sd_FDR,10.000000,0.077885
TREX-DA: TOMP,TPR,10.000000,0.991000
TREX-DA: TOMP,sd_TPR,10.000000,0.041565
TREX-DA: TOMP,Avg_L,10.000000,1.865000
TREX-DA: TOMP,Avg_T,10.000000,7.555000
TREX-DA: TOMP,FDR,15.000000,0.029452
TREX-DA: TOMP,sd_FDR,15.000000,0.071095
TREX-DA: TOMP,TPR,15.000000,0.991000
TREX-DA: TOMP,sd_TPR,15.000000,0.041565
TREX-DA: TOMP,Avg_L,15.000000,1.885000
TREX-DA: TOMP,Avg_T,15.000000,7.760000
TREX-DA: TOMP,FDR,20.000000,0.031190
TREX-DA: TOMP,sd_FDR,20.000000,0.072977
TREX-DA: TOMP,TPR,20.000000,0.990000
TREX-DA: TOMP,sd_TPR,20.000000,0.048079
TREX-DA: TOMP,Avg_L,20.000000,1.850000
TREX-DA: TOMP,Avg_T,20.000000,7.870000
TREX-DA: TOMP,FDR,25.000000,0.047762
TREX-DA: TOMP,sd_FDR,25.000000,0.085225
TREX-DA: TOMP,TPR,25.000000,0.989000
TREX-DA: TOMP,sd_TPR,25.000000,0.049914
TREX-DA: TOMP,Avg_L,25.000000,1.910000
TREX-DA: TOMP,Avg_T,25.000000,7.615000
TREX-DA: TOMP,FDR,30.000000,0.028429
TREX-DA: TOMP,sd_FDR,30.000000,0.068972
TREX-DA: TOMP,TPR,30.000000,0.993000
TREX-DA: TOMP,sd_TPR,30.000000,0.041950
TREX-DA: TOMP,Avg_L,30.000000,1.890000
TREX-DA: TOMP,Avg_T,30.000000,7.710000
TREX-DA: TOMP,FDR,35.000000,0.039440
TREX-DA: TOMP,sd_FDR,35.000000,0.077481
TREX-DA: TOMP,TPR,35.000000,0.978000
TREX-DA: TOMP,sd_TPR,35.000000,0.111256
TREX-DA: TOMP,Avg_L,35.000000,1.860000
TREX-DA: TOMP,Avg_T,35.000000,7.700000
TREX-DA: TOMP,FDR,40.000000,0.036119
TREX-DA: TOMP,sd_FDR,40.000000,0.075709
TREX-DA: TOMP,TPR,40.000000,0.993000
TREX-DA: TOMP,sd_TPR,40.000000,0.036848
TREX-DA: TOMP,Avg_L,40.000000,1.895000
TREX-DA: TOMP,Avg_T,40.000000,7.790000
TREX-DA: TOMP,FDR,45.000000,0.039643
TREX-DA: TOMP,sd_FDR,45.000000,0.077994
TREX-DA: TOMP,TPR,45.000000,0.983000
TREX-DA: TOMP,sd_TPR,45.000000,0.105673
TREX-DA: TOMP,Avg_L,45.000000,1.825000
TREX-DA: TOMP,Avg_T,45.000000,7.870000
TREX-DA: TOMP,FDR,50.000000,0.034262
TREX-DA: TOMP,sd_FDR,50.000000,0.074392
TREX-DA: TOMP,TPR,50.000000,0.980000
TREX-DA: TOMP,sd_TPR,50.000000,0.089667
TREX-DA: TOMP,Avg_L,50.000000,1.880000
TREX-DA: TOMP,Avg_T,50.000000,7.850000
