solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.084429
TREX-DA: TLARS,sd_FDR,5.000000,0.125501
TREX-DA: TLARS,TPR,5.000000,0.845000
TREX-DA: TLARS,sd_TPR,5.000000,0.190675
TREX-DA: TLARS,Avg_L,5.000000,1.745000
TREX-DA: TLARS,Avg_T,5.000000,23.320000
TREX-DA: TLARS,FDR,10.000000,0.096202
TREX-DA: TLARS,sd_FDR,10.000000,0.140254
TREX-DA: TLARS,TPR,10.000000,0.879000
TREX-DA: TLARS,sd_TPR,10.000000,0.179219
TREX-DA: TLARS,Avg_L,10.000000,1.830000
TREX-DA: TLARS,Avg_T,10.000000,21.615000
TREX-DA: TLARS,FDR,15.000000,0.094280
TREX-DA: TLARS,sd_FDR,15.000000,0.134960
TREX-DA: TLARS,TPR,15.000000,0.857000
TREX-DA: TLARS,sd_TPR,15.000000,0.217226
TREX-DA: TLARS,Avg_L,15.000000,1.915000
TREX-DA: TLARS,Avg_T,15.000000,24.665000
TREX-DA: TLARS,FDR,20.000000,0.100262
TREX-DA: TLARS,sd_FDR,20.000000,0.143730
TREX-DA: TLARS,TPR,20.000000,0.851000
TREX-DA: TLARS,sd_TPR,20.000000,0.205451
TREX-DA: TLARS,Avg_L,20.000000,1.920000
TREX-DA: TLARS,Avg_T,20.000000,22.615000
TREX-DA: TLARS,FDR,25.000000,0.089226
TREX-DA: TLARS,sd_FDR,25.000000,0.134870
TREX-DA: TLARS,TPR,25.000000,0.867000
TREX-DA: TLARS,sd_TPR,25.000000,0.212454
TREX-DA: TLARS,Avg_L,25.000000,1.945000
TREX-DA: TLARS,Avg_T,25.000000,22.910000
TREX-DA: TLARS,FDR,30.000000,0.079458
TREX-DA: TLARS,sd_FDR,30.000000,0.136436
TREX-DA: TLARS,TPR,30.000000,0.861000
TREX-DA: TLARS,sd_TPR,30.000000,0.244084
TREX-DA: TLARS,Avg_L,30.000000,1.900000
TREX-DA: TLARS,Avg_T,30.000000,23.515000
TREX-DA: TLARS,FDR,35.000000,0.096018
TREX-DA: TLARS,sd_FDR,35.000000,0.141694
TREX-DA: TLARS,TPR,35.000000,0.887000
TREX-DA: TLARS,sd_TPR,35.000000,0.187635
TREX-DA: TLARS,Avg_L,35.000000,1.960000
TREX-DA: TLARS,Avg_T,35.000000,19.990000
TREX-DA: TLARS,FDR,40.000000,0.091500
TREX-DA: TLARS,sd_FDR,40.000000,0.130813
TREX-DA: TLARS,TPR,40.000000,0.876000
TREX-DA: TLARS,sd_TPR,40.000000,0.201063
TREX-DA: TLARS,Avg_L,40.000000,1.945000
TREX-DA: TLARS,Avg_T,40.000000,20.960000
TREX-DA: TLARS,FDR,45.000000,0.083119
TREX-DA: TLARS,sd_FDR,45.000000,0.127926
TREX-DA: TLARS,TPR,45.000000,0.862000
TREX-DA: TLARS,sd_TPR,45.000000,0.229826
TREX-DA: TLARS,Avg_L,45.000000,1.910000
TREX-DA: TLARS,Avg_T,45.000000,22.510000
TREX-DA: TLARS,FDR,50.000000,0.060774
TREX-DA: TLARS,sd_FDR,50.000000,0.116217
TREX-DA: TLARS,TPR,50.000000,0.862000
TREX-DA: TLARS,sd_TPR,50.000000,0.241761
TREX-DA: TLARS,Avg_L,50.000000,1.955000
TREX-DA: TLARS,Avg_T,50.000000,20.080000
TREX-DA: TAFS,FDR,5.000000,0.067726
TREX-DA: TAFS,sd_FDR,5.000000,0.103133
TREX-DA: TAFS,TPR,5.000000,0.890000
TREX-DA: TAFS,sd_TPR,5.000000,0.138550
TREX-DA: TAFS,Avg_L,5.000000,1.760000
TREX-DA: TAFS,Avg_T,5.000000,7.420000
TREX-DA: TAFS,FDR,10.000000,0.069887
TREX-DA: TAFS,sd_FDR,10.000000,0.108101
TREX-DA: TAFS,TPR,10.000000,0.916000
TREX-DA: TAFS,sd_TPR,10.000000,0.145084
TREX-DA: TAFS,Avg_L,10.000000,1.820000
TREX-DA: TAFS,Avg_T,10.000000,7.030000
TREX-DA: TAFS,FDR,15.000000,0.059238
TREX-DA: TAFS,sd_FDR,15.000000,0.098236
TREX-DA: TAFS,TPR,15.000000,0.897000
TREX-DA: TAFS,sd_TPR,15.000000,0.219618
TREX-DA: TAFS,Avg_L,15.000000,1.925000
TREX-DA: TAFS,Avg_T,15.000000,7.305000
TREX-DA: TAFS,FDR,20.000000,0.062363
TREX-DA: TAFS,sd_FDR,20.000000,0.102702
TREX-DA: TAFS,TPR,20.000000,0.918000
TREX-DA: TAFS,sd_TPR,20.000000,0.159383
