solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.079083
TREX-DA: TLARS,sd_FDR,5.000000,0.139333
TREX-DA: TLARS,TPR,5.000000,0.784000
TREX-DA: TLARS,sd_TPR,5.000000,0.229800
TREX-DA: TLARS,Avg_L,5.000000,1.740000
TREX-DA: TLARS,Avg_T,5.000000,27.410000
TREX-DA: TLARS,FDR,10.000000,0.065488
TREX-DA: TLARS,sd_FDR,10.000000,0.129047
TREX-DA: TLARS,TPR,10.000000,0.810000
TREX-DA: TLARS,sd_TPR,10.000000,0.245359
TREX-DA: TLARS,Avg_L,10.000000,1.850000
TREX-DA: TLARS,Avg_T,10.000000,26.895000
TREX-DA: TLARS,FDR,15.000000,0.059012
TREX-DA: TLARS,sd_FDR,15.000000,0.113455
TREX-DA: TLARS,TPR,15.000000,0.771000
TREX-DA: TLARS,sd_TPR,15.000000,0.287353
TREX-DA: TLARS,Avg_L,15.000000,1.870000
TREX-DA: TLARS,Avg_T,15.000000,31.010000
TREX-DA: TLARS,FDR,20.000000,0.081333
TREX-DA: TLARS,sd_FDR,20.000000,0.140178
TREX-DA: TLARS,TPR,20.000000,0.741000
TREX-DA: TLARS,sd_TPR,20.000000,0.312421
TREX-DA: TLARS,Avg_L,20.000000,1.815000
TREX-DA: TLARS,Avg_T,20.000000,28.770000
TREX-DA: TLARS,FDR,25.000000,0.056179
TREX-DA: TLARS,sd_FDR,25.000000,0.119173
TREX-DA: TLARS,TPR,25.000000,0.780000
TREX-DA: TLARS,sd_TPR,25.000000,0.289168
TREX-DA: TLARS,Avg_L,25.000000,1.860000
TREX-DA: TLARS,Avg_T,25.000000,25.010000
TREX-DA: TLARS,FDR,30.000000,0.077905
TREX-DA: TLARS,sd_FDR,30.000000,0.148646
TREX-DA: TLARS,TPR,30.000000,0.766000
TREX-DA: TLARS,sd_TPR,30.000000,0.305468
TREX-DA: TLARS,Avg_L,30.000000,1.880000
TREX-DA: TLARS,Avg_T,30.000000,26.285000
TREX-DA: TLARS,FDR,35.000000,0.062357
TREX-DA: TLARS,sd_FDR,35.000000,0.119463
TREX-DA: TLARS,TPR,35.000000,0.787000
TREX-DA: TLARS,sd_TPR,35.000000,0.290608
TREX-DA: TLARS,Avg_L,35.000000,1.925000
TREX-DA: TLARS,Avg_T,35.000000,24.820000
TREX-DA: TLARS,FDR,40.000000,0.064429
TREX-DA: TLARS,sd_FDR,40.000000,0.127375
