solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.019845
TREX-DA: TLARS,sd_FDR,0.000000,0.059278
TREX-DA: TLARS,TPR,0.000000,0.787000
TREX-DA: TLARS,sd_TPR,0.000000,0.266054
TREX-DA: TLARS,Avg_L,0.000000,1.870000
TREX-DA: TLARS,Avg_T,0.000000,24.815000
TREX-DA: TLARS,FDR,0.100000,0.034857
TREX-DA: TLARS,sd_FDR,0.100000,0.091782
TREX-DA: TLARS,TPR,0.100000,0.802000
TREX-DA: TLARS,sd_TPR,0.100000,0.263711
TREX-DA: TLARS,Avg_L,0.100000,1.900000
TREX-DA: TLARS,Avg_T,0.100000,25.470000
TREX-DA: TLARS,FDR,0.200000,0.043262
TREX-DA: TLARS,sd_FDR,0.200000,0.097027
TREX-DA: TLARS,TPR,0.200000,0.810000
TREX-DA: TLARS,sd_TPR,0.200000,0.268815
TREX-DA: TLARS,Avg_L,0.200000,1.830000
TREX-DA: TLARS,Avg_T,0.200000,21.240000
TREX-DA: TLARS,FDR,0.300000,0.036744
TREX-DA: TLARS,sd_FDR,0.300000,0.083999
TREX-DA: TLARS,TPR,0.300000,0.869000
TREX-DA: TLARS,sd_TPR,0.300000,0.216503
TREX-DA: TLARS,Avg_L,0.300000,1.880000
TREX-DA: TLARS,Avg_T,0.300000,21.550000
TREX-DA: TLARS,FDR,0.400000,0.050964
TREX-DA: TLARS,sd_FDR,0.400000,0.093002
TREX-DA: TLARS,TPR,0.400000,0.907000
TREX-DA: TLARS,sd_TPR,0.400000,0.179197
TREX-DA: TLARS,Avg_L,0.400000,1.855000
TREX-DA: TLARS,Avg_T,0.400000,22.255000
TREX-DA: TLARS,FDR,0.500000,0.049774
TREX-DA: TLARS,sd_FDR,0.500000,0.116959
TREX-DA: TLARS,TPR,0.500000,0.899000
TREX-DA: TLARS,sd_TPR,0.500000,0.175937
TREX-DA: TLARS,Avg_L,0.500000,1.820000
TREX-DA: TLARS,Avg_T,0.500000,22.560000
TREX-DA: TLARS,FDR,0.600000,0.076710
TREX-DA: TLARS,sd_FDR,0.600000,0.129146
TREX-DA: TLARS,TPR,0.600000,0.881000
TREX-DA: TLARS,sd_TPR,0.600000,0.188192
TREX-DA: TLARS,Avg_L,0.600000,1.795000
TREX-DA: TLARS,Avg_T,0.600000,23.850000
TREX-DA: TLARS,FDR,0.700000,0.081333
TREX-DA: TLARS,sd_FDR,0.700000,0.128423
TREX-DA: TLARS,TPR,0.700000,0.844000
TREX-DA: TLARS,sd_TPR,0.700000,0.197634
TREX-DA: TLARS,Avg_L,0.700000,1.740000
TREX-DA: TLARS,Avg_T,0.700000,23.590000
TREX-DA: TLARS,FDR,0.800000,0.154429
TREX-DA: TLARS,sd_FDR,0.800000,0.183321
TREX-DA: TLARS,TPR,0.800000,0.744000
TREX-DA: TLARS,sd_TPR,0.800000,0.239899
TREX-DA: TLARS,Avg_L,0.800000,1.605000
TREX-DA: TLARS,Avg_T,0.800000,22.185000
TREX-DA: TLARS,FDR,0.900000,0.260905
TREX-DA: TLARS,sd_FDR,0.900000,0.227267
TREX-DA: TLARS,TPR,0.900000,0.693000
TREX-DA: TLARS,sd_TPR,0.900000,0.246281
TREX-DA: TLARS,Avg_L,0.900000,1.475000
TREX-DA: TLARS,Avg_T,0.900000,25.305000
TREX-DA: TAFS,FDR,0.000000,0.026179
TREX-DA: TAFS,sd_FDR,0.000000,0.067762
TREX-DA: TAFS,TPR,0.000000,0.786000
TREX-DA: TAFS,sd_TPR,0.000000,0.262581
TREX-DA: TAFS,Avg_L,0.000000,1.860000
TREX-DA: TAFS,Avg_T,0.000000,7.340000
TREX-DA: TAFS,FDR,0.100000,0.039071
TREX-DA: TAFS,sd_FDR,0.100000,0.103929
TREX-DA: TAFS,TPR,0.100000,0.788000
TREX-DA: TAFS,sd_TPR,0.100000,0.284006
TREX-DA: TAFS,Avg_L,0.100000,1.850000
TREX-DA: TAFS,Avg_T,0.100000,7.140000
TREX-DA: TAFS,FDR,0.200000,0.035333
TREX-DA: TAFS,sd_FDR,0.200000,0.084441
TREX-DA: TAFS,TPR,0.200000,0.820000
TREX-DA: TAFS,sd_TPR,0.200000,0.249623
TREX-DA: TAFS,Avg_L,0.200000,1.875000
TREX-DA: TAFS,Avg_T,0.200000,7.140000
TREX-DA: TAFS,FDR,0.300000,0.037173
