solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.004167
TREX-DA: TLARS,sd_FDR,0.000000,0.034191
TREX-DA: TLARS,TPR,0.000000,0.446000
TREX-DA: TLARS,sd_TPR,0.000000,0.276162
TREX-DA: TLARS,Avg_L,0.000000,1.885000
TREX-DA: TLARS,Avg_T,0.000000,31.440000
TREX-DA: TLARS,FDR,0.100000,0.014750
TREX-DA: TLARS,sd_FDR,0.100000,0.075765
TREX-DA: TLARS,TPR,0.100000,0.420000
TREX-DA: TLARS,sd_TPR,0.100000,0.259106
TREX-DA: TLARS,Avg_L,0.100000,1.860000
TREX-DA: TLARS,Avg_T,0.100000,31.655000
TREX-DA: TLARS,FDR,0.200000,0.026333
TREX-DA: TLARS,sd_FDR,0.200000,0.097661
TREX-DA: TLARS,TPR,0.200000,0.516000
TREX-DA: TLARS,sd_TPR,0.200000,0.283808
TREX-DA: TLARS,Avg_L,0.200000,1.910000
TREX-DA: TLARS,Avg_T,0.200000,25.855000
TREX-DA: TLARS,FDR,0.300000,0.032083
TREX-DA: TLARS,sd_FDR,0.300000,0.091454
TREX-DA: TLARS,TPR,0.300000,0.756000
TREX-DA: TLARS,sd_TPR,0.300000,0.275031
TREX-DA: TLARS,Avg_L,0.300000,1.860000
TREX-DA: TLARS,Avg_T,0.300000,25.210000
TREX-DA: TLARS,FDR,0.400000,0.030083
TREX-DA: TLARS,sd_FDR,0.400000,0.099856
TREX-DA: TLARS,TPR,0.400000,0.893000
TREX-DA: TLARS,sd_TPR,0.400000,0.218609
TREX-DA: TLARS,Avg_L,0.400000,1.865000
TREX-DA: TLARS,Avg_T,0.400000,27.310000
TREX-DA: TLARS,FDR,0.500000,0.034000
TREX-DA: TLARS,sd_FDR,0.500000,0.090471
TREX-DA: TLARS,TPR,0.500000,0.872000
TREX-DA: TLARS,sd_TPR,0.500000,0.208406
TREX-DA: TLARS,Avg_L,0.500000,1.845000
TREX-DA: TLARS,Avg_T,0.500000,27.595000
TREX-DA: TLARS,FDR,0.600000,0.061500
TREX-DA: TLARS,sd_FDR,0.600000,0.133337
TREX-DA: TLARS,TPR,0.600000,0.830000
TREX-DA: TLARS,sd_TPR,0.600000,0.233608
TREX-DA: TLARS,Avg_L,0.600000,1.760000
TREX-DA: TLARS,Avg_T,0.600000,27.640000
TREX-DA: TLARS,FDR,0.700000,0.065000
TREX-DA: TLARS,sd_FDR,0.700000,0.139973
TREX-DA: TLARS,TPR,0.700000,0.800000
TREX-DA: TLARS,sd_TPR,0.700000,0.236388
TREX-DA: TLARS,Avg_L,0.700000,1.740000
TREX-DA: TLARS,Avg_T,0.700000,28.815000
TREX-DA: TLARS,FDR,0.800000,0.134167
TREX-DA: TLARS,sd_FDR,0.800000,0.206272
TREX-DA: TLARS,TPR,0.800000,0.676000
TREX-DA: TLARS,sd_TPR,0.800000,0.265663
TREX-DA: TLARS,Avg_L,0.800000,1.650000
TREX-DA: TLARS,Avg_T,0.800000,28.010000
TREX-DA: TLARS,FDR,0.900000,0.244667
TREX-DA: TLARS,sd_FDR,0.900000,0.297565
TREX-DA: TLARS,TPR,0.900000,0.576000
TREX-DA: TLARS,sd_TPR,0.900000,0.292320
TREX-DA: TLARS,Avg_L,0.900000,1.500000
TREX-DA: TLARS,Avg_T,0.900000,27.840000
TREX-DA: TAFS,FDR,0.000000,0.004167
TREX-DA: TAFS,sd_FDR,0.000000,0.034191
TREX-DA: TAFS,TPR,0.000000,0.447000
TREX-DA: TAFS,sd_TPR,0.000000,0.285655
TREX-DA: TAFS,Avg_L,0.000000,1.870000
TREX-DA: TAFS,Avg_T,0.000000,7.435000
TREX-DA: TAFS,FDR,0.100000,0.015583
TREX-DA: TAFS,sd_FDR,0.100000,0.076515
TREX-DA: TAFS,TPR,0.100000,0.416000
TREX-DA: TAFS,sd_TPR,0.100000,0.254693
TREX-DA: TAFS,Avg_L,0.100000,1.860000
TREX-DA: TAFS,Avg_T,0.100000,7.450000
TREX-DA: TAFS,FDR,0.200000,0.020083
TREX-DA: TAFS,sd_FDR,0.200000,0.076719
TREX-DA: TAFS,TPR,0.200000,0.507000
TREX-DA: TAFS,sd_TPR,0.200000,0.294593
TREX-DA: TAFS,Avg_L,0.200000,1.845000
TREX-DA: TAFS,Avg_T,0.200000,7.370000
TREX-DA: TAFS,FDR,0.300000,0.027333
TREX-DA: TAFS,sd_FDR,0.300000,0.077816
TREX-DA: TAFS,TPR,0.300000,0.755000
TREX-DA: TAFS,sd_TPR,0.300000,0.270074
TREX-DA: TAFS,Avg_L,0.300000,1.855000
TREX-DA: TAFS,Avg_T,0.300000,7.330000
TREX-DA: TAFS,FDR,0.400000,0.028583
TREX-DA: TAFS,sd_FDR,0.400000,0.081605
TREX-DA: TAFS,TPR,0.400000,0.893000
TREX-DA: TAFS,sd_TPR,0.400000,0.192187
TREX-DA: TAFS,Avg_L,0.400000,1.845000
TREX-DA: TAFS,Avg_T,0.400000,7.280000
TREX-DA: TAFS,FDR,0.500000,0.035179
TREX-DA: TAFS,sd_FDR,0.500000,0.083691
TREX-DA: TAFS,TPR,0.500000,0.904000
TREX-DA: TAFS,sd_TPR,0.500000,0.156546
TREX-DA: TAFS,Avg_L,0.500000,1.855000
TREX-DA: TAFS,Avg_T,0.500000,7.320000
TREX-DA: TAFS,FDR,0.600000,0.031583
TREX-DA: TAFS,sd_FDR,0.600000,0.081090
TREX-DA: TAFS,TPR,0.600000,0.876000
TREX-DA: TAFS,sd_TPR,0.600000,0.189747
TREX-DA: TAFS,Avg_L,0.600000,1.820000
TREX-DA: TAFS,Avg_T,0.600000,7.415000
TREX-DA: TAFS,FDR,0.700000,0.048512
TREX-DA: TAFS,sd_FDR,0.700000,0.115291
TREX-DA: TAFS,TPR,0.700000,0.838000
TREX-DA: TAFS,sd_TPR,0.700000,0.187434
TREX-DA: TAFS,Avg_L,0.700000,1.785000
TREX-DA: TAFS,Avg_T,0.700000,7.490000
TREX-DA: TAFS,FDR,0.800000,0.079095
TREX-DA: TAFS,sd_FDR,0.800000,0.123029
TREX-DA: TAFS,TPR,0.800000,0.774000
TREX-DA: TAFS,sd_TPR,0.800000,0.184102
TREX-DA: TAFS,Avg_L,0.800000,1.710000
TREX-DA: TAFS,Avg_T,0.800000,7.420000
TREX-DA: TAFS,FDR,0.900000,0.153083
TREX-DA: TAFS,sd_FDR,0.900000,0.182735
TREX-DA: TAFS,TPR,0.900000,0.722000
TREX-DA: TAFS,sd_TPR,0.900000,0.179099
TREX-DA: TAFS,Avg_L,0.900000,1.720000
TREX-DA: TAFS,Avg_T,0.900000,7.730000
TREX-DA: TOMP,FDR,0.000000,0.002917
TREX-DA: TOMP,sd_FDR,0.000000,0.029392
TREX-DA: TOMP,TPR,0.000000,0.455000
TREX-DA: TOMP,sd_TPR,0.000000,0.294634
TREX-DA: TOMP,Avg_L,0.000000,1.840000
TREX-DA: TOMP,Avg_T,0.000000,7.770000
TREX-DA: TOMP,FDR,0.100000,0.005000
TREX-DA: TOMP,sd_FDR,0.100000,0.043120
TREX-DA: TOMP,TPR,0.100000,0.430000
TREX-DA: TOMP,sd_TPR,0.100000,0.259687
TREX-DA: TOMP,Avg_L,0.100000,1.830000
TREX-DA: TOMP,Avg_T,0.100000,7.640000
TREX-DA: TOMP,FDR,0.200000,0.012417
TREX-DA: TOMP,sd_FDR,0.200000,0.059097
TREX-DA: TOMP,TPR,0.200000,0.527000
TREX-DA: TOMP,sd_TPR,0.200000,0.279395
TREX-DA: TOMP,Avg_L,0.200000,1.850000
TREX-DA: TOMP,Avg_T,0.200000,7.735000
TREX-DA: TOMP,FDR,0.300000,0.021417
TREX-DA: TOMP,sd_FDR,0.300000,0.067320
TREX-DA: TOMP,TPR,0.300000,0.786000
TREX-DA: TOMP,sd_TPR,0.300000,0.246797
TREX-DA: TOMP,Avg_L,0.300000,1.825000
TREX-DA: TOMP,Avg_T,0.300000,7.450000
TREX-DA: TOMP,FDR,0.400000,0.013833
TREX-DA: TOMP,sd_FDR,0.400000,0.055444
TREX-DA: TOMP,TPR,0.400000,0.932000
TREX-DA: TOMP,sd_TPR,0.400000,0.175299
TREX-DA: TOMP,Avg_L,0.400000,1.880000
TREX-DA: TOMP,Avg_T,0.400000,7.660000
TREX-DA: TOMP,FDR,0.500000,0.017083
TREX-DA: TOMP,sd_FDR,0.500000,0.054845
TREX-DA: TOMP,TPR,0.500000,0.963000
TREX-DA: TOMP,sd_TPR,0.500000,0.104333
TREX-DA: TOMP,Avg_L,0.500000,1.855000
TREX-DA: TOMP,Avg_T,0.500000,7.595000
TREX-DA: TOMP,FDR,0.600000,0.010750
TREX-DA: TOMP,sd_FDR,0.600000,0.043084
TREX-DA: TOMP,TPR,0.600000,0.969000
TREX-DA: TOMP,sd_TPR,0.600000,0.109998
TREX-DA: TOMP,Avg_L,0.600000,1.875000
TREX-DA: TOMP,Avg_T,0.600000,7.760000
TREX-DA: TOMP,FDR,0.700000,0.020917
TREX-DA: TOMP,sd_FDR,0.700000,0.060034
TREX-DA: TOMP,TPR,0.700000,0.973000
TREX-DA: TOMP,sd_TPR,0.700000,0.091173
TREX-DA: TOMP,Avg_L,0.700000,1.865000
TREX-DA: TOMP,Avg_T,0.700000,7.685000
TREX-DA: TOMP,FDR,0.800000,0.044417
TREX-DA: TOMP,sd_FDR,0.800000,0.099570
TREX-DA: TOMP,TPR,0.800000,0.947000
TREX-DA: TOMP,sd_TPR,0.800000,0.110690
TREX-DA: TOMP,Avg_L,0.800000,1.885000
TREX-DA: TOMP,Avg_T,0.800000,7.860000
TREX-DA: TOMP,FDR,0.900000,0.121167
TREX-DA: TOMP,sd_FDR,0.900000,0.147411
TREX-DA: TOMP,TPR,0.900000,0.879000
TREX-DA: TOMP,sd_TPR,0.900000,0.149904
TREX-DA: TOMP,Avg_L,0.900000,1.895000
TREX-DA: TOMP,Avg_T,0.900000,7.930000
