solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.017024
TREX-DA: TLARS,sd_FDR,0.100000,0.103450
TREX-DA: TLARS,TPR,0.100000,0.031000
TREX-DA: TLARS,sd_TPR,0.100000,0.100446
TREX-DA: TLARS,Avg_L,0.100000,1.795000
TREX-DA: TLARS,Avg_T,0.100000,8.745000
TREX-DA: TLARS,FDR,0.200000,0.081000
TREX-DA: TLARS,sd_FDR,0.200000,0.233830
TREX-DA: TLARS,TPR,0.200000,0.110000
TREX-DA: TLARS,sd_TPR,0.200000,0.209090
TREX-DA: TLARS,Avg_L,0.200000,2.285000
TREX-DA: TLARS,Avg_T,0.200000,9.440000
TREX-DA: TLARS,FDR,0.500000,0.133643
TREX-DA: TLARS,sd_FDR,0.500000,0.207232
TREX-DA: TLARS,TPR,0.500000,0.555000
TREX-DA: TLARS,sd_TPR,0.500000,0.310899
TREX-DA: TLARS,Avg_L,0.500000,2.375000
TREX-DA: TLARS,Avg_T,0.500000,20.385000
TREX-DA: TLARS,FDR,0.600000,0.105762
TREX-DA: TLARS,sd_FDR,0.600000,0.157522
TREX-DA: TLARS,TPR,0.600000,0.600000
TREX-DA: TLARS,sd_TPR,0.600000,0.303414
TREX-DA: TLARS,Avg_L,0.600000,2.255000
TREX-DA: TLARS,Avg_T,0.600000,23.700000
TREX-DA: TLARS,FDR,1.000000,0.106036
TREX-DA: TLARS,sd_FDR,1.000000,0.162039
TREX-DA: TLARS,TPR,1.000000,0.811000
TREX-DA: TLARS,sd_TPR,1.000000,0.221641
TREX-DA: TLARS,Avg_L,1.000000,1.905000
TREX-DA: TLARS,Avg_T,1.000000,24.885000
TREX-DA: TLARS,FDR,2.000000,0.107077
TREX-DA: TLARS,sd_FDR,2.000000,0.158853
TREX-DA: TLARS,TPR,2.000000,0.831000
TREX-DA: TLARS,sd_TPR,2.000000,0.214169
TREX-DA: TLARS,Avg_L,2.000000,1.725000
TREX-DA: TLARS,Avg_T,2.000000,23.995000
TREX-DA: TLARS,FDR,5.000000,0.093901
TREX-DA: TLARS,sd_FDR,5.000000,0.140224
