solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.024583
TREX-DA: TLARS,sd_FDR,0.100000,0.140241
TREX-DA: TLARS,TPR,0.100000,0.026000
TREX-DA: TLARS,sd_TPR,0.100000,0.094704
TREX-DA: TLARS,Avg_L,0.100000,1.680000
TREX-DA: TLARS,Avg_T,0.100000,11.195000
TREX-DA: TLARS,FDR,0.200000,0.073417
TREX-DA: TLARS,sd_FDR,0.200000,0.223433
TREX-DA: TLARS,TPR,0.200000,0.095000
TREX-DA: TLARS,sd_TPR,0.200000,0.196387
TREX-DA: TLARS,Avg_L,0.200000,2.130000
TREX-DA: TLARS,Avg_T,0.200000,11.825000
TREX-DA: TLARS,FDR,0.500000,0.100417
TREX-DA: TLARS,sd_FDR,0.500000,0.203799
TREX-DA: TLARS,TPR,0.500000,0.443000
TREX-DA: TLARS,sd_TPR,0.500000,0.345467
TREX-DA: TLARS,Avg_L,0.500000,2.240000
TREX-DA: TLARS,Avg_T,0.500000,22.055000
TREX-DA: TLARS,FDR,0.600000,0.103000
TREX-DA: TLARS,sd_FDR,0.600000,0.181229
TREX-DA: TLARS,TPR,0.600000,0.549000
TREX-DA: TLARS,sd_TPR,0.600000,0.296036
TREX-DA: TLARS,Avg_L,0.600000,2.275000
TREX-DA: TLARS,Avg_T,0.600000,26.550000
TREX-DA: TLARS,FDR,1.000000,0.084929
TREX-DA: TLARS,sd_FDR,1.000000,0.163840
TREX-DA: TLARS,TPR,1.000000,0.764000
TREX-DA: TLARS,sd_TPR,1.000000,0.255795
TREX-DA: TLARS,Avg_L,1.000000,1.900000
TREX-DA: TLARS,Avg_T,1.000000,27.880000
TREX-DA: TLARS,FDR,2.000000,0.091083
TREX-DA: TLARS,sd_FDR,2.000000,0.163734
TREX-DA: TLARS,TPR,2.000000,0.765000
TREX-DA: TLARS,sd_TPR,2.000000,0.262525
TREX-DA: TLARS,Avg_L,2.000000,1.735000
TREX-DA: TLARS,Avg_T,2.000000,26.550000
TREX-DA: TLARS,FDR,5.000000,0.077000
TREX-DA: TLARS,sd_FDR,5.000000,0.147713
TREX-DA: TLARS,TPR,5.000000,0.793000
TREX-DA: TLARS,sd_TPR,5.000000,0.251530
TREX-DA: TLARS,Avg_L,5.000000,1.790000
