solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.017845
TREX-DA: TLARS,sd_FDR,0.000000,0.057923
TREX-DA: TLARS,TPR,0.000000,0.745000
TREX-DA: TLARS,sd_TPR,0.000000,0.277778
TREX-DA: TLARS,Avg_L,0.000000,1.865000
TREX-DA: TLARS,Avg_T,0.000000,25.795000
TREX-DA: TLARS,FDR,0.100000,0.024417
TREX-DA: TLARS,sd_FDR,0.100000,0.075464
TREX-DA: TLARS,TPR,0.100000,0.766000
TREX-DA: TLARS,sd_TPR,0.100000,0.275725
TREX-DA: TLARS,Avg_L,0.100000,1.865000
TREX-DA: TLARS,Avg_T,0.100000,25.325000
TREX-DA: TLARS,FDR,0.200000,0.035857
TREX-DA: TLARS,sd_FDR,0.200000,0.098607
TREX-DA: TLARS,TPR,0.200000,0.804000
TREX-DA: TLARS,sd_TPR,0.200000,0.259849
TREX-DA: TLARS,Avg_L,0.200000,1.870000
TREX-DA: TLARS,Avg_T,0.200000,21.120000
TREX-DA: TLARS,FDR,0.300000,0.039869
TREX-DA: TLARS,sd_FDR,0.300000,0.090088
TREX-DA: TLARS,TPR,0.300000,0.889000
TREX-DA: TLARS,sd_TPR,0.300000,0.183432
TREX-DA: TLARS,Avg_L,0.300000,1.865000
TREX-DA: TLARS,Avg_T,0.300000,22.400000
TREX-DA: TLARS,FDR,0.400000,0.041607
TREX-DA: TLARS,sd_FDR,0.400000,0.086774
TREX-DA: TLARS,TPR,0.400000,0.918000
TREX-DA: TLARS,sd_TPR,0.400000,0.161886
TREX-DA: TLARS,Avg_L,0.400000,1.825000
TREX-DA: TLARS,Avg_T,0.400000,22.735000
TREX-DA: TLARS,FDR,0.500000,0.043464
TREX-DA: TLARS,sd_FDR,0.500000,0.089872
TREX-DA: TLARS,TPR,0.500000,0.912000
TREX-DA: TLARS,sd_TPR,0.500000,0.157416
TREX-DA: TLARS,Avg_L,0.500000,1.855000
TREX-DA: TLARS,Avg_T,0.500000,21.935000
TREX-DA: TLARS,FDR,0.600000,0.091286
TREX-DA: TLARS,sd_FDR,0.600000,0.155917
TREX-DA: TLARS,TPR,0.600000,0.872000
TREX-DA: TLARS,sd_TPR,0.600000,0.204512
TREX-DA: TLARS,Avg_L,0.600000,1.795000
TREX-DA: TLARS,Avg_T,0.600000,24.165000
TREX-DA: TLARS,FDR,0.700000,0.074524
TREX-DA: TLARS,sd_FDR,0.700000,0.130854
TREX-DA: TLARS,TPR,0.700000,0.840000
TREX-DA: TLARS,sd_TPR,0.700000,0.209330
TREX-DA: TLARS,Avg_L,0.700000,1.730000
TREX-DA: TLARS,Avg_T,0.700000,22.340000
TREX-DA: TLARS,FDR,0.800000,0.158167
TREX-DA: TLARS,sd_FDR,0.800000,0.185947
TREX-DA: TLARS,TPR,0.800000,0.731000
TREX-DA: TLARS,sd_TPR,0.800000,0.236046
TREX-DA: TLARS,Avg_L,0.800000,1.560000
TREX-DA: TLARS,Avg_T,0.800000,22.590000
TREX-DA: TLARS,FDR,0.900000,0.259357
TREX-DA: TLARS,sd_FDR,0.900000,0.235083
TREX-DA: TLARS,TPR,0.900000,0.683000
TREX-DA: TLARS,sd_TPR,0.900000,0.253044
TREX-DA: TLARS,Avg_L,0.900000,1.495000
TREX-DA: TLARS,Avg_T,0.900000,24.705000
TREX-DA: TAFS,FDR,0.000000,0.018667
TREX-DA: TAFS,sd_FDR,0.000000,0.061472
TREX-DA: TAFS,TPR,0.000000,0.739000
TREX-DA: TAFS,sd_TPR,0.000000,0.281559
TREX-DA: TAFS,Avg_L,0.000000,1.860000
TREX-DA: TAFS,Avg_T,0.000000,7.140000
TREX-DA: TAFS,FDR,0.100000,0.025679
TREX-DA: TAFS,sd_FDR,0.100000,0.076806
TREX-DA: TAFS,TPR,0.100000,0.764000
TREX-DA: TAFS,sd_TPR,0.100000,0.283382
TREX-DA: TAFS,Avg_L,0.100000,1.840000
TREX-DA: TAFS,Avg_T,0.100000,7.025000
TREX-DA: TAFS,FDR,0.200000,0.034762
TREX-DA: TAFS,sd_FDR,0.200000,0.090487
TREX-DA: TAFS,TPR,0.200000,0.800000
TREX-DA: TAFS,sd_TPR,0.200000,0.271234
TREX-DA: TAFS,Avg_L,0.200000,1.865000
TREX-DA: TAFS,Avg_T,0.200000,7.015000
TREX-DA: TAFS,FDR,0.300000,0.030679
TREX-DA: TAFS,sd_FDR,0.300000,0.076049
TREX-DA: TAFS,TPR,0.300000,0.872000
TREX-DA: TAFS,sd_TPR,0.300000,0.193399
TREX-DA: TAFS,Avg_L,0.300000,1.835000
TREX-DA: TAFS,Avg_T,0.300000,7.065000
TREX-DA: TAFS,FDR,0.400000,0.042774
TREX-DA: TAFS,sd_FDR,0.400000,0.089195
TREX-DA: TAFS,TPR,0.400000,0.927000
TREX-DA: TAFS,sd_TPR,0.400000,0.151611
TREX-DA: TAFS,Avg_L,0.400000,1.870000
TREX-DA: TAFS,Avg_T,0.400000,7.045000
TREX-DA: TAFS,FDR,0.500000,0.046131
TREX-DA: TAFS,sd_FDR,0.500000,0.087686
TREX-DA: TAFS,TPR,0.500000,0.928000
TREX-DA: TAFS,sd_TPR,0.500000,0.141833
TREX-DA: TAFS,Avg_L,0.500000,1.880000
TREX-DA: TAFS,Avg_T,0.500000,7.180000
TREX-DA: TAFS,FDR,0.600000,0.058313
TREX-DA: TAFS,sd_FDR,0.600000,0.103427
TREX-DA: TAFS,TPR,0.600000,0.903000
TREX-DA: TAFS,sd_TPR,0.600000,0.160373
TREX-DA: TAFS,Avg_L,0.600000,1.770000
TREX-DA: TAFS,Avg_T,0.600000,7.135000
TREX-DA: TAFS,FDR,0.700000,0.055179
TREX-DA: TAFS,sd_FDR,0.700000,0.101171
TREX-DA: TAFS,TPR,0.700000,0.874000
TREX-DA: TAFS,sd_TPR,0.700000,0.172839
TREX-DA: TAFS,Avg_L,0.700000,1.825000
TREX-DA: TAFS,Avg_T,0.700000,7.330000
TREX-DA: TAFS,FDR,0.800000,0.108988
TREX-DA: TAFS,sd_FDR,0.800000,0.130721
TREX-DA: TAFS,TPR,0.800000,0.829000
