solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.067500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.233380
TREX-DA+BT: TLARS,TPR,1.000000,0.200000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.401004
TREX-DA+BT: TLARS,Avg_L,1.000000,1.660000
TREX-DA+BT: TLARS,Avg_T,1.000000,8.060000
TREX-DA+BT: TLARS,FDR,3.000000,0.129833
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.246174
TREX-DA+BT: TLARS,TPR,3.000000,0.590000
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.399204
TREX-DA+BT: TLARS,Avg_L,3.000000,2.060000
TREX-DA+BT: TLARS,Avg_T,3.000000,23.055000
TREX-DA+BT: TLARS,FDR,5.000000,0.169631
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.195606
TREX-DA+BT: TLARS,TPR,5.000000,0.681000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.257625
TREX-DA+BT: TLARS,Avg_L,5.000000,1.630000
TREX-DA+BT: TLARS,Avg_T,5.000000,25.485000
TREX-DA+BT: TLARS,FDR,10.000000,0.179889
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.153964
TREX-DA+BT: TLARS,TPR,10.000000,0.599000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.193354
TREX-DA+BT: TLARS,Avg_L,10.000000,1.670000
TREX-DA+BT: TLARS,Avg_T,10.000000,23.190000
TREX-DA+BT: TLARS,FDR,15.000000,0.236584
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.183762
TREX-DA+BT: TLARS,TPR,15.000000,0.386000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.194347
TREX-DA+BT: TLARS,Avg_L,15.000000,2.210000
TREX-DA+BT: TLARS,Avg_T,15.000000,13.185000
TREX-DA+BT: TLARS,FDR,20.000000,0.239228
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.222901
TREX-DA+BT: TLARS,TPR,20.000000,0.210250
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.151317
TREX-DA+BT: TLARS,Avg_L,20.000000,2.435000
TREX-DA+BT: TLARS,Avg_T,20.000000,11.630000
TREX-DA+BT: TLARS,FDR,30.000000,0.189141
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.240990
TREX-DA+BT: TLARS,TPR,30.000000,0.075667
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.081698
TREX-DA+BT: TLARS,Avg_L,30.000000,2.975000
TREX-DA+BT: TLARS,Avg_T,30.000000,9.155000
TREX-DA+BT: TAFS,FDR,1.000000,0.045000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.207824
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.060000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.050000
TREX-DA+BT: TAFS,FDR,3.000000,0.166583
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.277132
TREX-DA+BT: TAFS,TPR,3.000000,0.325000
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.305244
TREX-DA+BT: TAFS,Avg_L,3.000000,1.730000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.665000
TREX-DA+BT: TAFS,FDR,5.000000,0.085405
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.138789
TREX-DA+BT: TAFS,TPR,5.000000,0.784000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.204826
TREX-DA+BT: TAFS,Avg_L,5.000000,1.765000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.785000
TREX-DA+BT: TAFS,FDR,10.000000,0.107123
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.113904
TREX-DA+BT: TAFS,TPR,10.000000,0.740000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.185938
TREX-DA+BT: TAFS,Avg_L,10.000000,1.710000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.860000
TREX-DA+BT: TAFS,FDR,15.000000,0.148423
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.153781
TREX-DA+BT: TAFS,TPR,15.000000,0.419667
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.200702
TREX-DA+BT: TAFS,Avg_L,15.000000,2.220000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.155000
TREX-DA+BT: TAFS,FDR,20.000000,0.175047
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.226672
TREX-DA+BT: TAFS,TPR,20.000000,0.151250
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.139403
TREX-DA+BT: TAFS,Avg_L,20.000000,2.535000
TREX-DA+BT: TAFS,Avg_T,20.000000,5.380000
TREX-DA+BT: TAFS,FDR,30.000000,0.147851
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.234825
TREX-DA+BT: TAFS,TPR,30.000000,0.048167
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.059750
TREX-DA+BT: TAFS,Avg_L,30.000000,2.915000
TREX-DA+BT: TAFS,Avg_T,30.000000,5.580000
TREX-DA+BT: TOMP,FDR,1.000000,0.000000
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.000000
TREX-DA+BT: TOMP,TPR,1.000000,0.270000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.445074
TREX-DA+BT: TOMP,Avg_L,1.000000,1.795000
